Raman shift cm-1,4ATP_1uM_rep1_acc1_processed_intensity
1471.312794,2906.4402540892897
1474.734774,2200.1547720190874
1478.151985,1350.8855251293614
1481.564439,1050.9055265771028
1484.972146,692.8725420584752
1488.375119,283.9632014070391
1491.773368,133.400561902699
1495.166904,30.332837590447955
1498.555739,-66.93847988012702
1501.939883,-23.959958439178436
1505.319349,9.412529423361264
1508.694146,40.41653630975287
1512.064286,100.13478955921971
1515.429781,193.60875761816564
1518.790642,210.04382464982848
1522.146879,290.35668231536704
1525.498505,376.6060460469404
1528.845529,394.93025305112116
1532.187965,685.7568758064558
1535.525822,873.1417538437829
1538.859112,1183.4246933058116
1542.187846,1521.8724571854757
1545.512036,1845.266376951829
1548.831693,2446.9642405318295
1552.146829,3105.039697939996
1555.457453,4065.8237809328275
1558.763579,5203.085765034092
1562.065216,6680.546189383976
1565.362377,8066.31729938802
1568.655073,9175.238600140287
1571.943315,10122.781123402932
1575.227114,10074.099944577492
1578.506482,9271.344944856648
1581.781431,8279.008964066938
1585.051971,7398.975490777024
1588.318114,6538.538752506126
1591.579872,5022.163602796971
1594.837255,3225.4616592043526
1598.090275,2025.1119514839038
1601.338945,1281.1883609638157
1604.583274,833.036006452355
1607.823275,470.10509361168306
1611.058959,393.72915784083716
1614.290338,450.12389624108755
1617.517422,122.67946044161499
1620.740224,227.90225453852372
1623.958755,270.3498860597206
1627.173027,17.171935630455664
1630.38305,37.37260149249448
1633.588838,26.43097156144006
1636.7904,5.945440286300482
1639.987749,30.988147129943002
1643.180896,47.62328989488208
1646.369853,-41.80457645350913
1649.554632,44.99851497872186
1652.735244,-30.528205189293573
1655.9117,-123.24275346688827
1659.084013,25.2747597409396
1662.252193,-74.65118667679988
1665.416254,-4.629862673021378
1668.576205,83.53463288930634
1671.732059,111.01393567716696
1674.883828,104.86654770355369
1678.031523,4.108620980399174
1681.175157,25.53716224775968
1684.314739,-36.45173270997877
1687.450284,5.993316784866494
1690.581801,39.52083905469469
1693.709304,-37.14961639036207
1696.832803,69.06346641661055
1699.952311,164.36743097713605
1703.067839,126.36304284807343
1706.179399,114.17044808577268
1709.287003,46.25105692607699
1712.390663,42.59206912027983
1715.49039,135.74063883845525
1718.586197,19.27340254658874
1721.678095,-61.79030523793032
1724.766096,2.4246333503395014
1727.850213,-9.156508288488432
1730.930456,-32.39036685274396
1734.006838,15.886912243836004
1737.079372,16.09187311747583
1740.148067,-30.221534139805062
1743.212938,12.31606031025009
1746.273996,37.97741430930534
1749.331252,64.74276699686557
1752.384718,76.1887438781348
1755.434408,22.96464652063611
1758.480332,45.49444732844506
1761.522503,89.60785443116123
1764.560933,38.922905582846816
1767.595634,-78.76261621739906
1770.626618,-47.594149549562616
1773.653896,5.691428314095617
1776.677482,-92.17419911550945
1779.697388,22.422685178177296
1782.713625,137.66298929217083
1785.726205,39.97354314723168
1788.735141,99.16180296569513
1791.740445,64.49722576237676
1794.742129,-9.75503175015125
1797.740206,83.5594066177707
1800.734687,27.08282845101585
1803.725585,20.75308448267084
1806.712912,30.118067736034632
1809.69668,-6.927026757884221
1812.676902,9.264175073006495
1815.65359,-28.560275096772244
1818.626756,13.16285632817964
1821.596413,-2.939082095030191
1824.562573,-23.68641337915659
1827.525247,20.575890872429305
1830.48445,4.304920298245722
1833.440192,2.722786694286885
1836.392487,-57.749651335887975
1839.341347,-0.5747999298803697
1842.286784,92.62212277146313
1845.22881,67.66816350760634
1848.167439,133.9879873106751
1851.102682,46.35383771761883
1854.034553,29.666187565793166
1856.963063,96.56088650025852
1859.888226,-12.432345568210511
1862.810053,80.08941546055185
1865.728557,99.74028062195308
1868.643751,76.27779813679247
1871.555648,61.914958097770324
1874.46426,-52.688245357494154
1877.369599,5.5464394474760255
1880.271679,-0.5204359030478045
1883.170512,-15.062285149477653
1886.06611,98.60048894766264
1888.958487,47.790037861190726
1891.847655,-59.51261189807709
1894.733626,43.24009099893969
1897.616414,19.612976910085795
1900.496032,-31.33671886681676
1903.372491,-19.592941298139245
1906.245805,14.899320354409207
1909.115987,117.35958772177032
1911.983049,15.46102997833123
1914.847004,99.17658162458052
