record_group,sample_type,concentration_molar,concentration_label,instrument,raman_shift_cm-1,intensity_mean,intensity_sd,n_replicates,cv_percent
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,801.22554158863477,1139.6946875616857,815.73386277667771,3,71.574771004846539
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,804.92892158677205,1301.1033775604253,897.85969250650612,3,69.007559890436767
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,808.63230158490933,1337.1923365100927,977.83933800996181,3,73.126304370095482
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,812.33568158304649,1333.796588385467,955.92484604929552,3,71.669462523248967
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,816.03906158118366,1224.2010050800004,819.26087992754515,3,66.922088491015998
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,819.74244157932094,1067.3591592192888,641.61492975200838,3,60.112374003640198
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,823.44582157745822,945.07087701214516,577.21235502319689,3,61.076091652306737
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,827.14920157559538,773.65979205051769,491.64571655868474,3,63.54805065617029
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,830.85258157373266,552.13995376707533,309.193842644771,3,55.999179290547573
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,834.55596157186983,400.82291316466927,174.90768541683664,3,43.637147396556067
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,838.25934157000711,354.67278494409061,123.00817894368843,3,34.682158926594553
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,841.96272156814439,310.40669431335658,81.490617592207471,3,26.252854427792212
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,845.66610156628155,180.28135299289696,93.310244052525988,3,51.758122791657989
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,849.36948156441872,242.42206231791022,27.485397496799923,3,11.337828427825109
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,853.072861562556,302.50780116449005,140.32498695675577,3,46.387229161225299
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,856.77624156069328,259.90605066034817,202.56940149362444,3,77.939471196977735
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,860.47962155883044,225.07152627485615,216.68924235506012,3,96.275724407022665
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,864.18300155696772,325.75987641488496,244.92188773594222,3,75.18479268576705
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,867.886381555105,427.48778621535479,455.28206729641914,3,106.50177197508573
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,871.58976155324217,428.85054399009556,540.55704142280024,3,126.04788521272917
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,0.0001,100 µM,portable_raman,875.29314155137945,427.15596071307613,604.05792233109617,3,141.41390449584443
