Raman_shift_cm-1,concentration_label,concentration_M,intensity,intensity_with_offset,offset_applied
1103.8632900352284,1mM,0.001,3189.730413211673,3189.730413211673,0.0
1107.7889767273766,1mM,0.001,3415.13083097185,3415.13083097185,0.0
1111.7146634195249,1mM,0.001,4144.642654048939,4144.642654048939,0.0
1115.6403501116731,1mM,0.001,5656.867453807327,5656.867453807327,0.0
1119.5660368038214,1mM,0.001,8311.053313777298,8311.053313777298,0.0
1123.4917234959698,1mM,0.001,12455.05737130331,12455.05737130331,0.0
1127.417410188118,1mM,0.001,18025.389252770517,18025.389252770517,0.0
1131.3430968802663,1mM,0.001,23673.998919616177,23673.998919616177,0.0
1135.2687835724146,1mM,0.001,27791.354501726473,27791.354501726473,0.0
1139.1944702645628,1mM,0.001,29663.735768702983,29663.735768702983,0.0
1143.120156956711,1mM,0.001,29031.335193241648,29031.335193241648,0.0
1147.0458436488595,1mM,0.001,26115.615391274576,26115.615391274576,0.0
1150.9715303410078,1mM,0.001,21677.556040101124,21677.556040101124,0.0
1154.897217033156,1mM,0.001,17120.13445869864,17120.13445869864,0.0
1158.8229037253043,1mM,0.001,13910.357325204046,13910.357325204046,0.0
1162.7485904174525,1mM,0.001,12233.210682018133,12233.210682018133,0.0
1166.674277109601,1mM,0.001,11616.220280464158,11616.220280464158,0.0
1170.5999638017493,1mM,0.001,11415.389574448103,11415.389574448103,0.0
1174.5256504938975,1mM,0.001,11295.267834756058,11295.267834756058,0.0
1178.4513371860457,1mM,0.001,11379.28949126694,11379.28949126694,0.0
1182.377023878194,1mM,0.001,11344.552796385518,11344.552796385518,0.0
1186.3027105703422,1mM,0.001,10760.310043613823,10760.310043613823,0.0
1190.2283972624907,1mM,0.001,9360.514080105278,9360.514080105278,0.0
1194.154083954639,1mM,0.001,7317.878926060599,7317.878926060599,0.0
1198.0797706467872,1mM,0.001,5196.378124413717,5196.378124413717,0.0
1202.0054573389355,1mM,0.001,3602.698892257416,3602.698892257416,0.0
