Raman_shift_cm-1,1mM,100uM,10uM,1uM,100nM,10nM,1nM,100pM,10pM,1pM,100fM,10fM,1fM,Blank
385.4626253720913,15894.087470372095,10475.180168385192,11104.764234430744,6959.171865559872,2889.05384460221,1512.39598211147,1252.712275756604,1449.744388833209,1502.7586241220356,1455.4282764305349,793.0872844212524,888.4249231792076,802.0948520492908,155.36603910585953
389.3883120642395,18114.79203433016,12118.407591062909,13519.276775808008,8279.046910049436,3649.4265010512254,1863.090975342414,1583.373701409024,1803.0758709917513,1912.4828759273464,1888.1645982669904,1000.4324984481243,1143.8252981587748,1014.5567154407433,162.10081056213093
393.31399875638783,18037.470052480072,12458.258484103662,14261.11837879247,8675.076935399107,3914.9016475095627,2018.833416666023,1707.0699459793314,1930.6897175492297,2044.1290699852573,2022.7300245004888,1097.633314513566,1233.856849057576,1095.3587294797267,150.073657953216
397.23968544853614,16077.5886587027,11537.79397408828,13174.121745981576,8140.506799264407,3611.9444083551416,1947.323359535462,1600.7830120483422,1799.4577509940557,1878.3262402479086,1862.4466341156372,1059.5066723088237,1156.4022322745934,1031.3801555908897,116.40728890365587
401.16537214068444,13222.060328766778,9684.014790302686,10780.327047677054,6918.829426009538,2932.582955992154,1677.8429391188517,1329.5292490625034,1488.2645906152354,1572.4259403912,1549.0082477357037,914.810958840682,1004.943694878874,885.8683719149009,185.0251366143477
405.0910588328327,10521.991940478254,7617.248046388411,8093.090913637093,5530.9027094385665,2179.2394462438665,1338.386003340957,977.1575486338346,1126.5963804919288,1176.825010858365,1178.1422419351984,713.5588166019588,806.7977758606625,684.2506637220772,212.58864906697423
409.016745524981,8313.035127680212,5766.743568714531,5718.350130361654,4228.326124271203,1485.957240618929,1005.010248096675,631.1822747530497,772.4569315957125,785.5274706339422,790.9356654847834,516.4719963698536,570.0452854765832,477.68860565111135,166.973095576398
412.9424322171293,6535.28136180961,4238.920099297241,3853.62198360192,3106.778866863901,935.7198000170845,718.4649645379207,374.65117405917516,495.24802463181106,504.86503599580357,476.378087859659,376.2035765605175,374.29202736240927,337.62185793890734,100.04377078282609
416.86811890927754,5177.07017706076,3072.664508044046,2565.8747807693208,2284.0513215441097,592.9966389834839,519.4810840494954,220.82669947689547,338.52903426205,320.67076695618294,290.5598589893892,296.3922230451885,276.77761897772666,257.0623026459338,25.02789615625393
420.7938056014259,4120.206995674409,2141.433252766189,1677.6292559542692,1657.776771417895,379.5038849525068,381.5035644300411,138.8770288505343,244.49813924752388,220.3031275746085,181.95314151894024,237.5267758774295,230.52762350223617,201.98580270560615,70.26362638245571
424.71949229357415,3398.461698125692,1475.595672189195,1124.05095722178,1197.909392672946,260.69801477328576,293.89306704363725,113.54908888761658,193.43284035577014,177.80548991685066,137.04103738458483,198.15739340905924,197.3681676526831,173.33647458543376,160.31916060577134
428.6451789857224,2968.134926955123,1048.0312480702664,800.752876059605,866.8569521189168,194.9614703328839,239.5280591811531,110.112748009757,166.14134359278094,149.67302465077927,112.1805831204132,153.4697428375236,167.81484712740075,168.00459065863961,270.44153256998425
