Raman shift (cm-1),Intensity (a.u.),,,,
,Intensity 1,Intensity 2,Intensity 3,Intensity 4,Intensity 5
1611.05896,9848,9870.2,9867.4,9925.4,9861.2
1614.29034,10317.2,10272.4,10391,10429.2,10523.4
1617.51742,9819,9866.4,9806.4,9872.2,9838.4
1620.74022,10194.8,10122,10218,10287.6,10226.6
1623.95876,9809.2,9916.6,9830,9913.6,9962.6
1627.17303,10028.4,9994.8,10023,10117.2,10099.8
1630.38305,9836.6,9893.4,9862.6,9941.2,9855.8
1633.58884,10114.6,10155.2,10166,10187.2,10182
1636.7904,9906.8,9928.8,9899,9972,9977
1639.98775,10087,10144.6,10146.4,10205.4,10178.8
1643.1809,10295.2,10246.4,10238.4,10309.6,10406.8
1646.36985,9749.4,9780.4,9750.8,9769.6,9790
1649.55463,10538.2,10601.2,10503.2,10617.6,10684.4
1652.73524,9936.8,9937,10075.2,10003,10007.6
1655.9117,9614.4,9676.4,9620.8,9713.2,9710.2
1659.08401,9982.2,10045.8,10038.8,10093.8,10155
1662.25219,10581.6,10600.6,10563,10640.8,10674
1665.41625,9787,9791.6,9824.6,9822.8,9914.8
1668.5762,9940,10012.6,10046,10099.6,10111.8
1671.73206,10361.4,10322.8,10367.2,10370.2,10390.6
1674.88383,10402.4,10334.4,10436,10404.2,10389
1678.03152,9934.4,9982.2,9966.8,9980.6,10037.4
1681.17516,10046.2,10059.2,10068,10081,10132.2
1684.31474,10058.2,10070.8,10140.4,10156.4,10129.8
1687.45028,10030.4,9995,10056.8,10155.6,10158.6
1690.5818,9968.6,9972,10050,10034.8,10068
1693.7093,9791.8,9845.8,9789.4,9913.6,9911.4
1696.8328,9837.8,9819.8,9918.4,9794.2,9926.8
1699.95231,10043.6,10048,10048.6,10144.6,10144.6
1703.06784,10108,10069.4,10146.8,10175.8,10150
1706.1794,10110.6,9953.6,10025.2,10095.4,10109.6
1709.287,10371.6,10460.2,10493.2,10546,10456.8
1712.39066,10032.8,10074.8,10091.6,10106,10135.6
1715.49039,10027.2,10073.4,10084.8,10144.8,10150.2
1718.5862,10408.4,10372.6,10401.8,10442.2,10485.8
1721.6781,10217.6,10255.8,10254.4,10266.2,10279.8
1724.7661,10252.8,10288.6,10293,10363.6,10387.6
1727.85021,9731.4,9762.6,9840,9791.6,9776.4
1730.93046,10072.4,10132.6,10084.8,10100,10158.8
1734.00684,9971,9885,9911.8,10009.6,9961.4
1737.07937,10218.2,10267.4,10270.6,10324.6,10452.4
1740.14807,9872.4,9940.6,9930,9997.8,9941
1743.21294,10897,10826,10869,10951.8,10895.8
1746.274,10108.2,10193,10154.4,10258.4,10164.2
1749.33125,10067.2,10123.8,10181.6,10146,10162.8
1752.38472,10098.8,10191.8,10166.8,10237.6,10284.8
1755.43441,10207.8,10236,10235,10246.8,10382.2
1758.48033,10230.4,10176.6,10212.8,10267.6,10290
1761.5225,10262.8,10258.8,10235.8,10233.2,10304
1764.56093,10070,10119,10177.2,10125.8,10188.4
1767.59563,9837.2,9861,9838.8,9913.8,9888.4
1770.62662,10403.6,10476.2,10504.4,10504.2,10500.8
1773.6539,10356.4,10508.4,10516.8,10475.6,10541.6
