Name,HS_AAB_P2_750_5_5_H_S1.csv,,,,
Date,25/09/2024 10:54,,,,
Tag,HS_AAB_P2_750_5_5_H_S1,,,,
Comment,,,,,
Peak raman shift[cm-1],351.7585072,,,,
Integration[ms],750,,,,
Averaging,5,,,,
Measure data Count,5,,,,
Source wave length,784.7253398,,,,
Calibrate value 0,778.657113,,,,
Calibrate value 1,0.351105861,,,,
Calibrate value 2,-0.000114612,,,,
Calibrate value 3,-1.40E-08,,,,
Calibrate value 4,-6.35E-12,,,,
Calibrate value 5,6.47E-14,,,,
Sensor pixel num,512,,,,
Count monitor raman shift,0,,,,
Count monitor value,0,,,,
Dark name,,,,,
859.0342885,12920.2,12785.4,12622.2,12495.4,12548
863.353545,12360.4,12200.8,12066,12058,11935.6
867.6662929,12801.6,12710,12517.2,12460,12394
871.9725434,13034.6,12733.8,12790.6,12695.8,12563.4
876.2723076,13325.4,13220.2,13080.6,12975.6,12945.8
880.5655967,13145.4,12920.6,12793,12799.6,12564.4
884.852422,13090.2,12905.6,12863.8,12847,12729.8
889.1327944,13480,13421.4,13376,13344.8,13200.4
893.4067253,12670.4,12442.4,12485,12398,12211.4
897.6742257,12456.8,12349,12280.8,12298.4,12125.2
901.9353067,12866.4,12551.2,12463,12469.6,12358.4
906.1899795,13021.8,12808.4,12815.8,12694,12549.8
910.4382551,12522.6,12485.8,12293.2,12187.2,12129.8
914.6801448,12541.6,12450.2,12311.2,12230,12089.8
918.9156596,12380,12318.6,12145.8,12072,12148.8
923.1448105,12821.4,12750.8,12563.8,12559.6,12392.6
927.3676087,12510.6,12383.8,12234.6,12208.6,12178.6
931.5840652,13133.8,12905,12816.2,12722.6,12672.2
935.7941911,12554.6,12416.6,12407,12420.8,12229
939.9979975,12725.4,12525.6,12463.6,12402.8,12325.2
944.1954954,12790.2,12615,12578.6,12444.6,12338.2
948.3866958,12201.6,11956.2,11854.4,11822.6,11740.4
952.5716099,12732.8,12638.4,12559.2,12549.4,12425.4
956.7502486,12434.2,12255.6,12312.6,12183.8,12092.8
960.9226229,12878,12692.6,12669,12512.4,12501.4
