Name,HS_AAB_P3_750_5_5_H_S1.csv,,,,
Date,30/09/2024 12:42,,,,
Tag,HS_AAB_P3_750_5_5_H_S1,,,,
Comment,,,,,
Peak raman shift[cm-1],377.1881577,,,,
Integration[ms],750,,,,
Averaging,5,,,,
Measure data Count,5,,,,
Source wave length,784.7220408,,,,
Calibrate value 0,778.657113,,,,
Calibrate value 1,0.351105861,,,,
Calibrate value 2,-0.000114612,,,,
Calibrate value 3,-1.40E-08,,,,
Calibrate value 4,-6.35E-12,,,,
Calibrate value 5,6.47E-14,,,,
Sensor pixel num,512,,,,
Count monitor raman shift,0,,,,
Count monitor value,0,,,,
Dark name,,,,,
1260.578981,10572.2,10530.8,10492.4,10474.6,10393
1264.301776,10574.4,10579.8,10439.8,10501.2,10447.2
1268.019157,10557.4,10586.8,10461.2,10406.2,10464.4
1271.731133,10366.8,10417.4,10238.8,10293.6,10227
1275.437715,10267.4,10208,10120.6,10035.4,10099.8
1279.138915,10666.4,10718.8,10568.6,10552.6,10577
1282.834743,10924.2,10811.2,10725.2,10681.8,10750
1286.52521,10547,10515.4,10305.2,10427.2,10308.4
1290.210328,10414.4,10379,10300.8,10237.8,10260.2
1293.890106,10519.2,10563.2,10438.8,10365.2,10459.4
1297.564555,10910.2,10923.2,10799.8,10845.4,10706.8
1301.233688,10399.2,10452.8,10245.6,10294.2,10294.8
1304.897514,10720.6,10665.2,10594.8,10540.4,10546.6
1308.556044,10703.8,10764.6,10665.6,10609.4,10582.2
1312.209289,10728,10721.2,10667,10624.6,10550.4
1315.857261,10314,10395.6,10303,10340.4,10205.8
1319.499969,10454.6,10402.2,10385.6,10371.6,10371.2
1323.137425,10932.4,10984,10871.4,10920.6,10757
1326.769641,10562.6,10588,10498.8,10486.2,10514.8
1330.396626,11036.6,11048.2,11004.6,10931.6,10924.2
1334.018391,10644.2,10624.6,10450.2,10571.8,10421.8
1337.634948,10746.4,10685.2,10582,10596,10618.6
1341.246307,10545.2,10462.2,10420.4,10326.2,10353.4
1344.85248,10488.8,10440.6,10368.6,10269.4,10236.8
1348.453477,10333,10356.6,10286.4,10233.4,10295.8
1352.049309,10374.6,10342,10254.4,10089.6,10287.4
1355.639987,10310.8,10341.6,10290.6,10280.4,10237.2
1359.225522,10809,10766.6,10701.6,10793.4,10703.2
1362.805925,10430,10454.8,10424.6,10363.4,10403.6
1366.381207,10537.6,10560,10474.8,10443.4,10455
1369.951379,10563.8,10597.2,10474.6,10423.2,10449.8
1373.516452,10661.6,10689.2,10563.2,10523.8,10559.4
1377.076436,10830,10896,10692,10681.4,10646.2
1380.631343,10670.4,10812.8,10564.2,10565.4,10494.8
1384.181184,10585.2,10725,10510.8,10469.8,10393.8
1387.725969,10656.4,10905.2,10631.8,10571.8,10556.2
1391.26571,10349.6,10622.4,10384.8,10318.8,10365.4
1394.800417,10237,10441,10263.2,10125.6,10233
1398.330102,10392.2,10371,10304,10236.6,10149.4
1401.854776,10460.6,10490.4,10392.2,10425.8,10401.4
1405.374448,10423.2,10416,10300.8,10337.6,10286
1408.889132,9991.4,10136,9950.2,9870.2,9998.8
1412.398837,9859.2,9773.4,9664.8,9705.6,9763.6
1415.903574,10140.8,10240.6,10107.8,10066.6,10138.6
1419.403355,10692.6,10736,10473.6,10608.8,10561.6
1422.89819,10396.6,10520,10263.6,10270,10256.8
1426.388091,10414.6,10588.6,10349.8,10318.2,10307.4
1429.873069,10830.6,11065,10735.8,10708.2,10759.2
1433.353134,10341.8,10470.4,10283,10193.2,10183.4
1436.828298,10336.2,10432.4,10298.6,10234.6,10325.2
1440.298571,10482.2,10558.2,10340.4,10363.6,10341.4
1443.763965,10121.6,10212.6,10058.2,10104.4,10056.2
1447.224491,10040.2,10079,9991.4,9940.6,9973.6
1450.68016,10067.4,10086.6,9922.6,9991.8,9954.6
1454.130983,10417.8,10426.4,10317.4,10300,10254
1457.576971,10296.4,10246,10194.2,10239.2,10120.8
1461.018135,10424,10408,10323.4,10299.6,10314.8
1464.454486,10470.4,10474.2,10428.8,10422.4,10317.8
1467.886036,10084.2,10123.4,10033.2,10002.8,10015.6
1471.312794,10168.4,10160.6,10100,10033.6,9985.6
1474.734774,9935.2,9828.2,9858.4,9767.2,9777
1478.151985,10366.2,10357,10368.2,10337.4,10287.8
1481.564439,10220,10136.8,9994.6,10085.2,10090.6
1484.972146,10155.6,10120,10041.6,10059.2,10040.4
1488.375119,9772.2,9813.6,9682.8,9703.2,9684.2
1491.773368,10086,10077.4,10050.4,10049.8,10047.8
1495.166904,10571,10542.2,10455.4,10438.2,10462
1498.555739,10046.4,10004.6,9890.8,9957,9882.8
1501.939883,10163.6,9996.6,9950.4,9957,10023.4
1505.319349,9729.2,9683.8,9660,9572.4,9483.8
1508.694146,10063.8,10026.8,10013,9998.4,9938.8
1512.064286,10100,9959.8,9919.4,9970,9952.8
1515.429781,10009,10019,9944.8,9846.8,9923.2
1518.790642,9868.6,9911.8,9796.2,9801.4,9747
1522.146879,9983.4,10035.6,9976.6,9902.6,9896
1525.498505,9655.6,9679,9575.8,9536.6,9532.4
1528.845529,9716.6,9713,9663.4,9593.2,9596.4
1532.187965,10184.8,10291.8,10224.8,10201.6,10252.2
1535.525822,9924.4,9877.4,9885.2,9891.4,9898
1538.859112,9953.4,9949.2,9814,9872.4,9841.2
1542.187846,10450,10381,10340.4,10400.4,10267.4
1545.512036,9740.2,9653.6,9645.2,9558.8,9607.2
1548.831693,10741,10714.2,10643.8,10633.4,10589.4
1552.146829,10298.6,10303,10168.6,10149.2,10141.4
1555.457453,9739.8,9878.6,9707.6,9621.2,9648.2
1558.763579,9434.2,9426.4,9404.6,9315.2,9293.4
