comparison_id,left_lineage,right_lineage,interpretation,file,concentration_molar,concentration_label,replicate,accumulation,grid_basis,n_points,x_min_cm-1,x_max_cm-1,axis_max_abs_difference_cm-1,rmse,mae,max_abs,mean_signed_difference,pearson_r,nrmse_percent_of_left_range,relative_l2_percent
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep1_acc3.csv,1e-10,100 pM,1,3,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,338.18787386803109,152.19195454640089,1360.5254851467007,57.234907431013781,0.98436306411842245,3.4835673646586254,17.206034793464653
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep1_acc4.csv,1e-10,100 pM,1,4,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,342.91657472537264,129.83314687406866,1491.6316597813775,-115.62012072332735,0.9993740810518118,3.5983843074923967,16.684212601684226
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep1_acc5.csv,1e-10,100 pM,1,5,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,255.5542417016336,137.72046586865216,1281.4188394926387,1.8482779668011311,0.99509358167407358,2.761861386009473,13.17410920088167
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep2_acc1.csv,1e-10,100 pM,2,1,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,580.62002969251569,237.86391305170753,2294.5179111863226,-180.24206302497626,0.94143969383181036,6.0708250538523973,41.683225898295639
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep2_acc2.csv,1e-10,100 pM,2,2,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,251.14656831220273,97.512184331547189,1325.1221066791895,-55.531930997698211,0.99446433081496044,2.7546351578405024,18.796553171575809
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep2_acc3.csv,1e-10,100 pM,2,3,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,210.90382958798065,88.492364812983695,1276.5489186964378,-19.499348612592563,0.99066348828319484,2.7194598086001402,19.466304089455079
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep2_acc4.csv,1e-10,100 pM,2,4,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,211.1969157654411,73.416340181662605,1261.0970603118508,-41.467042218363225,0.99153056874357726,2.8652024581209101,20.334145058123781
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep2_acc5.csv,1e-10,100 pM,2,5,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,207.92493674173207,82.76856351854741,1240.8230063735846,-14.211665854340563,0.99354144629600216,2.7497374847926936,18.812801017215921
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep3_acc1.csv,1e-10,100 pM,3,1,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,2920.1048665255134,1316.9634172326191,9331.0002555441806,-1279.9697941021932,0.93686773496495179,10.987225289289924,39.107360687642476
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep3_acc2.csv,1e-10,100 pM,3,2,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,499.76421955254051,240.29488806815249,2062.0107915585359,-136.62854528496905,0.99975694705952955,1.6195652855518761,6.974076326511498
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep3_acc3.csv,1e-10,100 pM,3,3,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,296.74400301583449,147.20603137595933,1296.3611758006082,-107.24408610517877,0.99982650020829267,0.80514026221418844,3.5193129709383362
historical_vs_controlled_legacy,historical_mixed_blank_legacy,controlled_legacy_confirmed_blank,blank_only_effect,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep3_acc4.csv,1e-10,100 pM,3,4,shared_native_grid,512,-93.471151070000005,1971.4936210000001,0,4775.6227755189975,2054.1326279346526,15424.15321107837,2013.9649812663929,0.90549524603881326,13.181264154677956,57.234275866383697
