record_group,sample_type,concentration_molar,concentration_label,instrument,replicate,band,center_cm-1,window_cm-1,method,peak_value_mean,peak_value_sd,observed_shift_mean_cm-1,n_scans
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-14,10 fM,portable_raman,1,peak_1078.5_height,1078.5,7,height,159.37696495360288,41.901988447843898,1075.303942,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-14,10 fM,portable_raman,1,peak_1589.62_height,1589.6199999999999,8,height,2614.8097366844036,869.62861755857045,1585.7034408,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-14,10 fM,portable_raman,1,peak_392.32_height,392.31999999999999,10,height,33606.123404979575,133.22378431184933,387.28426439999998,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-14,10 fM,portable_raman,2,peak_1078.5_height,1078.5,7,height,2560.674215076222,994.76358153648653,1077.7012300000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-14,10 fM,portable_raman,2,peak_1589.62_height,1589.6199999999999,8,height,1174.8202083739657,552.87128572152812,1583.0887676000002,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-14,10 fM,portable_raman,2,peak_392.32_height,392.31999999999999,10,height,35424.888821699729,752.38433944961139,387.28426439999998,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-14,10 fM,portable_raman,3,peak_1078.5_height,1078.5,7,height,3265.4561718905202,175.388184270121,1078.5003260000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-14,10 fM,portable_raman,3,peak_1589.62_height,1589.6199999999999,8,height,1716.2642062762479,107.73077894178016,1585.0510916000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,1e-14,10 fM,portable_raman,3,peak_392.32_height,392.31999999999999,10,height,22272.348796329363,968.36999768757482,392.32072840000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999994e-12,10 pM,portable_raman,1,peak_1078.5_height,1078.5,7,height,2129.8502141674494,122.64216864908174,1079.299422,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999994e-12,10 pM,portable_raman,1,peak_1589.62_height,1589.6199999999999,8,height,854.10365843062141,79.05647657660657,1584.3952272000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999994e-12,10 pM,portable_raman,1,peak_392.32_height,392.31999999999999,10,height,3897.3980187578118,273.9803366580166,392.32072840000001,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999994e-12,10 pM,portable_raman,2,peak_1078.5_height,1078.5,7,height,3629.0319869516907,125.89805285991342,1079.299422,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999994e-12,10 pM,portable_raman,2,peak_1589.62_height,1589.6199999999999,8,height,1578.521379666802,74.669022529012963,1585.7025638,5
optimisation_750_5_5_h_confirmed_blank_reanalysis,4atp,9.9999999999999994e-12,10 pM,portable_raman,2,peak_392.32_height,392.31999999999999,10,height,8905.7476496337003,1110.4732960156375,392.32072840000001,5
