Wavelength,4ATP_10nM_rep3_acc1_I1
1693.709304,-199.46918082064894
1696.832803,39.03777919915501
1699.952311,-55.689142257324875
1703.067839,150.47718284324355
1706.179399,107.5380921217452
1709.287003,190.53140824095954
1712.390663,-43.66028085486687
1715.49039,30.77709239111573
1718.586197,204.66830219091617
1721.678095,57.98620387426217
1724.766096,81.46621656183834
1727.850213,-199.08726047166556
1730.930456,68.30298421770976
1734.006838,-37.51941538026858
1737.079372,-15.668716158862026
1740.148067,-3.0791022157122825
1743.212938,262.46550718137723
1746.273996,52.89355149267067
1749.331252,-34.138280217702686
1752.384718,9.775499909698738
1755.434408,8.332937451310954
1758.480332,99.24982156474107
1761.522503,22.993168237603186
1764.560933,-5.752123553477304
1767.595634,-187.54597343919795
1770.626618,158.98095360760954
1773.653896,94.6498978399618
1776.677482,26.178647699808607
1779.697388,-23.08934617716386
1782.713625,217.24210584101093
1785.726205,203.30851899371828
1788.735141,187.11942221351137
1791.740445,-0.7421227636691583
1794.742129,-12.703743347925865
1797.740206,388.14400640580743
1800.734687,237.20100179786505
1803.725585,172.0749106006765
1806.712912,199.4398997090193
1809.69668,63.599738534238895
1812.676902,53.19122885923662
1815.65359,-83.74703727994984
1818.626756,-145.58579730549536
1821.596413,40.15244547295515
1824.562573,-21.649584176757344
1827.525247,107.16317028787444
1830.48445,-48.985731553050755
1833.440192,-2.469423862291933
1836.392487,-10.208482113695482
1839.341347,55.44359751912316
1842.286784,98.17898595309589
1845.22881,-29.859551087251475
1848.167439,-35.97470748244859
1851.102682,40.671296931276174
1854.034553,-97.46504783346427
1856.963063,5.2060086433807555
1859.888226,289.4565005417271
1862.810053,96.46260954713853
1865.728557,4.170165765263391
1868.643751,-1.2220214988756197
1871.555648,-39.32544065160573
1874.46426,-238.72917502965174
1877.369599,95.90293681183039
1880.271679,73.5749648852825
1883.170512,-32.60542338547839
1886.06611,43.78373752423158
1888.958487,156.77258605718862
1891.847655,51.01196011423281
1894.733626,-53.214048085424565
1897.616414,101.80108748076054
1900.496032,-149.50523572037082
1903.372491,-40.08631242677711
1906.245805,70.58630809388069
1909.115987,8.858873463837881
1911.983049,42.079637060937785
1914.847004,-51.50607434908625
1917.707866,108.42232904467937
1920.565646,27.306773372790758
1923.420359,-21.9816517322256
1926.272016,80.44862048113237
1929.120631,-173.06981991261773
1931.966216,-24.704435103774358
1934.808786,-36.855427099264034
