Wavelength,4ATP_1fM_rep3_acc2_I1
1173.435135,468.20151435599337
1177.285474,707.0865548754718
1181.130148,817.6583981642138
1184.969169,945.0911813003449
1188.802547,698.6049706120252
1192.630292,348.1357782603641
1196.452416,28.43524389695176
1200.26893,19.58416369669976
1204.079844,-92.40331692196605
1207.88517,-74.5569438421985
1211.684917,74.33425900706425
1215.479098,206.92390454807355
1219.267722,367.2158342778421
1223.050801,-55.402198840679375
1226.828346,-24.773659212153234
1230.600366,229.7181333600156
1234.366874,198.53537290578015
1238.12788,203.09578254374128
1241.883395,79.15361670018638
1245.633429,376.88937345161594
1249.377994,425.91651063920654
1253.1171,46.79450617832617
1256.850759,-38.7507960350008
1260.578981,22.047910266463532
1264.301776,34.56046992439133
1268.019157,20.748643589289713
1271.731133,-9.083612804143286
1275.437715,-105.09421726462415
1279.138915,96.35335110980714
1282.834743,237.23766577189963
1286.52521,3.242940876443754
1290.210328,-128.9835429839104
1293.890106,55.061444869551906
1297.564555,177.64949937459232
1301.233688,32.213255616005426
1304.897514,155.80902614857087
1308.556044,346.99883870373196
1312.209289,275.88540423229506
1315.857261,-73.18471220697893
1319.499969,10.196058183461446
1323.137425,313.08179365768046
1326.769641,178.61548006118164
1330.396626,326.74883312572
1334.018391,186.62932410223812
1337.634948,13.518647946854799
1341.246307,103.6246696862786
1344.85248,-14.35855391300447
1348.453477,-13.372261030334812
1352.049309,-104.89389440055265
1355.639987,-60.89088553677766
1359.225522,34.55980817896943
1362.805925,65.78075650285564
1366.381207,171.58071325773972
1369.951379,13.459089646626126
1373.516452,-88.32517378911552
1377.076436,48.80914798152344
1380.631343,146.35215692127758
1384.181184,193.77896602415467
1387.725969,203.87085660204502
1391.26571,97.01797958669749
1394.800417,13.951574042602715
1398.330102,100.50628608278657
1401.854776,97.41035619495005
1405.374448,23.781841424763115
1408.889132,-105.47724979327495
1412.398837,-228.5832875675942
1415.903574,-6.587219318332245
1419.403355,259.0913402412257
1422.89819,203.38902001257884
1426.388091,254.92497474488482
1429.873069,492.4625347190681
1433.353134,205.35810211786657
1436.828298,-23.107153426702098
1440.298571,81.06783747027566
1443.763965,6.3765409179181916
1447.224491,-89.24589119843222
1450.68016,8.179923726710967
