Wavelength,4ATP_1uM_rep2_acc5_I1
1767.595634,-193.38977970655196
1770.626618,44.15504769571817
1773.653896,91.60522129630499
1776.677482,-130.70614745631792
1779.697388,-79.682554413238
1782.713625,138.93920060451728
1785.726205,99.3632288652525
1788.735141,66.32763948850697
1791.740445,-67.42923090024942
1794.742129,-46.06033238546661
1797.740206,197.16513327026223
1800.734687,134.492535361911
1803.725585,172.91351686055623
1806.712912,120.02054294973186
1809.69668,-4.8687455338604195
1812.676902,71.43119090994423
1815.65359,-222.26836238628675
1818.626756,-203.80228613297186
1821.596413,5.767797781255467
1824.562573,-18.01573225960783
1827.525247,96.7856271046112
1830.48445,60.28999517915054
1833.440192,-5.607412315108377
1836.392487,-35.604344462281006
1839.341347,67.92703356098627
1842.286784,81.68977210590856
1845.22881,-91.56182590728804
1848.167439,32.11967580551118
1851.102682,26.25786122407044
1854.034553,-136.35612372245396
1856.963063,65.87505994380535
1859.888226,237.7971596386078
1862.810053,118.99517309006569
1865.728557,7.259925214499162
1868.643751,44.05405103175053
1871.555648,-147.4330779905158
1874.46426,-294.40431899377563
1877.369599,107.57360723267357
1880.271679,108.92782793215156
1883.170512,-51.52987193565059
1886.06611,107.0254332519653
1888.958487,86.07621585877496
1891.847655,15.978663796629007
1894.733626,-2.3616435342300974
1897.616414,-32.09731366140204
1900.496032,-166.98281720037994
1903.372491,-40.350251244300125
1906.245805,77.92493811374243
1909.115987,79.2412812849152
1911.983049,82.39332131758056
1914.847004,-85.22447794738764
1917.707866,94.48283378158521
1920.565646,83.97716089044388
1923.420359,-108.63544017411641
1926.272016,-48.12610179552121
1929.120631,-146.30656230680052
1931.966216,-13.417111291761103
1934.808786,100.76367178180772
1937.648351,-71.47150115556451
1940.484927,55.86345407861336
1943.318525,38.41395356625344
1946.149158,195.626290829523
1948.97684,616.1078118487039
1951.801584,237.52951584111815
1954.623403,41.079217383872674
1957.44231,84.56313143900206
1960.258318,-87.1842525073398
1963.071439,-18.321530338890625
1965.881688,-52.63362524295917
1968.689078,59.82891972312427
1971.493621,-20.12188139677346
