duplicate_group,sha256,copies,source,relative_path
25,089862a6e7b26ca376bd527f553334708e6b66fcaeba3f4418e6af24db024088,2,master_benchtop,24-10-21/Measures/Analitos elegidos/Artificial Sweat/Baseline Corrected/GOAAB_AS_S1_C1_M1_1_wb.csv
25,089862a6e7b26ca376bd527f553334708e6b66fcaeba3f4418e6af24db024088,2,master_benchtop,24-10-21/Measures/Artificial Sweat/Baseline Corrected/GOAAB_AS_S1_C1_M1_1_wb.csv
26,08c62141da720ea2de1753377ccf848983395e5b7ab8243fee1d4780353d31a5,2,master_portable,Test AS   4-ATP/25-06-24/Blank/AAB_blank2_750_5_5_H.csv
26,08c62141da720ea2de1753377ccf848983395e5b7ab8243fee1d4780353d31a5,2,master_portable,Test AS   4-ATP/Elegidos/25-06-24/Blank/AAB_blank2_750_5_5_H.csv
27,0964a81df5e4c400005c3ecdde43be1cb8cac5ff392c46cf7325396d5c3c6b28,2,master_portable,Test 4-ATP/18-09-24/GOAABC/750_5_5_H/Test/GOAAB_4 ATP_10^-6M_750_5_5_H_S1_t.csv
27,0964a81df5e4c400005c3ecdde43be1cb8cac5ff392c46cf7325396d5c3c6b28,2,master_portable,Test 4-ATP/Elegidos/18-09-24/GOAABC/750_5_5_H/Test/GOAAB_4 ATP_10^-6M_750_5_5_H_S1_t.csv
28,0984e441733e6dde1a364727a4d09932d98863e1ac2bd039fe294129757105e0,2,master_portable,Test AS   Glu/02-08-24/Sustrato AuAgBC/Sudor artificial   Glu/AAB_AS_Glu_1X10^-2M_750_5_5_H_S2.csv
28,0984e441733e6dde1a364727a4d09932d98863e1ac2bd039fe294129757105e0,2,master_portable,Test AS   Glu/Elegidos/02-08-24/Sustrato AuAgBC/Sudor artificial   Glu/AAB_AS_Glu_1X10^-2M_750_5_5_H_S2.csv
29,0aa5a5b08415f677fb69cffc90c7c04feca80683e9eac274469ba4f78034db16,3,curated,Raman_spectra_data/Calibration curve/Original spectra/4ATP_100nM_rep1_acc1.csv
29,0aa5a5b08415f677fb69cffc90c7c04feca80683e9eac274469ba4f78034db16,3,curated,Raman_spectra_data/Stability/03_07_24/4ATP_100nM_rep3_acc1.csv
