Raman shift (cm-1),RM_AS,RM_HS_V1,RM_HS_V2,RM_HS_V3
2144.008524,138.5304285,170.9028237,64.36689158,89.45978
2143.187535,125.3740512,162.4541924,63.55422345,81.90632
2142.36641,109.1521086,147.0706528,61.16916022,73.1957
2141.545148,95.80117694,127.070439,56.97377807,66.14668
2140.723751,89.76353554,110.3284996,53.38290957,64.28947
2139.902217,84.85674281,98.30144392,50.5650245,63.00756
2139.080546,73.89385541,86.52013767,46.03944778,55.43317
2138.25874,61.32946872,76.85242799,41.09502426,44.64582
2137.436797,54.96326395,70.65661659,39.409882,38.63623
2136.614718,58.34409767,69.32858216,41.44849735,37.88247
2135.792502,64.25483874,70.87831005,45.82618844,38.06352
2134.97015,70.59390792,74.52183826,50.42327494,38.94944
2134.147661,79.92181246,81.76957815,52.05922635,39.75983
2133.325036,89.24626288,86.93003039,49.94699512,38.13702
2132.502275,97.94625713,91.72356444,47.17677119,35.07854
2131.679377,117.0120742,106.1907579,48.9249375,34.96737
2130.856342,146.9016082,128.6009705,57.82540858,41.32644
2130.033171,170.9003373,146.6265256,67.89786689,51.58032
2129.209863,187.1808557,156.3108025,70.03914278,58.59782
2128.386418,195.7634368,160.3343799,64.86264599,62.16906
2127.562837,193.188848,159.7845952,60.08872919,63.67003
2126.739119,190.0725932,157.8389294,58.42800548,62.35448
2125.915264,184.8439329,154.7445428,58.29576278,63.18317
2125.091273,177.8472936,152.1000835,59.24010241,64.56113
2124.267144,177.3537468,149.2005928,60.80119639,63.67538
2123.442879,171.0784082,141.042797,62.62602131,62.94799
2122.618477,162.9364704,132.2157446,63.76142701,62.04202
2121.793938,156.794639,125.2924064,62.14203919,61.79995
2120.969262,145.9075386,118.3425352,58.47340177,59.40754
2120.144449,129.6069036,109.9447121,54.45814136,53.0342
2119.3195,107.9099033,98.83648402,50.57489051,46.04267
2118.494413,98.65573783,90.43498303,48.75803779,43.94469
2117.669189,97.37029416,86.02678218,49.04250047,48.49299
2116.843828,96.096416,83.94670973,48.0920871,51.19159
2116.01833,93.53114393,81.45700814,44.94271263,48.43219
2115.192695,83.07085375,76.89642079,40.97405223,42.90761
2114.366923,81.17115732,76.43295119,36.59620474,41.05
2113.541013,87.83283496,81.02375331,32.41024992,44.60314
2112.714967,102.5163872,91.35601491,31.12136186,49.8592
2111.888783,122.8375741,104.7839162,34.56702093,58.69021
2111.062462,131.3559415,112.4671203,38.74191311,67.97646
2110.236003,130.0638845,111.8687723,38.16976052,74.28048
2109.409407,121.603238,105.0088682,33.57667084,74.78713
2108.582674,110.106878,96.96865409,28.76987234,70.6522
2107.755804,102.5586036,91.49352185,25.84004701,67.04777
2106.928796,102.1095696,89.94895844,25.23961008,63.27867
2106.10165,104.9275337,89.82656561,25.56350138,62.28486
2105.274367,106.9105783,90.09023411,26.67889921,64.29445
2104.446947,111.5937067,92.48025103,31.33031888,66.22728
2103.619389,113.0867316,96.32911976,37.77611923,68.44453
2102.791694,112.1064254,100.7065664,39.44396031,67.7914
2101.963861,108.7549227,99.78264508,36.55418973,64.45742
2101.13589,103.91582,93.12060342,35.40161312,59.63709
2100.307782,101.5193839,85.11634808,36.72397487,53.25867
2099.479536,102.3311344,80.34004231,38.52802701,51.68798
2098.651152,110.8533894,83.91430871,42.47499303,53.73996
2097.822631,111.3599059,87.6553628,47.41004135,52.23584
2096.993972,107.0306735,87.34843213,49.41138511,45.36171
2096.165175,107.5987598,87.51789742,50.97801867,38.10183
2095.33624,111.0533116,91.69469844,56.89630003,38.47748
2094.507167,125.53361,103.0016607,64.9544363,46.01078
2093.677957,135.5214046,112.0506374,70.6959284,52.8068
2092.848608,135.080797,112.1164297,73.47567872,52.19855
2092.019122,126.3652727,105.4553255,73.73613791,46.39761
2091.189498,109.1823461,93.94163244,72.16657765,41.19958
2090.359736,96.88969241,82.24043894,70.37026545,38.15571
2089.529835,90.09854925,73.24212382,68.93402891,34.30005
2088.699797,90.53861911,68.48818913,67.37002291,30.51639
2087.86962,95.10633853,67.46797653,65.11069509,30.32354
2087.039306,93.99670037,66.13755349,61.84136428,30.93826
2086.208853,92.21156764,63.93106652,58.26673967,33.35902
2085.378262,94.51687265,66.34004043,55.84030012,36.86335
2084.547533,99.78254135,73.97780386,54.54724836,39.03859
2083.716666,105.3317575,80.84028844,51.74152446,43.79052
2082.885661,105.3859864,83.1867808,46.15370307,49.16973
2082.054517,106.3139107,83.48252019,41.46072553,54.649
2081.223235,116.8285129,89.1843971,40.72444218,62.10695
2080.391814,128.1548419,101.1251488,41.67117313,69.49158
2079.560255,139.2385848,116.1100711,42.32916832,77.88888
2078.728558,149.4945958,130.1383904,44.08694524,82.9702
2077.896722,155.9529836,139.9935116,47.23611576,83.25635
2077.064748,166.2371414,149.2302297,50.85555818,84.88951
2076.232636,174.7273523,156.206862,55.39764406,88.97111
2075.400384,176.8247976,157.3749724,59.68539936,91.50248
2074.567995,173.2794636,154.0762456,60.04795487,88.1048
2073.735467,161.3075153,145.9938199,55.94617634,81.94004
2072.9028,147.6217644,133.7939299,50.9592606,72.82948
2072.069994,135.8530241,120.7737618,48.67188462,61.37608
2071.23705,128.3655512,111.4887085,49.85291914,57.76113
2070.403967,128.8036611,108.0756286,51.95503112,59.22686
