Raman shift (cm-1),RP_AS,RP_HS_V2,RP_HS_V3,RP_HS_V4
735.4604456,44.56994651,19.69288,-3.613997368,6.82355
739.9665264,96.94241718,65.08185667,34.04319937,62.95193
744.4657813,94.02538422,71.64887333,96.35628793,78.20475
748.9582215,20.97342091,48.24738,100.5736254,73.84156
753.4438587,1.619891461,4.76117,56.59710324,28.77708
757.9227042,-13.59282408,-6.699373333,-13.0997479,-14.39817
762.3947696,-46.01278151,29.89458333,-31.13726326,-10.54288
766.8600662,17.36304769,-9.460836667,50.32745704,38.01299
771.3186056,128.1770544,77.43681667,105.544842,121.09296
775.770399,65.86201984,88.19710333,94.81438727,75.97504
780.215458,21.81901086,57.88227667,100.6342118,118.67141
784.6537939,19.77722023,49.64512667,53.62162584,82.26235
789.0854181,36.08862389,48.38757333,-29.65379775,-17.813
793.510342,96.16643857,42.93308,24.72899526,26.85696
797.9285769,107.7573754,42.10087333,102.6084313,126.75597
802.3401342,54.28727634,50.87237,41.91558331,45.05534
806.7450253,94.12400456,52.67260667,-14.04771024,-0.1988
811.1432614,95.29266494,71.65968333,7.29141273,-3.22718
815.5348538,18.40453554,42.58833,21.1340449,12.00012
819.9198139,50.30818829,73.29794,15.70714305,29.8557
824.2981531,58.50573295,75.72981667,27.56802363,28.26864
828.6698824,47.83389269,91.31733,56.23481972,93.14359
833.0350133,-25.78033317,93.14053667,42.63212058,78.87658
837.393557,-27.09080302,35.79468667,-4.080846112,5.22439
841.7455248,47.70776099,50.19762667,0.952807297,38.10083
846.0909278,14.2573055,45.47441667,31.08507376,69.9298
850.4297774,-9.259599235,8.968316667,7.937924842,52.88777
854.7620848,23.19602342,2.911366667,-30.06115667,-31.28899
859.0878611,12.90094129,-8.542233333,-17.68361911,-5.60052
863.4071176,60.39415859,-12.40949333,5.79978583,11.77704
867.7198655,145.6451068,37.67504333,6.847912084,-36.88674
872.026116,189.4601455,82.70536,31.88510567,16.59921
876.3258802,196.271505,108.4068333,63.14061374,100.90041
880.6191693,137.319488,138.0820067,73.62244257,88.84749
884.9059946,194.9014216,186.2155,108.6215532,118.70479
889.186367,186.349673,198.0759633,86.96430664,101.40277
893.4602979,9.822330853,120.9964267,10.39349581,17.85352
897.7277982,-12.01690567,62.94611667,22.28876952,47.97677
901.9888793,122.5740456,42.70527,48.22539964,10.36458
906.2435521,120.1066493,66.82516,57.38530296,25.68046
910.4918277,78.46146614,108.98996,86.57026297,51.48302
914.7337174,52.97316305,87.80247333,81.13643194,56.59511
918.9692321,15.73167311,86.27775667,78.20573431,36.78569
923.1983831,32.08803635,78.3382,88.25304571,39.16602
927.4211813,45.15778479,44.70820333,113.8217106,127.982
931.6376378,83.24586769,52.38550667,125.3144465,195.27931
935.8477637,75.01838186,56.53617,69.66943929,56.63819
940.0515701,29.76896307,55.47015667,40.60911585,56.16325
944.249068,11.85998185,6.597206667,48.64193878,-8.89663
948.4402684,11.31260875,12.19108667,12.72767681,-38.47022
952.6251825,-0.347067414,49.81932667,-17.49669152,32.6853
956.8038212,44.94097567,44.28222333,29.03886357,65.18323
960.9761955,69.331214,37.27010667,77.42462597,98.772
965.1423166,87.01562971,34.00591667,82.5628371,61.08321
969.3021953,62.45537146,43.62200667,100.5756164,92.57263
973.4558427,35.86640573,62.60491333,83.56504803,48.04937
977.6032699,46.51254929,55.68507667,40.40101856,15.11614
981.7444877,34.68124913,38.16672667,32.71226033,35.10757
985.8795072,38.01426172,27.26851333,14.18722421,23.96731
990.0083394,-27.26713839,-6.579866667,2.036221017,27.15007
994.1309953,-48.00171606,12.93127,8.445729421,38.37383
998.2474857,-10.45645404,44.52246,-18.26061188,19.30118
1002.357822,10.95431213,36.66717333,-41.44527954,-31.37471
1006.462014,91.74890289,93.91104333,-14.14602302,36.52362
1010.560075,140.4708562,115.2773933,16.8302628,66.93084
1014.652013,63.04331362,80.83152333,29.68646647,74.79365
1018.737841,66.51316646,47.77924,35.23479905,120.8782
1022.81757,97.81340654,80.23638667,29.09060127,104.28565
1026.891209,54.20081606,96.96308333,44.93023241,139.66387
1030.958771,28.32113194,63.30227,54.53607348,113.65545
1035.020266,40.56382928,80.81324333,31.58793397,135.48458
1039.075705,20.59257179,62.86900667,4.845089784,60.95638
1043.1251,16.15060057,47.34208667,-8.707475615,24.68904
1047.16846,43.965573,43.788,43.34016301,80.10685
1051.205797,42.8840101,-7.07133,69.01232258,135.34101
1055.237121,20.1623263,4.028136667,7.778301688,37.76795
1059.262444,72.1833457,124.51819,7.467151122,8.08078
1063.281777,260.0212395,296.3284467,102.5315999,73.63398
1067.295131,636.4501562,581.6507767,259.4277845,213.09541
1071.302515,1028.620293,824.41516,391.9802588,454.09371
1075.303942,1204.228746,803.84628,373.8809377,432.75894
1079.299422,1196.789967,658.34293,256.5975652,355.05349
1083.288966,839.8171616,434.9556967,129.4550838,180.72434
1087.272585,427.3863173,186.63202,2.020611737,38.03921
1091.250289,229.5609856,55.59183,-55.52306812,-33.00664
1095.222091,53.93762411,2.924113333,9.912418994,15.91977
1099.187999,-17.66477161,16.50276333,62.47153032,38.64532
1103.148026,10.53600631,23.07815,29.6098985,38.61209
1107.102183,-15.06221592,18.77232333,11.91559837,3.2778
1111.050479,22.62621804,27.16596,48.76109281,9.13722
1114.992927,33.82422848,42.74302,85.89807688,58.1932
1118.929536,6.115153286,97.36569333,78.24428985,29.2414
1122.860318,90.48647355,191.6128867,61.80535257,28.77197
1126.785283,222.6763445,355.59946,111.684847,52.59183
1130.704443,444.1103443,681.6045333,269.6517535,213.19443
1134.617808,758.2930081,1046.886853,476.9013617,419.3262
1138.52539,976.6622285,1286.77818,594.7082928,569.0083
1142.427198,966.8189164,1243.942653,558.5660899,523.0221
1146.323244,703.7757122,923.0160833,409.161543,408.53461
1150.213538,377.4501456,564.72398,191.2393233,189.44025
