Wavelength,AAB_4-ATP^10-15M_C2_M3_I1
1719.91187237778,55.230968518472935
1719.0193510922,54.442905633399945
1718.12667829174,56.15499816686874
1717.23385394324,53.93035801727489
1716.34087801349,45.37025862939277
1715.44775046931,38.85169293026177
1714.55447127747,36.17733906676533
1713.66104040476,31.074023139758175
1712.76745781794,24.644029449322872
1711.87372348378,20.466779078769548
1710.97983736902,18.56630704321448
1710.0857994404,20.62202588562044
1709.19160966465,24.481630372889196
1708.29726800848,25.45678545376543
1707.40277443861,27.27947502068614
1706.50812892173,32.23534328203891
1705.61333142453,32.66302972301792
1704.71838191368,24.096291142633035
1703.82328035586,12.517890311065464
1702.92802671771,8.91995124923081
1702.03262096589,16.169137935502974
1701.13706306704,23.239178614818954
1700.24135298777,25.19159117856502
1699.3454906947,30.189549362876953
1698.44947615444,39.495537996729496
1697.5533093336,47.712043976884594
1696.65699019874,53.53644886192136
1695.76051871644,54.56583376054704
1694.86389485328,49.79214684386879
1693.9671185758,45.39084632827573
1693.07018985055,45.839463370420965
1692.17310864406,49.20586739711801
1691.27587492286,52.81156445592223
1690.37848865346,56.16097811644788
1689.48094980236,60.702234447753405
1688.58325833605,67.87381075877789
1687.68541422103,77.17546998258824
1686.78741742376,87.45399382108711
1685.8892679107,96.2183979271288
1684.99096564831,97.89560060705595
1684.09251060302,88.99899747035968
1683.19390274128,77.3165401602471
1682.29514202949,79.2448877445739
1681.39622843407,97.49043847770749
1680.49716192143,115.06655300567425
1679.59794245795,124.17188679474627
1678.69857001,133.21080918668338
1677.79904454397,142.902026448619
1676.89936602621,147.06279453858022
1675.99953442307,145.03260067780124
1675.09954970089,135.91323325575095
1674.199411826,120.5060059816846
1673.2991207647,107.55543662874976
1672.39867648332,100.61088813652988
1671.49807894815,92.3144384435505
1670.59732812547,78.50921585367698
1669.69642398157,62.78177553073831
1668.79536648271,50.232907734986924
1667.89415559514,42.88241285359638
1666.99279128512,37.3606992546402
1666.09127351887,30.538731793741196
1665.18960226262,21.949101337827727
1664.28777748258,8.812999318042628
1663.38579914497,-7.552925307424766
1662.48366721597,-17.733600076708623
1661.58138166177,-15.673494831960877
1660.67894244854,-4.916632568830107
1659.77634954244,4.729138846633845
1658.87360290963,7.42641014387717
1657.97070251624,8.045617650152867
1657.06764832842,9.934487996696932
1656.16444031227,10.15065250886787
1655.26107843392,9.342831683802716
1654.35756265945,7.342966874099147
1653.45389295497,1.2326357261303096
1652.55006928654,-3.8459544872335045
1651.64609162025,-2.5157581316867788
1650.74195992214,-0.5303887939573182
1649.83767415827,-2.151543144143192
1648.93323429468,-4.7300754053201555
1648.02864029738,-8.09989298686357
1647.12389213241,-9.758975068509887
1646.21898976576,-3.417624048092469
1645.31393316342,8.59159887762849
1644.4087222914,17.04261091119738
1643.50335711565,16.555620772770123
1642.59783760216,11.00310112607187
1641.69216371686,12.280957951222534
1640.78633542571,25.59705715279451
1639.88035269464,42.1879516177129
1638.97421548956,55.32437976606633
1638.0679237764,67.61633457487564
1637.16147752105,79.73463300138175
1636.25487668941,89.81527269703476
1635.34812124736,101.90860935768325
1634.44121116076,121.7207647607299
1633.53414639548,145.47566348450695
1632.62692691737,162.65269073776903
1631.71955269226,173.67672232815718
1630.81202368599,190.10618983966532
1629.90433986436,212.26610329012243
1628.9965011932,231.66303363187194
1628.08850763829,250.61966242997556
1627.18035916542,272.49951250485447
1626.27205574037,289.722116500906
1625.3635973289,296.9909746387759
1624.45498389677,297.0143706857605
1623.54621540972,291.6691906804362
1622.63729183349,279.69225203823936
1621.72821313379,262.03790632924205
1620.81897927635,245.06460984171238
1619.90959022686,233.53377604047222
1619.00004595101,223.42446141587644
1618.09034641448,207.76956603500727
1617.18049158296,185.23595654516507
1616.27048142209,160.37345862085638
1615.36031589752,137.74698366769726
1614.4499949749,118.15302817781841
1613.53951861984,100.74683990928563
1612.62888679797,83.30096172449717
1611.7180994749,62.112001206723676
1610.80715661622,41.00405203241703
1609.89605818751,32.69665616659743
1608.98480415436,37.40172179448579
1608.07339448232,38.27075938074232
1607.16182913695,30.97127554971615
1606.25010808379,28.568842115927918
1605.33823128838,35.38703698648456
1604.42619871623,43.88168640583286
1603.51401033287,48.476761064442634
1602.60166610378,50.89268761806959
1601.68916599446,56.86613577181386
1600.77650997038,65.90559277964651
1599.86369799703,73.17853874970113
1598.95073003985,81.0620954556371
1598.03760606429,93.9329866702343
