#Wave,#Intensity1,#Intensity2,#Intensity1,#Intensity2,#Intensity3,#Intensity1,#Intensity2,#Intensity3,#Intensity2,#Intensity3,#Intensity2
2058.929623,6609,5927,7012,5968,5471,5991,5400,5085,7303,6167,7422
2058.094317,6657,5989,7054,5857,5535,5959,5356,5184,7303,6205,7474
2057.258872,6600,6054,7013,5982,5397,6042,5429,5225,7349,6140,7466
2056.423287,6686,5938,6990,5857,5463,6039,5425,5212,7254,6170,7491
2055.587564,6657,5942,6931,5898,5446,6036,5450,5145,7220,6191,7247
2054.751701,6600,5983,6982,5924,5382,5966,5427,5186,7312,6162,7522
2053.915698,6581,6014,6947,5869,5424,5961,5398,5148,7351,6235,7388
2053.079557,6642,5967,6972,5894,5463,6023,5418,5159,7250,6166,7515
2052.243276,6641,5985,6921,5902,5484,5990,5460,5175,7149,6154,7420
2051.406856,6679,5911,6986,5987,5456,6026,5451,5174.807918,7251,6160,7391
2050.570296,6641,5997,7007,5917,5438,6024,5491,5174.615803,7213,6073,7388
2049.733597,6647,5943,6980,5906,5375,5972,5453,5174.423657,7260,6180,7421
2048.896758,6540,6006,7063,5963,5425,6034,5375,5174.231478,7297,6214,7329
2048.05978,6680,5979,7083,5973,5462,5965,5456,5174.039268,7325,6147,7399
2047.222662,6703,6002,7117,5965,5363,6012,5394,5173.847025,7230,6252,7483
2046.385405,6696,5991,6988,5873,5414,5989,5315,5173.65475,7293,6191,7495
2045.548008,6694,5997,6867,5896,5499,5970,5460,5173.462444,7249,6138,7445
2044.710471,6703,5955,6977,5887,5425,6023,5442,5173.270105,7278,6226,7406
2043.872795,6634,5943,7078,5855,5438,5983,5514,5173.077734,7261,6208,7361
2043.034979,6592,5964,7048,5961,5413,6022,5385,5172.885331,7329,6143,7479
2042.197023,6713,6070,7069,5909,5522,5940,5408,5172.692896,7360,6276,7503
2041.358928,6690,5964,7142,6006,5385,6078,5446,5172.500429,7339,6261,7447
2040.520692,6757,6020,7046,5891,5543,6043,5446,5172.30793,7338,6180,7522
2039.682317,6610,6022,6954,5951,5389,6055,5472,5172.115399,7248,6233,7420
2038.843802,6689,5986,7033,5872,5488,5904,5364,5171.922835,7374,6211,7442
2038.005148,6626,6032,7093,5821,5422,5904,5401,5171.73024,7248,6149,7436
2037.166353,6699,5973,7023,5869,5560,5989,5418,5171.537612,7301,6121,7383
2036.327418,6673,5903,7065,5933,5421,6071,5427,5171.344952,7400,6234,7443
2035.488344,6846,6082,7001,5987,5325,5993,5362,5171.15226,7257,6181,7470
2034.649129,6764,6072,7085,5881,5415,6060,5399,5170.959536,7349,6145,7362
2033.809775,6726,6084,7100,6023,5392,6040,5402,5170.76678,7298,6186,7555
2032.97028,6733,5958,7087,5893,5491,5982,5414,5170.573992,7251,6180,7442
2032.130646,6603,6096,7005,5849,5507,6075,5454,5170.381171,7261,6165,7393
2031.290871,6678,5943,6951,5954,5493,5973,5347,5170.188318,7258,6272,7343
2030.450956,6695,6050,7109,5930,5477,6070,5442,5169.995433,7444,6197,7534
2029.610901,6730,6103,6963,5894,5476,6087,5450,5169.802516,7318,6254,7419
2028.770705,6646,6062,7052,6019,5545,6019,5366,5169.609567,7454,6187,7459
2027.93037,6741,5985,7085,5916,5426,6057,5448,5169.416585,7335,6087,7585
2027.089894,6704,6044,7065,5973,5595,6004,5426,5169.223572,7386,6211,7553
2026.249278,6754,5938,7095,5975,5423,6065,5403,5169.030526,7323,6208,7430
2025.408521,6711,6051,7089,5947,5488,6021,5434,5168.837447,7336,6231,7469
2024.567625,6669,6031,7125,5909,5520,5978,5446,5168.644337,7486,6177,7441
2023.726588,6667,6069,7121,5941,5440,6031,5451,5168.451194,7303,6232,7460
2022.88541,6727,5959,7044,5935,5509,6145,5450,5168.258019,7333,6379,7482
2022.044092,6703,6002,7153,5943,5537,6071,5413,5168.064812,7394,6279,7509
2021.202634,6687,6073,7183,5945,5455,6085,5432,5167.871573,7426,6214,7621
2020.361035,6835,6105,6979,5979,5568,6078,5534,5167.678301,7343,6273,7616
2019.519295,6790,6069,6992,6018,5443,6043,5423,5167.484997,7347,6176,7300
2018.677415,6700,6104,7162,6042,5506,6044,5481,5167.291661,7435,6205,7461
2017.835394,6824,5975,7027,5962,5525,5994,5491,5167.098293,7486,6275,7549
2016.993233,6670,6066,7085,6011,5568,6087,5522,5166.904892,7297,6347,7549
2016.150931,6773,6061,7094,6042,5483,6045,5405,5166.711459,7446,6223,7422
2015.308489,6707,5916,7056,5948,5525,5989,5460,5166.517993,7466,6234,7454
2014.465905,6749,6078,7145,6032,5493,6004,5450,5166.324496,7363,6288,7350
2013.623181,6708,6008,7114,5984,5521,6114,5446,5166.130966,7394,6199,7566
2012.780317,6806,6094,7036,5927,5445,6066,5386,5165.937403,7357,6268,7501
2011.937311,6801,6084,7180,5965,5531,6117,5477,5165.743808,7477,6213,7496
2011.094165,6855,6067,7150,6053,5559,6082,5467,5165.550181,7461,6328,7494
2010.250877,6807,6149,7236,5973,5560,6157,5460,5165.356522,7351,6371,7574
2009.407449,6716,6096,7045,6012,5533,6013,5473,5165.16283,7425,6298,7595
2008.56388,6834,6018,7085,6069,5496,6103,5508,5164.969106,7364,6311,7433
2007.72017,6820,6157,7210,5974,5612,6079,5418,5164.77535,7498,6336,7539
2006.876319,6881,6105,7136,6093,5539,6144,5453,5164.581561,7353,6240,7513
2006.032327,6903,6055,7053,5981,5525,6113,5428,5164.38774,7377,6283,7580
2005.188194,6829,6070,7206,5988,5512,6114,5531,5164.193886,7537,6253,7545
2004.34392,6903,6146,7232,5956,5561,6068,5585,5164,7406,6278,7627
2003.499505,6787,6110,7119,6069,5572,6071,5514,5313,7414,6287,7632
2002.654948,6806,6112,7285,6008,5524,6076,5377,5239,7424,6229,7568
2001.810251,6801,6048,7144,5981,5579,6119,5564,5220,7483,6287,7701
2000.965412,6768,6099,7074,5956,5551,6047,5436,5255,7420,6334,7563
2000.120432,6877,6140,7261,6040,5575,6213,5479,5250,7435,6344,7597
1999.275311,6848,6178,7201,5975,5524,6163,5495,5234,7521,6397,7546
1998.430049,6863,6169,7186,5996,5536,6153,5466,5265,7517,6357,7618
1997.584645,6778,6161,7183,5925,5534,6113,5485,5249,7508,6324,7612
1996.7391,6857,6139,7211,6047,5534,6131,5446,5215,7557,6344,7478
1995.893414,6844,6187,7126,6044,5530,6077,5508,5297,7466,6310,7538
1995.047586,6907,6171,7191,6048,5516,6165,5478,5298,7422,6346,7579
1994.201617,6916,6161,7136,5925,5544,6070,5518,5248,7508,6400,7653
1993.355506,6952,6190,7197,6025,5580,6166,5630,5182,7544,6387,7707
1992.509254,6874,6192,7234,6056,5607,6202,5445,5199,7621,6321,7732
1991.66286,6854,6173,7278,6007,5553,6106,5482,5311,7553,6345,7685
1990.816325,6928,6189,7292,6081,5549,6155,5513,5244,7445,6362,7578
1989.969648,6830,6154,7179,6050,5489,6195,5524,5287,7612,6317,7659
1989.122829,6851,6255,7229,5981,5559,6168,5499,5234,7491,6365,7671
1988.275869,6937,6148,7239,6047,5558,6078,5609,5291,7535,6419,7669
1987.428768,6888,6276,7265,6147,5553,6170,5486,5246,7515,6439,7737
1986.581524,6852,6254,7148,6034,5605,6175,5547,5276,7478,6364,7613
1985.734139,6907,6139,7246,6029,5560,6108,5460,5343,7653,6455,7777
1984.886612,6852,6198,7225,6044,5568,6159,5544,5246,7591,6377,7603
1984.038943,6880,6185,7232,6035,5585,6059,5516,5273,7487,6435,7647
1983.191133,6959,6221,7103,6151,5609,6125,5579,5312,7608,6348,7604
1982.34318,6889,6289,7251,6087,5523,6203,5514,5267,7486,6363,7657
