#Wave,#Intensity1,#Intensity2,#Intensity3
1876.0878,7559.250147,6270.245435,5812
1875.221875,7559,6278,5776
1874.355805,7473,6337,5753
1873.489588,7507,6243,5731
1872.623226,7524,6252,5774
1871.756718,7626,6178,5799
1870.890064,7575,6309,5805
1870.023264,7600,6394,5869
1869.156318,7505,6344,5792
1868.289226,7579,6275,5753
1867.421989,7484,6284,5709
1866.554605,7457,6298,5803
1865.687075,7495,6313,5781
1864.819399,7568,6331,5886
1863.951577,7573,6254,5743
1863.083609,7485,6375,5722
1862.215495,7589,6353,5777
1861.347234,7484,6218,5760
1860.478828,7534,6323,5797
1859.610275,7595,6368,5773
1858.741575,7511,6337,5823
1857.87273,7585,6254,5863
