#Wave,#Intensity2
1156.729346,8664
1155.739915,8733
1154.750311,8827
1153.760534,8695
1152.770583,8851
1151.780459,8798
1150.790161,8876
1149.79969,8985
1148.809045,9020
1147.818227,9050
1146.827234,8992
1145.836069,9231
1144.844729,9075
1143.853216,9171
1142.861529,9205
1141.869668,9115
1140.877634,8992
1139.885425,9071
1138.893043,9001
1137.900486,8921
1136.907756,8772
1135.914851,8845
1134.921772,8700
1133.928519,8804
1132.935092,8750
1131.941491,8791
1130.947715,8588
1129.953765,8593
1128.959641,8573
1127.965342,8562
1126.970869,8668
1125.976222,8726
1124.9814,8574
1123.986403,8699
1122.991232,8588
1121.995886,8638
1121.000365,8657
1120.00467,8585
1119.0088,8409
1118.012755,8417
1117.016536,8629
1116.020141,8430
1115.023571,8630
1114.026827,8556
1113.029908,8638
1112.032813,8567
1111.035544,8540
1110.038099,8549
1109.040479,8482
1108.042684,8623
1107.044714,8554
1106.046568,8629
1105.048247,8514
1104.049751,8475
1103.051079,8577
1102.052232,8553
1101.053209,8459
1100.054011,8553
1099.054637,8723
1098.055088,8625
1097.055363,8571
1096.055462,8492
1095.055386,8556
1094.055134,8512
1093.054706,8644
1092.054102,8625
1091.053322,8507
1090.052366,8587
1089.051235,8582
1088.049927,8652
1087.048443,8522
1086.046783,8515
1085.044947,8639
1084.042935,8655
1083.040747,8635
1082.038382,8553
1081.035841,8495
1080.033124,8580
1079.03023,8677
1078.02716,8769
1077.023913,8783
1076.02049,8734
1075.016891,8920
1074.013114,8819
1073.009161,8890
1072.005032,8826
1071.000726,8819
1069.996243,8802
1068.991583,8627
1067.986746,8772
1066.981733,8553
1065.976542,8459
1064.971175,8568
1063.96563,8456
1062.959909,8436
1061.95401,8533
1060.947934,8414
1059.941682,8446
1058.935251,8385
1057.928644,8388
1056.92186,8428
1055.914898,8348
1054.907758,8340
1053.900442,8323
1052.892947,8491
1051.885276,8308
1050.877426,8390
1049.8694,8376
1048.861195,8260
1047.852813,8274
1046.844253,8304
1045.835516,8308
1044.8266,8397
1043.817507,8253
1042.808236,8452
1041.798787,8356
1040.78916,8335
1039.779355,8256
1038.769372,8216
1037.759211,8414
1036.748872,8251
1035.738355,8261
1034.72766,8216
1033.716786,8266
1032.705734,8200
1031.694503,8317
1030.683095,8341
1029.671508,8168
1028.659742,8232
1027.647798,8218
1026.635675,8314
1025.623374,8376
1024.610894,8212
1023.598236,8231
1022.585399,8222
1021.572383,8283
1020.559188,8349
1019.545814,8254
1018.532262,8206
1017.518531,8219
1016.504621,8263
1015.490531,8314
1014.476263,8287
1013.461816,8220
1012.447189,8176
1011.432383,8182
1010.417399,8269
1009.402235,8214
1008.386891,8288
1007.371368,8231
1006.355666,8369
1005.339785,8233
1004.323724,8195
1003.307483,8262
1002.291063,8260
1001.274464,8226
1000.257685,8336
999.2407258,8232
998.2235873,8277
997.2062689,8413
996.1887708,8344
995.1710929,8148
994.1532351,8267
993.1351974,8138
992.1169797,8179
991.098582,8277
990.0800042,8231
989.0612464,8198
988.0423085,8132
987.0231904,8178
986.003892,8248
984.9844134,8147
983.9647546,8236
982.9449153,8252
981.9248957,8200
980.9046957,8155
979.8843152,8239
978.8637542,8235
977.8430127,8177
976.8220905,8252
975.8009877,8264
974.7797043,8234
973.7582401,8152
972.7365952,8078
971.7147694,8186
970.6927628,8141
969.6705754,8053
968.6482069,8142
967.6256576,8192
966.6029272,8112
965.5800157,8070
964.5569231,8250
963.5336494,8092
962.5101945,8065
961.4865584,8074
960.462741,8106
959.4387423,7995
958.4145623,8021
957.3902008,8021
956.3656579,7983
955.3409335,8101
954.3160276,8065
953.2909401,7985
952.265671,8132
951.2402203,8017
950.2145878,8077
949.1887736,7943
948.1627777,8136
947.1365999,7989
946.1102402,8010
945.0836986,8085
944.0569751,8055
943.0300696,8047
942.002982,7978
940.9757123,7964
939.9482606,7964
938.9206266,7929
937.8928105,8039
936.8648121,8004
935.8366314,7932
934.8082683,8056
933.7797229,8067
932.750995,7992
931.7220847,8038
930.6929919,7939
929.6637165,7967
928.6342585,7855
927.6046179,8042
926.5747946,8050
925.5447886,8056
924.5145998,8006
923.4842282,7932
922.4536737,8062
921.4229363,8019
920.392016,8045
919.3609127,7990
918.3296264,7999
917.298157,8044
916.2665045,8030
915.2346689,7913
914.20265,8044
913.1704479,8016
912.1380626,8084
911.1054938,8116
910.0727418,8048
909.0398063,8083
908.0066873,8013
906.9733848,7992
905.9398988,8031
904.9062292,7974
903.872376,8048
902.8383391,7880
901.8041185,7971
900.7697141,7970
899.7351259,8020
898.7003538,7995
897.6653979,7984
896.630258,7953
895.5949342,7938
894.5594263,7927
893.5237344,7941
892.4878583,7965
