#Wave,#Intensity1,#Intensity2
2147.291119,7151,6639
2146.470674,7058,6692
2145.650094,7120,6759
2144.829377,7109,6757
2144.008524,7027,6781
2143.187535,7080,6764
2142.36641,7033,6752
2141.545148,7015,6716
2140.723751,7130,6789
2139.902217,7077,6865
2139.080546,7065,6808
2138.25874,7067,6725
2137.436797,7031,6682
2136.614718,7095,6725
2135.792502,7172,6766
2134.97015,7049,6739
2134.147661,7066,6663
2133.325036,7184,6818
2132.502275,7107,6746
2131.679377,7114,6766
2130.856342,7009,6749
2130.033171,6969,6722
2129.209863,7031,6773
2128.386418,7140,6806
2127.562837,7052,6712
2126.739119,7016,6763
2125.915264,7011,6719
2125.091273,7036,6683
2124.267144,6988,6782
2123.442879,7042,6748
2122.618477,7070,6816
2121.793938,7121,6776
2120.969262,7076,6834
2120.144449,7157,6721
2119.3195,6952,6762
2118.494413,7086,6662
2117.669189,7014,6658
2116.843828,7064,6750
2116.01833,7100,6668
2115.192695,7110,6723
2114.366923,7138,6757
2113.541013,7017,6701
2112.714967,6969,6800
2111.888783,7098,6724
2111.062462,7067,6780
2110.236003,7187,6754
2109.409407,7087,6750
2108.582674,7081,6730
2107.755804,7003,6838
2106.928796,7110,6752
2106.10165,7149,6860
2105.274367,7116,6754
2104.446947,7180,6852
2103.619389,7144,6668
2102.791694,7106,6722
2101.963861,7066,6815
2101.13589,7113,6680
2100.307782,6996,6765
2099.479536,7071,6691
2098.651152,7060,6819
2097.822631,7080,6893
2096.993972,7093,6824
2096.165175,7164,6839
2095.33624,6958,6712
2094.507167,7145,6789
2093.677957,7054,6818
2092.848608,7127,6735
2092.019122,7041,6757
2091.189498,7016,6735
2090.359736,7088,6754
2089.529835,7110,6729
2088.699797,7024,6657
2087.86962,7039,6738
2087.039306,7186,6679
2086.208853,7081,6742
2085.378262,7100,6763
2084.547533,7081,6776
2083.716666,7014,6811
2082.885661,7030,6721
2082.054517,7142,6805
2081.223235,7123,6775
2080.391814,7002,6705
2079.560255,7067,6748
2078.728558,7020,6827
2077.896722,7150,6760
2077.064748,7161,6751
2076.232636,7052,6779
2075.400384,7199,6827
2074.567995,7101,6820
2073.735467,7243,6805
2072.9028,7014,6767
2072.069994,7067,6709
2071.23705,7046,6659
2070.403967,7074,6737
2069.570746,7097,6703
2068.737385,7088,6793
2067.903886,7043,6730
2067.070248,7138,6745
2066.236471,6941,6744
2065.402556,7048,6697
2064.568501,7155,6618
2063.734308,7089,6693
2062.899975,7080,6792
2062.065504,7101,6707
2061.230893,7101,6802
2060.396144,7030,6750
2059.561255,7024,6764
2058.726228,7062,6748
2057.891061,7050,6721
2057.055755,7090,6684
2056.22031,7011,6696
2055.384725,6982,6731
2054.549002,7098,6695
2053.713139,6941,6656
2052.877137,6954,6714
2052.040995,7092,6734
2051.204714,7014,6777
2050.368294,7021,6705
2049.531734,7008,6756
2048.695035,6993,6559
2047.858196,7066,6693
2047.021218,7110,6689
2046.1841,7085,6821
2045.346843,7043,6687
2044.509446,7048,6578
2043.671909,7049,6758
2042.834233,7141,6653
2041.996417,6928,6738
2041.158461,6970,6748
2040.320366,7052,6709
2039.482131,7045,6820
2038.643756,7017,6639
2037.805241,7074,6619
2036.966586,6900,6699
2036.127791,7004,6707
2035.288857,6967,6711
2034.449782,7024,6661
2033.610568,6991,6727
2032.771213,7116,6749
2031.931719,6953,6666
2031.092084,7029,6664
2030.252309,7148,6636
2029.412394,7036,6584
2028.572339,7053,6728
2027.732144,7065,6702
2026.891808,7071,6711
2026.051332,7074,6654
2025.210716,7034,6754
2024.36996,6960,6709
2023.529063,7047,6709
2022.688026,7152,6756
2021.846848,7072,6671
2021.00553,7115,6675
2020.164072,6984,6648
2019.322473,7128,6725
2018.480733,7028,6681
2017.638853,7078,6696
2016.796833,7112,6713
2015.954672,6982,6709
2015.11237,7108,6725
2014.269927,7082,6756
2013.427344,6945,6709
2012.58462,7187,6699
2011.741755,7012,6701
2010.898749,7103,6711
2010.055603,7038,6802
2009.212316,7116,6688
2008.368888,7042,6554
2007.525318,7015,6701
2006.681608,6972,6706
2005.837757,7072,6733
2004.993765,7100,6624
2004.149632,7127,6747
2003.305358,7106,6728
2002.460943,7068,6665
2001.616387,6989,6735
2000.771689,6974,6708
1999.926851,7010,6686
1999.081871,7047,6784
1998.23675,7062,6852
1997.391487,7101,6780
1996.546083,7093,6801
1995.700538,7079,6644
1994.854852,7011,6687
1994.009024,7020,6687
1993.163055,7162,6781
1992.316944,7078,6718
1991.470692,7126,6755
1990.624298,7010,6784
1989.777763,7049,6693
1988.931086,7047,6684
1988.084268,7111,6791
1987.237308,7151,6740
1986.390206,7101,6706
1985.542962,7044,6679
1984.695577,7089,6626
1983.84805,6965,6614
1983.000382,7047,6726
1982.152571,7043,6705
1981.304619,7134,6785
1980.456524,7162,6863
1979.608288,7109,6605
1978.75991,7084,6665
1977.91139,7116,6735
1977.062728,7109,6664
1976.213924,7136,6642
1975.364977,7132,6723
1974.515889,7002,6713
1973.666659,7216,6781
1972.817286,7060,6762
1971.967771,7042,6727
1971.118114,7177,6703
1970.268315,7100,6763
1969.418374,7126,6697
1968.56829,7117,6820
1967.718064,7084,6784
1966.867695,7003,6671
1966.017184,7116,6777
1965.166531,7137,6720
1964.315735,7107,6693
1963.464797,7244,6764
1962.613716,7156,6735
1961.762493,7144,6790
1960.911127,7091,6718
1960.059618,7123,6676
1959.207967,7075,6760
1958.356173,7095,6747
1957.504237,7084,6784
1956.652157,7092,6713
1955.799935,7120,6660
1954.947571,7160,6693
1954.095063,7019,6856
1953.242412,7077,6706
1952.389619,7100,6761
1951.536683,7078,6692
1950.683603,7027,6654
1949.830381,7102,6740
1948.977016,7065,6724
1948.123508,7080,6597
1947.269856,7030,6758
1946.416062,7082,6768
1945.562124,7070,6794
1944.708044,7120,6738
1943.85382,7024,6755
1942.999453,7096,6666
1942.144942,7082,6742
1941.290289,7015,6725
1940.435492,7143,6734
1939.580551,7076,6682
1938.725468,7167,6668
1937.87024,7120,6627
1937.01487,7011,6715
1936.159356,7117,6645
1935.303698,7056,6756
1934.447897,7201,6684
1933.591953,7199,6683.077852
1932.735865,7155,6682.155549
1931.879633,7051,6681.233092
1931.023257,7013,6680.31048
1930.166738,7175,6679.387713
1929.310075,7231,6678.464791
1928.453269,7118,6677.541714
1927.596318,7125,6676.618483
1926.739224,6975,6675.695096
1925.881986,7089,6674.771555
1925.024604,7147,6673.847858
1924.167079,7134,6672.924007
