#Wave,#Intensity17
1772.01084,8677
1771.12735,8547
1770.243709,8567
1769.359919,8536
1768.47598,8494
1767.591891,8576
1766.707652,8506
1765.823264,8575
1764.938725,8588
1764.054037,8743
1763.1692,8550
1762.284212,8449
1761.399075,8555
1760.513787,8539
1759.62835,8425
1758.742763,8591
1757.857025,8422
1756.971138,8680
1756.085101,8594
1755.198913,8538
1754.312575,8470
1753.426088,8601
1752.53945,8634
1751.652661,8481
1750.765723,8460
1749.878634,8606
1748.991395,8548
1748.104006,8574
1747.216466,8638
1746.328776,8538
1745.440935,8575
1744.552944,8627
1743.664802,8563
1742.77651,8618
1741.888067,8706
1740.999473,8633
1740.110729,8602
1739.221834,8501
1738.332789,8472
1737.443592,8450
1736.554245,8518
1735.664747,8531
1734.775098,8553
1733.885299,8557
1732.995348,8516
1732.105247,8533
1731.214994,8506
1730.32459,8548
1729.434036,8581
1728.54333,8479
1727.652473,8494
1726.761465,8490
1725.870306,8502
1724.978996,8457
1724.087534,8603
1723.195921,8525
1722.304157,8540
1721.412242,8623
1720.520175,8449
1719.627956,8612
1718.735586,8613
1717.843065,8464
1716.950392,8622
1716.057568,8458
1715.164592,8520
1714.271465,8581
1713.378185,8474
1712.484755,8474
1711.591172,8525
1710.697438,8464
1709.803551,8447
1708.909514,8627
1708.015324,8505
1707.120982,8471
1706.226489,8567
1705.331843,8652
1704.437046,8594
1703.542096,8550
1702.646994,8681
1701.751741,8596
1700.856335,8746
1699.960777,8657
1699.065067,8545
1698.169205,8631
1697.27319,8571
1696.377023,8610
1695.480704,8624
1694.584233,8525
1693.687609,8718
1692.790833,8616
1691.893904,8554
1690.996823,8665
1690.099589,8692
1689.202203,8831
1688.304664,8840
1687.406972,8726
1686.509128,8685
1685.611132,8703
1684.712982,8735
1683.81468,8810
1682.916225,8836
1682.017617,8926
1681.118856,8929
1680.219943,8649
1679.320876,8728
1678.421657,8987
1677.522284,8878
1676.622759,8877
1675.72308,8889
1674.823249,8748
1673.923264,8864
1673.023126,8880
1672.122835,8912
1671.222391,8918
1670.321793,8860
1669.421042,8925
1668.520138,8739
1667.619081,8949
1666.71787,8903
1665.816505,8966
1664.914988,9086
1664.013316,8878
1663.111492,8863
1662.209513,8922
1661.307381,8902
1660.405096,8977
1659.502657,9027
1658.600064,9044
1657.697317,8828
1656.794417,8882
1655.891362,8771
1654.988154,8903
1654.084793,9104
1653.181277,8976
1652.277607,9034
1651.373783,8959
1650.469806,8917
1649.565674,8841
1648.661388,9036
1647.756948,8956
1646.852354,8990
1645.947606,8956
1645.042704,8971
1644.137647,8936
1643.232436,9010
1642.327071,9033
1641.421552,8935
1640.515878,9114
1639.61005,9010
1638.704067,8952
1637.79793,8999
1636.891638,8962
1635.985192,9042
1635.078591,9082
1634.171835,9001
1633.264925,9045
1632.357861,8949
1631.450641,9012
1630.543267,9135
1629.635738,9215
1628.728054,9144
1627.820215,9069
1626.912222,9021
1626.004073,9089
1625.09577,8924
1624.187311,9209
1623.278698,9118
1622.36993,9145
1621.461006,9097
1620.551927,9029
1619.642693,9066
1618.733304,9306
1617.82376,9049
1616.914061,9091
1616.004206,9174
1615.094196,9209
1614.18403,9102
1613.273709,9186
1612.363233,9098
1611.452601,9241
1610.541814,9167
1609.630871,9223
1608.719772,9265
1607.808518,9248
1606.897109,9247
1605.985543,9166
1605.073822,9018
1604.161945,9105
1603.249913,9177
1602.337724,9192
1601.42538,9223
1600.51288,9140
1599.600224,9219
1598.687412,9108
1597.774444,9293
1596.86132,9207
1595.94804,9342
1595.034604,9433
1594.121012,9354
1593.207263,9560
1592.293359,9551
1591.379298,9503
1590.465081,9486
1589.550708,9772
1588.636178,9880
1587.721492,9842
1586.806649,9776
1585.89165,9869
1584.976495,9660
1584.061183,9797
1583.145715,9818
1582.23009,9747
1581.314308,9771
1580.39837,9664
1579.482275,9950
1578.566024,9762
1577.649615,9807
1576.73305,9599
1575.816328,9740
1574.899449,9770
1573.982414,9643
1573.065221,9671
1572.147871,9708
1571.230365,9899
1570.312701,9674
1569.394881,9548
1568.476903,9460
1567.558768,9603
1566.640476,9480
1565.722027,9522
1564.80342,9657
1563.884656,9483
1562.965735,9443
1562.046657,9416
1561.127421,9337
1560.208028,9431
1559.288477,9315
1558.368769,9164
1557.448904,9309
1556.528881,9100
1555.6087,9196
1554.688362,9323
1553.767866,9367
