#Wave,#Intensity1,#Intensity2
1475.879762,6358,5537
1474.945736,6274,5480
1474.011549,6308,5455
1473.077202,6319,5452
1472.142694,6325,5572
1471.208025,6360,5556
1470.273195,6304,5526
1469.338204,6343,5516
1468.403053,6219,5590
1467.46774,6273,5480
1466.532266,6279,5539
1465.596632,6332,5516
1464.660836,6290,5559
1463.724879,6277,5495
1462.788761,6368,5524
1461.852482,6242,5584
1460.916042,6345,5516
1459.97944,6442,5554
1459.042677,6223,5579
1458.105753,6412,5648
1457.168667,6361,5525
1456.23142,6363,5520
1455.294012,6373,5505
1454.356442,6417,5547
1453.418711,6398,5681
1452.480818,6465,5582
1451.542763,6444,5668
1450.604547,6411,5535
1449.666169,6434,5626
1448.72763,6528,5578
1447.788928,6511,5634
1446.850065,6570,5652
1445.911041,6557,5628
1444.971854,6688,5683
1444.032506,6814,5712
1443.092995,6850,5741
1442.153323,6852,5793
1441.213489,6889,5777
1440.273492,7076,5944
1439.333334,7111,5855
1438.393014,7222,5866
1437.452531,7240,5967
1436.511886,7331,5969
1435.571079,7394,5963
1434.63011,7341,6060
1433.688979,7311,6038
1432.747685,7209,6068
1431.806229,7234,6043
1430.864611,7052,6028
1429.92283,7074,6033
1428.980886,7050,6036
1428.038781,6863,6012
1427.096512,6749,5885
1426.154081,6664,5947
1425.211488,6660,6054
1424.268732,6543,6012
1423.325813,6506,5992
1422.382732,6502,5942
1421.439487,6472,5891
1420.49608,6500,5820
1419.55251,6482,5838
1418.608778,6404,5659
1417.664882,6513,5699
1416.720824,6448,5608
1415.776602,6325,5585
1414.832218,6421,5609
1413.88767,6418,5545
1412.94296,6337,5495
1411.998086,6421,5575
1411.053049,6312,5471
1410.107849,6241,5497
1409.162486,6274,5488
1408.216959,6271,5479
1407.271269,6236,5501
1406.325416,6249,5530
1405.3794,6285,5504
1404.43322,6272,5481
1403.486876,6280,5543
1402.54037,6394,5462
1401.593699,6303,5505
1400.646865,6542,5565
1399.699868,6480,5609
1398.752707,6598,5597
1397.805382,6487,5652
1396.857893,6644,5621
1395.910241,6751,5647
1394.962425,6760,5712
1394.014445,6902,5815
1393.066301,6887,5775
1392.117994,6965,5834
1391.169522,6933,5907
1390.220887,7096,5841
1389.272088,6969,5908
1388.323124,6766,5809
1387.373996,6866,5788
1386.424705,6820,5877
1385.475249,6719,5828
1384.525629,6666,5973
1383.575845,6716,5834
1382.625896,6720,5941
1381.675784,6678,5819
1380.725506,6515,5856
1379.775065,6560,5898
1378.824459,6592,5926
1377.873689,6466,5754
1376.922754,6505,5925
1375.971655,6425,5817
1375.020391,6485,5815
1374.068962,6435,5749
1373.117369,6398,5716
1372.165612,6455,5702
1371.213689,6391,5701
1370.261602,6338,5714
1369.30935,6418,5602
1368.356933,6329,5683
1367.404352,6311,5616
1366.451605,6350,5608
1365.498694,6389,5630
1364.545617,6320,5652
1363.592376,6443,5617
1362.638969,6334,5556
1361.685398,6260,5646
1360.731661,6403,5550
1359.777759,6292,5497
1358.823692,6342,5598
1357.86946,6345,5561
1356.915063,6266,5596
1355.9605,6336,5583
1355.005772,6256,5583
1354.050878,6330,5585
1353.095819,6276,5590
1352.140595,6266,5558
1351.185205,6259,5487
1350.22965,6307,5576
1349.273929,6227,5528
1348.318042,6316,5535
1347.36199,6262,5505
1346.405772,6183,5498
1345.449389,6236,5463
1344.492839,6228,5531
1343.536124,6303,5522
1342.579243,6226,5554
1341.622196,6219,5493
1340.664984,6217,5565
1339.707605,6153,5582
1338.75006,6190,5568
1337.79235,6307,5449
1336.834473,6283,5568
1335.87643,6210,5533
1334.918222,6219,5497
1333.959846,6185,5567
1333.001305,6236,5571
1332.042598,6289,5477
1331.083724,6171,5630
1330.124684,6277,5542
