#Wave,#Intensity1,#Intensity2,#Intensity4
1103.051079,13600,13162,12088
1104.049751,13659,13252,12017
1105.048247,13395,13019,11894
1106.046568,13507,13096,11936
1107.044714,13621,13077,11859
1108.042684,13557,13109,11844
1109.040479,13527,13376,12071
1110.038099,13612,13013,11800
1111.035544,13637,13032,11984
1112.032813,13461,13101,12025
1113.029908,13536,13058,11984
1114.026827,13621,13154,11979
1115.023571,13772,13032,11884
1116.020141,13708,13158,11899
1117.016536,13651,13008,11893
1118.012755,13587,13182,11856
1119.0088,13678,12983,12123
1120.00467,13526,13249,11795
1121.000365,13564,13191,12060
1121.995886,13460,13190,11914
1122.991232,13483,13048,11911
1123.986403,13607,13155,11821
1124.9814,13510,13033,11856
1125.976222,13669,13283,11964
1126.970869,13726,13157,12080
1127.965342,13705,13102,11965
1128.959641,13653,13005,12014
1129.953765,13799,13184,12134
1130.947715,13772,13435,12135
1131.941491,13884,13427,12214
1132.935092,13903,13366,12046
1133.928519,13902,13523,12176
1134.921772,13747,13592,12316
1135.914851,13799,13796,12131
1136.907756,14172,13810,12364
1137.900486,14198,13995,12531
1138.893043,14148,13936,12500
1139.885425,13967,14006,12655
1140.877634,14148,14214,12581
1141.869668,14160,14086,12594
1142.861529,14147,14388,12587
1143.853216,14259,14289,12491
1144.844729,14202,14430,12509
1145.836069,14194,14198,12533
1146.827234,14043,14034,12339
1147.818227,14215,14098,12448
1148.809045,13987,14111,12394
1149.79969,14025,14028,12475
1150.790161,13961,13767,12424
1151.780459,14089,13651,12231
1152.770583,13812,13674,12094
1153.760534,13814,13581,12268
1154.750311,13862,13538,12278
1155.739915,13842,13620,12152
1156.729346,13944,13640,12207
1157.718604,13898,13389,12068
1158.707688,13797,13403,12177
1159.696599,13858,13344,12190
1160.685337,13813,13399,12220
1161.673902,13764,13460,12298
1162.662294,13840,13453,12323
1163.650512,13807,13367,12219
1164.638558,13857,13273,12223
1165.626431,13729,13391,12203
1166.614131,14114,13411,12146
1167.601658,13830,13311,12093
1168.589012,13964,13362,12342
1169.576193,13855,13246,12268
1170.563202,13849,13173,12320
1171.550038,13905,13389,12167
1172.536701,13949,13398,12273
1173.523192,13976,13388,12286
1174.50951,13825,13203,12288
1175.495655,13767,13292,12204
1176.481628,13978,13262,12207
1177.467429,13955,13285,12325
1178.453057,14096,13516,12152
1179.438512,14118,13467,12305
1180.423796,13944,13524,12282
1181.408906,13964,13255,12123
1182.393845,14046,13452,12272
1183.378612,13817,13435,12234
1184.363206,13930,13461,12395
1185.347628,14089,13534,12296
1186.331878,13879,13249,12369
1187.315956,13957,13451,12325
1188.299862,13792,13472,12238
1189.283596,13820,13588,12288
1190.267158,13945,13424,12424
1191.250547,14063,13383,12445
1192.233766,13861,13465,12271
1193.216812,14009,13361,12353
1194.199686,13821,13463,12176
1195.182389,13847,13489,12317
1196.16492,13969,13515,12387
1197.147279,13852,13540,12338
1198.129467,13926,13467,12290
1199.111483,13886,13346,12150
1200.093328,13998,13384,12357
1201.075,13781,13223,12221
1202.056502,13982,13264,12188
1203.037832,13873,13240,12303
1204.018991,13692,13323,12258
1204.999978,13773,13155,12098
1205.980794,13622,13186,12102
1206.961438,13840,13253,12064
1207.941912,13851,13096,12180
1208.922214,13898,13256,12200
1209.902345,13816,13102,12163
1210.882305,13754,13160,12056
1211.862094,13659,13261,12105
1212.841711,13650,13298,12147
1213.821158,13833,13219,12412
1214.800434,13901,13290,12230
1215.779539,13784,13198,12212
1216.758473,13784,13049,12166
1217.737236,13798,13241,12140
1218.715828,13976,13286,12122
1219.694249,13845,13165,12148
1220.6725,13904,13422,12305
1221.65058,13758,13152,12343
1222.628489,13769,13141,12159
1223.606228,13793,13212,12341
1224.583796,13794,13198,12155
1225.561194,13910,13309,12260
1226.538421,13845,13317,12183
1227.515478,13865,13232,12330
1228.492364,13835,13021,12364
1229.46908,13963,13255,12395
1230.445625,13908,13279,12329
1231.422,13933,13303,12372
1232.398205,13979,13604,12359
1233.37424,13806,13345,12373
1234.350104,13887,13387,12457
1235.325799,13723,13239,12253
1236.301323,13803,13354,12450
1237.276677,13981,13370,12364
1238.251861,14006,13345,12453
1239.226875,14138,13296,12420
1240.20172,13958,13370,12295
1241.176394,13982,13373,12285
1242.150898,13941,13417,12488
1243.125233,14068,13386,12417
1244.099397,14098,13409,12623
1245.073392,14034,13367,12418
1246.047217,14196,13275,12289
1247.020873,14068,13222,12478
1247.994359,13977,13431,12537
1248.967675,14042,13455,12457
1249.940822,14120,13469,12634
1250.913799,13989,13514,12440
1251.886607,13980,13349,12483
1252.859245,14170,13407,12373
1253.831714,13967,13411,12527
1254.804013,14189,13598,12593
1255.776143,13978,13531,12472
1256.748104,14115,13482,12474
1257.719896,13941,13609,12462
1258.691518,14045,13309,12575
1259.662971,14176,13530,12525
1260.634255,14155,13416,12442
1261.60537,14086,13552,12512
1262.576316,13982,13480,12512
1263.547092,14040,13443,12542
1264.5177,14079,13356,12567
1265.488139,14069,13384,12527
1266.458409,14108,13485,12562
1267.42851,14193,13469,12588
1268.398442,14192,13411,12541
1269.368206,13925,13477,12378
1270.3378,14261,13338,12472
1271.307226,14019,13411,12544
1272.276484,13998,13489,12653
1273.245572,14196,13437,12664
1274.214492,14293,13375,12599
1275.183244,14116,13437,12458
1276.151827,13905,13443,12531
1277.120241,14305,13461,12660
1278.088487,14222,13458,12589
1279.056565,14353,13525,12586
1280.024474,14065,13465,12455
1280.992215,13994,13352,12553
1281.959787,13981,13352,12641
1282.927192,14160,13586,12596
1283.894428,14252,13496,12506
1284.861496,14289,13502,12693
1285.828396,14101,13343,12536
1286.795127,14105,13487,12599
1287.761691,14112,13168,12383
1288.728086,14190,13568,12442
1289.694314,14092,13473,12600
1290.660374,14211,13616,12644
1291.626265,14000,13470,12404
1292.591989,14094,13307,12504
1293.557545,14000,13201,12368
1294.522934,14142,13501,12660
1295.488154,14194,13577,12622
1296.453207,14151,13425,12628
1297.418092,14052,13306,12538
1298.382809,13962,13430,12617
1299.347359,14089,13455,12467
1300.311741,14051,13369,12737
1301.275956,14149,13540,12579
1302.240003,14060,13643,12662
1303.203883,14014,13523,12674
1304.167595,14181,13274,12453
1305.13114,13857,13495,12528
1306.094518,13969,13393,12472
1307.057728,14138,13553,12578
1308.020771,14129,13458,12788
1308.983647,13922,13611,12485
1309.946356,14038,13568,12594
1310.908897,14219,13557,12480
1311.871271,14164,13629,12611
1312.833479,14070,13366,12610
1313.795519,14207,13421,12551
1314.757392,14081,13591,12764
1315.719099,13915,13359,12499
1316.680638,13971,13397,12616
1317.64201,13946,13523,12647
1318.603216,13912,13443,12720
1319.564255,13958,13439,12618
1320.525127,14070,13423,12596
