#Wave,#Intensity1,#Intensity2,#Intensity4,#Intensity17
984.9844134,13404,12825,11516,8058
986.003892,13379,12948,11668,7952
987.0231904,13354,12971,11626,8103
988.0423085,13141,12724,11686,8045
989.0612464,13248,12892,11650,7990
990.0800042,13364,12979,11514,7960
991.098582,13388,12939,11739,8011
992.1169797,13371,12906,11516,8120
993.1351974,13263,13019,11698,8030
994.1532351,13338,13004,11606,8088
995.1710929,13296,12962,11744,8051
996.1887708,13320,12828,11784,8192
997.2062689,13547,12771,11711,8064
998.2235873,13387,12811,11733,8092
999.2407258,13358,12957,11761,7996
1000.257685,13398,13031,11464,8106
1001.274464,13317,13040,11643,8143
1002.291063,13461,13108,11714,8164
1003.307483,13427,12850,11743,8182
1004.323724,13280,12952,11652,8219
1005.339785,13244,13070,11682,8086
1006.355666,13389,12815,11801,8218
1007.371368,13188,12957,11636,7997
1008.386891,13236,12938,11635,8205
1009.402235,13227,12908,11736,8214
1010.417399,13474,12872,11657,8006
1011.432383,13371,12834,11545,7934
1012.447189,13314,12834,11627,8079
1013.461816,13418,12875,11635,8078
1014.476263,13260,12898,11595,8026
1015.490531,13282,13017,11559,8102
1016.504621,13313,12865,11633,8001
1017.518531,13248,12757,11617,8025
1018.532262,13258,12754,11493,8070
1019.545814,13401,12844,11724,8029
1020.559188,13317,12904,11740,8114
1021.572383,13291,12917,11649,8093
1022.585399,13266,12859,11783,7893
1023.598236,13034,12699,11691,7939
1024.610894,13178,12716,11669,8048
1025.623374,13278,12773,11420,8118
1026.635675,13311,12826,11731,8132
1027.647798,13234,12815,11626,8126
1028.659742,13402,12704,11573,8042
1029.671508,13315,12880,11545,7950
1030.683095,13309,12853,11754,7988
1031.694503,13252,12738,11775,8157
1032.705734,13174,12876,11518,7992
1033.716786,13254,13014,11706,8048
1034.72766,13229,12802,11639,7965
1035.738355,13316,12611,11569,7918
1036.748872,13233,12797,11593,8200
1037.759211,13289,13077,11738,8183
1038.769372,13430,12820,11849,8134
1039.779355,13323,12893,11534,8102
1040.78916,13144,12752,11596,7995
1041.798787,13445,12991,11679,8113
1042.808236,13259,12872,11789,8129
1043.817507,13393,12903,11714,8063
