Ramanshift[cm-1],Intensity,,,,,,,,
1457.576971,13762,,,,,,,,
1461.018135,13977.6,,,,,,,,
1464.454486,14069.2,,,,,,,,
1467.886036,13538.6,,,,,,,,
1471.312794,13592.6,,,,,,,,
1474.734774,13265.4,,,,,,,,
1478.151985,13966.4,,,,,,,,
1481.564439,13726,,,,,,,,
1484.972146,13656.4,,,,,,,,
1488.375119,13245.8,,,,,,,,
1491.773368,13629.8,,,,,,,,
1495.166904,14317.2,,,,,,,,
1498.555739,13513.2,,,,,,,,
1501.939883,13586,,,,,,,,
1505.319349,13283.6,,,,,,,,
1508.694146,13551.6,,,,,,,,
1512.064286,13624.6,,,,,,,,
1515.429781,13483.2,,,,,,,,
1518.790642,13402.6,,,,,,,,
1522.146879,13671.6,,,,,,,,
1525.498505,13011.2,,,,,,,,
1528.845529,13146.8,,,,,,,,
1532.187965,13728.2,,,,,,,,
1535.525822,13416.4,,,,,,,,
1538.859112,13471.4,,,,,,,,
1542.187846,14045.2,,,,,,,,
1545.512036,13081.2,,,,,,,,
1548.831693,14331.6,,,,,,,,
1552.146829,13788.8,,,,,,,,
1555.457453,13122,,,,,,,,
1558.763579,12797.6,,,,,,,,
1562.065216,13234.6,,,,,,,,
1565.362377,13407,,,,,,,,
1568.655073,13710.4,,,,,,,,
1571.943315,13552.6,,,,,,,,
1575.227114,13554.6,,,,,,,,
1578.506482,13486.8,,,,,,,,
1581.781431,14052.2,,,,,,,,
1585.051971,13586.6,,,,,,,,
1588.318114,13725,,,,,,,,
1591.579872,13752,,,,,,,,
1594.837255,13523,,,,,,,,
1598.090275,13362.4,,,,,,,,
1601.338945,13210.6,,,,,,,,
1604.583274,13735.6,,,,,,,,
1607.823275,13261.8,,,,,,,,
1611.058959,12861.6,,,,,,,,
1614.290338,13625.4,,,,,,,,
1617.517422,12713.8,,,,,,,,
1620.740224,13219.2,,,,,,,,
1623.958755,12737.6,,,,,,,,
1627.173027,12862.8,,,,,,,,
1630.38305,12567,,,,,,,,
1633.588838,13062.2,,,,,,,,
1636.7904,12748.4,,,,,,,,
1639.987749,13074,,,,,,,,
1643.180896,13233.2,,,,,,,,
1646.369853,12550.8,,,,,,,,
1649.554632,13461.2,,,,,,,,
1652.735244,12707.4,,,,,,,,
1655.9117,12379,,,,,,,,
1659.084013,12871.2,,,,,,,,
1662.252193,13434.6,,,,,,,,
1665.416254,12569.2,,,,,,,,
1668.576205,12831.6,,,,,,,,
1671.732059,13167,,,,,,,,
1674.883828,13029.6,,,,,,,,
1678.031523,12629,,,,,,,,
1681.175157,12723.6,,,,,,,,
1684.314739,12852.4,,,,,,,,
1687.450284,12695.6,,,,,,,,
1690.581801,12635.4,,,,,,,,
1693.709304,12425.6,,,,,,,,
1696.832803,12504.8,,,,,,,,
1699.952311,12672.8,,,,,,,,
1703.067839,12681.6,,,,,,,,
1706.179399,12665.2,,,,,,,,
1709.287003,13147.8,,,,,,,,
1712.390663,12617.8,,,,,,,,
1715.49039,12790,,,,,,,,
1718.586197,13082.4,,,,,,,,
1721.678095,12980.4,,,,,,,,
1724.766096,12914.6,,,,,,,,
1727.850213,12278.2,,,,,,,,
1730.930456,12728.2,,,,,,,,
1734.006838,12411.4,,,,,,,,
1737.079372,12863.6,,,,,,,,
1740.148067,12400.6,,,,,,,,
1743.212938,13521.2,,,,,,,,
1746.273996,12629.2,,,,,,,,
1749.331252,12587.4,,,,,,,,
1752.384718,12646.2,,,,,,,,
1755.434408,12778.4,,,,,,,,
1758.480332,12782,,,,,,,,
1761.522503,12699.8,,,,,,,,
1764.560933,12424.4,,,,,,,,
1767.595634,12264.4,,,,,,,,
1770.626618,12839,,,,,,,,
1773.653896,12865.8,,,,,,,,
1776.677482,12559.6,,,,,,,,
1779.697388,12452.6,,,,,,,,
1782.713625,13027,,,,,,,,
1785.726205,12945.8,,,,,,,,
1788.735141,12956.6,,,,,,,,
1791.740445,12551,,,,,,,,
1794.742129,12426.4,,,,,,,,
1797.740206,12940.2,,,,,,,,
1800.734687,13009.4,,,,,,,,
1803.725585,12754,,,,,,,,
1806.712912,12724,,,,,,,,
1809.69668,12338.8,,,,,,,,
1812.676902,12551,,,,,,,,
1815.65359,12178.2,,,,,,,,
1818.626756,12340,,,,,,,,
1821.596413,12442.6,,,,,,,,
1824.562573,12099.4,,,,,,,,
1827.525247,12463.6,,,,,,,,
1830.48445,12332,,,,,,,,
1833.440192,12393,,,,,,,,
1836.392487,12242.8,,,,,,,,
1839.341347,12618.8,,,,,,,,
1842.286784,12587,,,,,,,,
1845.22881,12075,,,,,,,,
1848.167439,12558.2,,,,,,,,
1851.102682,12389.4,,,,,,,,
1854.034553,12393,,,,,,,,
1856.963063,12146.8,,,,,,,,
1859.888226,13124,,,,,,,,
1862.810053,12580.8,,,,,,,,
1865.728557,12387.6,,,,,,,,
1868.643751,12141.6,,,,,,,,
1871.555648,12198,,,,,,,,
1874.46426,11963.4,,,,,,,,
1877.369599,12573.2,,,,,,,,
1880.271679,12343.8,,,,,,,,
1883.170512,12236.8,,,,,,,,
1886.06611,12680.4,,,,,,,,
1888.958487,12405.8,,,,,,,,
1891.847655,12356.6,,,,,,,,
1894.733626,12531.4,,,,,,,,
1897.616414,12541.6,,,,,,,,
1900.496032,12099.6,,,,,,,,
1903.372491,12439.4,,,,,,,,
1906.245805,12699.6,,,,,,,,
1909.115987,12757.8,,,,,,,,
1911.983049,12699,,,,,,,,
1914.847004,12581.8,,,,,,,,
1917.707866,12735.4,,,,,,,,
1920.565646,12673.4,,,,,,,,
1923.420359,12255,,,,,,,,
1926.272016,12395.6,,,,,,,,
1929.120631,12175.4,,,,,,,,
1931.966216,12420.2,,,,,,,,
1934.808786,12345.8,,,,,,,,
1937.648351,12591,,,,,,,,
1940.484927,12495.8,,,,,,,,
1943.318525,12598.4,,,,,,,,
1946.149158,12837,,,,,,,,
1948.97684,13883.6,,,,,,,,
1951.801584,12812.6,,,,,,,,
1954.623403,12555,,,,,,,,
1957.44231,12715.6,,,,,,,,
1960.258318,12387.2,,,,,,,,
1963.071439,12326,,,,,,,,
1965.881688,12500.2,,,,,,,,
1968.689078,12542,,,,,,,,
1971.493621,12395.4,,,,,,,,
