Wavelength,HS_AAB_P2_750_5_5_H_S1_I1,HS_AAB_P2_750_5_5_H_S1_I2,HS_AAB_P2_750_5_5_H_S1_I3,HS_AAB_P2_750_5_5_H_S1_I4,HS_AAB_P2_750_5_5_H_S1_I5
910.4382551,19.07269693,111.9402189,48.88754881,34.28664938,-19.43455645
914.6801448,-31.94160504,8.485087216,-50.65623813,-6.224744399,-106.0130033
918.9156596,-5.072907197,73.70747248,4.96281191,4.502761828,130.0114511
923.1448105,30.35556863,87.44524297,-9.891841095,18.04328431,-13.51519831
927.3676087,-34.09313968,5.702526963,-48.984225,18.93490408,7.866290595
931.5840652,115.5808936,16.33511485,13.31254081,49.2768178,43.16012362
935.7941911,-39.67900911,0.302804975,64.2389997,80.83231683,15.32795002
939.9979975,65.65656511,25.11144882,54.91360018,45.93489897,58.88541942
944.1954954,-7.076696616,-17.90560237,-2.994649337,-10.32247247,-73.54804606
948.3866958,34.78043421,-10.93398938,-29.04828495,1.656548205,-33.95626865
952.5716099,18.34727667,68.61771326,52.02936645,51.42252364,92.56441436
956.7502486,-19.9806568,17.45169236,122.4108007,62.86216218,21.02700737
960.9226229,61.72427022,18.81947863,88.79252668,44.73515046,56.1160539
965.088744,-43.21219473,-37.03637708,-21.04737106,21.34112189,3.320006327
969.2486227,-67.19854922,-54.03646087,-76.29683052,-18.95909122,-38.79535047
973.4022701,85.53500306,72.95532934,4.037369521,-49.98194686,123.1595149
977.5496973,36.2621472,14.69267993,69.43206995,-30.58670607,93.68789139
981.6909151,-7.745622248,1.721399631,50.2362921,9.455524857,-22.74432788
985.8259346,113.1878402,59.19769876,12.45240437,20.92425943,68.71920176
989.9547668,-10.01071069,-27.61961408,-8.149954851,17.42554755,-41.3033111
994.0774227,-11.21936722,45.31400352,-1.036486194,18.52400789,-95.80059063
998.1939132,137.0606739,118.6168575,-37.38339118,3.407716326,31.36572371
1002.304249,-46.00035138,-15.02339148,-73.51350816,-0.396377091,-122.566289
1006.408442,-29.26273334,14.44533729,-7.937261258,69.68410371,-16.04798925
1010.506502,108.2470266,143.1380652,52.09470469,160.5677229,70.75228087
1014.598441,102.3111752,80.60993721,21.92105162,160.7631917,72.65911513
1018.684269,41.29770812,27.01479355,-22.43503437,93.38679814,-43.18311168
1022.763997,29.66204841,115.9538003,-11.59683613,67.31233727,60.84577098
1026.837637,111.649994,143.6764115,47.47483439,108.7264621,61.83135562
1030.905199,48.84472191,168.5686661,90.35094939,163.3897316,24.7326249
1034.966694,100.9685313,228.36582,53.84403388,183.4077713,109.9026503
1039.022133,-21.10175626,132.5953107,9.629905916,160.3151184,49.94625703
1043.071527,55.38723456,65.6799175,53.65445251,116.7515013,8.099160284
1047.114887,24.33960316,89.46469539,45.66005205,71.35359265,17.77616344
1051.152224,-68.74718029,-13.05521194,-73.79039325,18.18327553,-52.42396809
1055.183549,-97.47289735,-57.15921846,-86.46849347,-29.73685981,-108.7355415
1059.208872,26.6220425,24.38339191,12.34925222,4.98785337,2.837345062
1063.228205,63.38172375,118.3259864,114.2882802,202.6669475,193.9079338
1067.241558,415.9231596,456.8080769,350.0122611,513.8285405,460.4975543
1071.248943,779.816499,764.4949039,636.6419259,757.9024744,812.3628582
1075.250369,694.0368827,711.1398041,691.4567408,806.3331852,739.9991677
1079.245849,646.9487448,618.6423357,570.2516349,689.5515996,658.3342523
1083.235393,490.6890242,408.1513842,445.0348361,490.748811,466.7319676
1087.219012,241.103543,123.8056996,302.9984846,261.7444132,175.7260851
1091.196717,-49.59462527,37.83653338,107.9341279,67.49540157,20.68588431
1095.168518,-58.39400629,-11.43587855,-35.6970844,-17.97064981,-97.15672496
1099.134427,42.62324173,-11.24063006,-21.21116387,13.07326449,51.97652013
1103.094454,28.42334925,43.01856327,41.6137985,84.11415043,4.078899842
1107.04861,42.65974697,57.57741187,42.80823663,100.2874932,50.85720618
1110.996907,31.2368453,-3.010662181,-6.687448704,46.09179078,-40.33922552
1114.939354,-52.1449233,-24.53666094,-48.37012487,-2.626499087,23.5843988
1118.875963,142.7972596,140.0827609,23.55158021,11.51451309,21.75225964
1122.806745,243.0253195,223.628557,131.5825825,88.65999721,120.3441599
1126.731711,298.6519726,323.8879141,224.5015597,262.4395742,251.1560884
1130.650871,670.3254769,638.6410214,501.0471853,583.0368234,500.2326615
1134.564236,1000.508199,977.0990998,874.3094767,965.8651092,923.8983718
