Wavelength,AAB_AS_750_5_5_H_S1_I1,AAB_AS_750_5_5_H_S1_I2,AAB_AS_750_5_5_H_S1_I3,AAB_AS_750_5_5_H_S1_I4,AAB_AS_750_5_5_H_S1_I5
815.555141188783,40.59185598147718,45.96650306638674,145.48447426384962,12.60828854422373,22.513110901649284
819.940101326081,-3.1783486378863515,61.79008355080479,134.67443480306503,-62.28585223424538,-7.3445198857853935
824.318440436175,112.67918556343619,29.70461414578031,88.53689030845936,16.01281494186956,-4.602711306816099
828.690169804544,103.98884679745194,-41.24414223401643,18.283524479068703,95.97426682628601,1.385429116158324
833.055300706441,-33.16970142378031,-112.37276047693885,-24.935387562679942,65.29395843884973,-7.059722832990538
837.413844407019,-46.435341301893445,-107.80759703290158,-13.398182416179019,0.5123027489713416,-20.742226249598257
841.76581216146,24.472927533186127,6.326555222052011,15.210906560587802,-14.349666171285131,-26.55269732958362
846.111215215094,18.885469386626333,24.819307074542206,36.97804489350305,0.6384005027477997,-18.64613355123688
850.450064803545,3.179795321330154,4.136516091156075,64.35635238932875,9.966623459574405,-1.7950920315113947
854.78237215284,56.723489652979346,39.409091998592444,79.86140739375969,3.53059795075324,12.0020820013896
859.108148479556,113.10590649731395,41.10877413666245,76.43634001705198,-22.872944905549872,26.40251629771531
863.427404990922,108.89019824719969,-4.60043487143767,117.0221336822213,-29.46366063781995,65.64155158659467
867.740152884968,142.77094993643493,19.72928917741399,219.62736559392837,35.366716686368505,137.47710941832966
872.046403350643,280.1389965316541,214.15809718544233,278.25434620382725,118.24895965825704,211.7249683840802
876.346167567935,333.03978251091274,247.941836839171,243.5821668290303,130.93947169056798,258.0005987636812
880.63945670801,280.5434558619816,94.71953888501794,234.960888407379,115.43477069118852,273.7756367346184
884.926281933318,323.3911357286671,213.66698561111718,291.2316641668182,134.64894143481726,244.57271880942125
889.206654397736,323.0027954562462,290.0432194997512,246.13205754014106,116.957857839551,144.8183601989599
893.480585246678,94.66511186479384,19.986367122558462,67.44937750843448,25.89514756502166,26.079230788407614
897.748085617228,-55.15744277618683,-97.5264109909559,-2.4468176713029877,-7.522767192317204,1.7625754487528589
902.009166638258,128.5065951374859,49.53550200547156,139.12784585345472,75.57210874284509,78.96898253522066
906.263839430554,303.6963974679239,127.87849735206817,256.1587393371728,116.98672928965978,121.00745303710022
910.51211510694,141.10831917014983,30.586197785237356,178.22614298978138,26.39167063244517,51.890742809300846
914.754004772387,-52.075614119327156,-59.398014909245475,46.19550952235809,-42.44443133045438,-27.915165116266223
918.989519524157,41.79884862531652,9.934706542595585,9.40577575888937,12.980660299609838,-13.411025825914745
923.218670451904,181.08293997049978,31.50681955480604,37.133405172492054,65.39014442596084,57.405289340714496
927.44146863781,166.20739096453084,10.013865759987265,95.33359546045898,26.802592159885677,100.84221810978693
931.657925156689,134.85826605383141,122.82543891230516,184.23885770000444,-7.588016093813323,96.73732553186466
935.868051076131,133.88821005673384,168.02514639470974,237.99962136859165,19.401774152932205,61.6397530497902
940.071857456594,96.68625644613243,55.90971815599796,200.3700945724113,24.85433636878939,17.196533448445223
944.269355351553,31.300320793224643,-76.67056487691895,111.57680307504427,-33.22257682858175,-9.653413271580462
948.460555807589,-13.130408706160617,-73.28622627711418,54.39295290839815,-59.9285104773239,-6.693953395082286
952.645469864527,-13.21386098372766,38.39363052119822,72.45507126899807,18.68863855049335,17.718343482492244
956.824108555558,42.11207728339158,17.107469192989647,137.9996599989221,137.9729295212133,51.196184253768216
960.996482907336,122.3945315018413,1.9339980596141864,186.5054317005559,204.08167223503654,76.83015519124807
965.162603940122,101.24199501267078,117.1336820047433,165.65348374997552,198.18785467081585,75.80632390142308
969.322482667874,-6.6178587757742555,121.59756102803915,71.98067283207553,131.43048455812266,50.34930938338605
973.47613009839,-16.076392179802276,36.04636639395411,-17.09426758641729,32.540925976909904,25.257017902187606
977.623557233403,51.420054380353946,32.93947982745145,-20.50012184042376,-15.654898208565399,17.71085175015355
981.764775068716,47.19451637039971,65.00862584567003,17.81211866175149,20.38294695502583,17.520169117569584
985.899794594303,-14.344200925873503,-16.50032657637719,11.082811765078311,47.459932596912765,3.470338311138196
990.028626794432,-54.9234257367599,-121.97135881954284,-9.473206769130076,5.9070287651636875,-24.749206865282147
994.151282647781,-58.36578840854864,-39.450637583651634,10.945548496503605,-39.47658529272145,-38.99408047947772
998.267773127545,-36.01025594893224,17.27494200846126,32.59825791623372,-31.359318671703676,-9.36608421510396
1002.37810920156,-13.689053941162115,-45.43318183355951,43.629868067761265,22.6026243875437,63.16720371402134
1006.48230183242,-12.370848915324503,56.19094064683136,95.75095588709732,94.12034012233514,141.59741008096233
1010.58036197756,18.10963343477078,130.5438322690639,158.42408283729773,150.97242981931663,188.53213924698414
1014.67230058943,62.47559256747595,24.86744399092407,155.80339927105544,173.3674369348783,201.161709947666
1018.75812861555,30.691353228487635,47.9460131362714,114.35405336846202,147.8599427422478,195.72981369871437
1022.83785699864,-1.72838507138637,98.11621718522375,90.54099072116131,75.97927293065356,179.56065412306788
1026.91149667675,4.291131778366367,-16.25775440694227,61.492504644782315,13.144389019499243,159.16153020689626
1030.97905858335,0.45139194836684915,-51.68948949280714,17.778420878201224,3.5824955477075378,141.34380872684372
1035.04055364748,45.55460314236366,57.661845883099495,11.363122087688058,9.236793665975853,116.1581349294203
1039.09599279379,38.872437806641685,91.46503532035071,52.34190946549483,4.737851174416079,82.44437633972812
1043.14538694272,-69.74839500898737,9.138671489835458,93.5565273630053,25.400486802537785,71.0024031422118
1047.18874701058,-29.981406064703076,-39.61716668880414,102.51903875545314,51.485061239771255,87.1808966355837
1051.22608390969,120.80559167296303,-7.328951097598583,68.76385723835126,18.8677191553259,76.66941296842745
1055.25740854842,95.98419996135529,15.228822352064231,-4.2537689536442045,-38.35603843761484,14.990908453598886
1059.28273183138,14.899913745082273,2.894127129319994,-41.631331100085305,-11.102474002962367,-3.5769381797064383
1063.30206465949,202.43448685217996,146.03581355624266,102.80253634308778,173.2853084783811,167.37648755639094
1067.3154179301,597.7726395779607,541.9225771353837,479.6560192043824,528.6386854046641,551.9077905592885
1071.32280253709,969.9043041553124,944.7492694890828,935.1974117500667,973.7428793099381,974.3988221773611
1075.32422937097,1278.1046189805672,1262.4427564916105,1225.2686214701466,1284.7088529879716,1189.6001749654856
1079.31970931903,1302.3888368503367,1294.0067657670875,1175.9224376086001,1242.534124936219,1081.082628714417
1083.3092532654,848.4517291084009,757.5143621859677,815.9239694456552,891.6057346892852,741.7709019196958
1087.2928720912,362.3303704054847,288.8807752660836,393.1917384965669,495.0496982346961,389.56905667040354
1091.27057667459,197.22623203899525,213.70106865309813,125.49405447848306,217.37402736064644,182.46437716010334
1095.24237789094,110.39826022046458,30.26791561380258,16.53192755689571,51.2684691100081,107.45008721805219
1099.20828661292,3.802158393200102,-69.02509960732347,-7.614300539475247,-17.740886018174386,66.4637087470816
1103.16831371057,-49.92993521383346,30.602215031476835,8.863041746368985,-3.617748514609403,15.48751380012379
1107.12247005146,-85.67837506218423,-9.799600369050125,18.657084704415517,21.000550038220638,-21.94259847272676
1111.07076650074,-32.27362782915884,-36.306161840302295,1.4720782417696272,1.5601247453742104,-17.891993854346687
1115.0132139213,57.3884428543365,12.542447602822762,-16.76628287876266,-31.803763207511324,27.606952194554033
1118.94982317384,37.49105968206233,5.101162001493959,-15.62489365390493,-25.644428396596652,91.42932132888146
1122.880605117,55.10616071673262,-13.204867231870686,14.809141731654275,21.148309098671092,154.6168647806623
1126.80557060744,214.55099868010373,39.91901362540332,117.39166452919271,111.81038431968301,245.16478293351648
1130.72473049994,410.08724684393997,288.59067603742966,358.50842646687624,314.1385030204746,431.72668838890934
1134.63809564756,676.1319065393442,648.1591576881962,715.1232894147224,631.6818391487272,719.8964714402103
1138.54567690167,977.1581016359806,935.2175212717342,989.1961975775791,894.339906690435,969.7106723111964
1142.44748511211,957.7686168614019,947.3151076444145,965.6595955091198,913.9348190192817,998.4002846638099
1146.34353112726,551.5792151004532,563.7028377562491,681.3769693834479,687.4874608947675,782.2931220422676
1150.23382579417,222.6026923037947,229.8685739182376,379.31440016555916,381.5555888449285,485.3994208260088
1154.11837995863,143.02013914256062,157.7309441344072,189.96769692438363,152.82251976041695,273.5787537384622
1157.99720446529,62.08538001733082,36.949124234861046,67.48539486918884,34.957697625017744,187.93867425857957
1161.8703101578,-42.68143416936503,-65.13390766194726,3.069803146422963,-2.780375491161692,199.82286376351144
1165.73770787883,-44.721818349181234,-37.98549527299357,47.459577395779256,24.060631878185262,262.80960265312245
1169.59940847026,23.70051134122332,39.65027554998096,150.79511439573173,83.41256280627243,304.46873008084964
1173.4554227732,18.466888608301844,85.71408728957103,191.86922343575304,101.56559627432077,286.54326669420544
1177.30576162817,-68.81188694575485,26.68593978333407,168.37119696748107,72.25068015224429,265.74470891698184
1181.15043587512,16.24621702596913,58.96483717207247,194.81953071231058,91.23140202000997,299.8004071691002
1184.98945635362,243.8164426620489,205.38465926877575,288.0524022705208,163.84489328311588,340.2674301364789
1188.82283390289,231.54987266447077,218.88219610336904,326.2770990092248,163.57369430649362,319.33399343838727
1192.65057936192,59.055634998866836,157.30608908618467,254.42650088060535,79.05095875038212,267.11228539770144
1196.47270356958,60.91405558128663,180.63121798756225,154.7912206212442,34.56821838022,230.04396261676192
1200.28921736473,108.04011314474621,146.7140275586946,89.69279535304437,36.28917186161243,167.92603115015996
1204.10013158627,22.984961167035763,3.826500362683049,31.931305605436187,-13.689359628561675,51.406175831204436
1207.90545707332,-79.38317829242959,-51.08846713507975,-18.870333297074367,-82.09253932820204,-36.123612036063705
1211.70520466524,-53.80399779924658,-35.45512934303656,14.105954021731229,-40.885153718334934,-6.468656242108853
1215.49938520177,174.72865006460268,117.515924508209,136.45649399893625,87.13860810078268,95.91895628465421
1219.28800952312,304.62771495984157,296.8841199558062,203.48217659825906,130.42022469347432,146.85018933846197
1223.07108847008,54.97204902913688,113.29243411883752,149.68609054892934,47.82952959601933,100.7572784754862
1226.84863288409,-65.85070607151593,-7.9536415623308585,120.88135205657412,-6.629945288897197,29.422191308041214
1230.62065360736,185.42965038321955,220.44752060921894,180.67610428696696,31.587460868472483,4.4128171610268865
1234.38716148298,211.545546595195,222.49160217335356,191.99508820526245,48.21832054451152,23.803260796816836
1238.14816735498,6.017197838908942,35.35202683298985,136.93373716275963,2.349859602788573,63.93670001474556
1241.90368206845,37.01646927957062,134.8073782355284,151.3727148879281,-14.200230630161055,102.39792593384499
1245.65371646965,124.23381837228732,266.08164062564884,215.51617901275827,17.397888128264412,96.61155448864042
