Wavelength,AAB_AS_I1,AAB_AS_I2,AAB_AS_I3,AAB_AS_I4,AAB_AS_I5,AAB_AS_750_5_5_H_S1_I1,AAB_AS_750_5_5_H_S1_I2,AAB_AS_750_5_5_H_S1_I3,AAB_AS_750_5_5_H_S1_I4,AAB_AS_750_5_5_H_S1_I5
981.7647751,65.50331,20.65135,20.80522,46.76808,25.16616,47.19451637,65.00862585,17.81211866,20.38294696,17.52016912
985.8997946,38.15899,69.12418,27.39241,166.72269,47.57579,-14.34420093,-16.50032658,11.08281177,47.4599326,3.470338311
990.0286268,15.43469,-62.151,-39.92783,3.30204,15.88089,-54.92342574,-121.9713588,-9.473206769,5.907028765,-24.74920687
994.1512826,-72.98847,-73.26385,-24.49347,-55.5587,-88.37112,-58.36578841,-39.45063758,10.9455485,-39.47658529,-38.99408048
998.2677731,-61.93335,16.16157,23.80635,-0.21505,-55.52159,-36.01025595,17.27494201,32.59825792,-31.35931867,-9.366084215
1002.378109,24.63041,-5.0649,-0.13247,-15.18139,35.01401,-13.68905394,-45.43318183,43.62986807,22.60262439,63.16720371
1006.482302,42.57348,76.4848,97.13077,163.95905,162.05214,-12.37084892,56.19094065,95.75095589,94.12034012,141.5974101
1010.580362,17.35255,204.20851,184.55532,176.52213,175.48794,18.10963343,130.5438323,158.4240828,150.9724298,188.5321392
1014.672301,7.24156,-94.96069,53.6309,23.56223,23.28356,62.47559257,24.86744399,155.8033993,173.3674369,201.1617099
1018.758129,-31.30885,9.84253,-30.90805,107.36298,73.56188,30.69135323,47.94601314,114.3540534,147.8599427,195.7298137
1022.837857,7.36335,128.11055,110.89502,99.2569,190.03949,-1.728385071,98.11621719,90.54099072,75.97927293,179.5606541
1026.911497,88.19825,3.78205,112.17171,4.52282,111.50154,4.291131778,-16.25775441,61.49250464,13.14438902,159.1615302
1030.979059,35.09496,10.8617,-15.22987,47.84612,93.17177,0.451391948,-51.68948949,17.77842088,3.582495548,141.3438087
1035.040554,21.90668,19.86087,-19.95879,27.87935,115.97568,45.55460314,57.66184588,11.36312209,9.236793666,116.1581349
1039.095993,23.82252,19.58559,-21.85028,-66.36089,-19.13282,38.87243781,91.46503532,52.34190947,4.737851174,82.44437634
1043.145387,-65.82214,50.27297,61.08613,15.02568,-28.40633,-69.74839501,9.13867149,93.55652736,25.4004868,71.00240314
1047.188747,-6.84011,-72.37585,102.65402,139.80771,104.82354,-29.98140606,-39.61716669,102.5190388,51.48506124,87.18089664
1051.226084,117.94896,5.86915,-15.93546,5.50977,37.67005,120.8055917,-7.328951098,68.76385724,18.86771916,76.66941297
1055.257409,122.38668,12.0787,6.12593,-29.96856,7.40639,95.98419996,15.22882235,-4.253768954,-38.35603844,14.99090845
1059.282732,171.97112,146.80351,96.60857,194.6197,150.34725,14.89991375,2.894127129,-41.6313311,-11.102474,-3.57693818
1063.302065,431.0892,414.9527,241.72299,416.18348,304.32939,202.4344869,146.0358136,102.8025363,173.2853085,167.3764876
1067.315418,819.91667,678.90384,689.39721,750.99974,725.38639,597.7726396,541.9225771,479.6560192,528.6386854,551.9077906
1071.322803,1080.70515,1137.17284,1045.16621,1085.33768,1139.82835,969.9043042,944.7492695,935.1974118,973.7428793,974.3988222
1075.324229,1220.03038,1147.40141,1092.15875,1252.80515,1089.76675,1278.104619,1262.442756,1225.268621,1284.708853,1189.600175
1079.319709,1243.6645,1257.29825,1138.47916,1233.26027,999.2627,1302.388837,1294.006766,1175.922438,1242.534125,1081.082629
1083.309253,908.39045,803.56232,877.95589,913.68785,839.30841,848.4517291,757.5143622,815.9239694,891.6057347,741.7709019
1087.292872,485.31925,409.04927,430.31537,604.90256,415.25509,362.3303704,288.8807753,393.1917385,495.0496982,389.5690567
1091.270577,278.74928,290.49283,229.94705,346.156,214.00494,197.226232,213.7010687,125.4940545,217.3740274,182.4643772
1095.242378,103.11488,-26.09249,-2.12459,4.28914,144.27265,110.3982602,30.26791561,16.53192756,51.26846911,107.4500872
1099.208287,13.48084,-68.6656,-74.91821,-34.5139,12.08358,3.802158393,-69.02509961,-7.614300539,-17.74088602,66.46370875
1103.168314,8.49023,33.73388,39.94434,42.55897,-20.77244,-49.92993521,30.60221503,8.863041746,-3.617748515,15.4875138
1107.12247,-23.79452,-40.92769,8.47124,15.51461,-32.12287,-85.67837506,-9.799600369,18.6570847,21.00055004,-21.94259847
1111.070767,100.54758,50.08467,35.13717,109.16796,14.76438,-32.27362783,-36.30616184,1.472078242,1.560124745,-17.89199385
1115.013214,204.7363,24.99412,12.77632,27.67259,19.09516,57.38844285,12.5424476,-16.76628288,-31.80376321,27.60695219
1118.949823,129.91331,-26.71851,-73.50999,-61.22123,-0.06427,37.49105968,5.101162001,-15.62489365,-25.6444284,91.42932133
1122.880605,228.66565,59.57616,43.52664,159.16654,181.45414,55.10616072,-13.20486723,14.80914173,21.1483091,154.6168648
1126.805571,504.52913,158.41454,224.98435,283.5355,326.46307,214.5509987,39.91901363,117.3916645,111.8103843,245.1647829
