Wavelength,HS_AAB_P4_750_5_5_H_S3_I1,HS_AAB_P4_750_5_5_H_S3_I2,HS_AAB_P4_750_5_5_H_S3_I3,HS_AAB_P4_750_5_5_H_S3_I4,HS_AAB_P4_750_5_5_H_S3_I5
1384.181184,245.6179129,368.9156903,224.153611,217.6805554,251.7861857
1387.725969,329.4735972,352.1711155,296.7811571,227.8621143,213.5785444
1391.26571,214.8524928,278.7689722,263.4224648,168.3592092,170.1166539
1394.800417,129.9611665,211.1114554,54.86213365,104.6271797,116.3463915
1398.330102,153.7310956,155.5186544,185.742975,98.65120901,88.04764875
1401.854776,9.453001602,86.94062827,127.6914625,78.09452364,74.81411365
1405.374448,-25.38800807,20.6208696,-37.55549907,2.023970787,21.45404448
1408.889132,5.526877929,-1.755330166,1.617427761,-44.06068254,-35.92912894
1412.398837,-30.78556595,34.92170354,-63.3715076,21.89364925,-6.939870199
1415.903574,109.0632868,120.8504066,199.1418707,123.8283589,96.86759211
1419.403355,192.4959855,238.3432865,259.1761749,145.0564351,209.9306407
1422.89819,252.7670319,356.8140733,351.4647068,181.6809089,325.6580016
1426.388091,420.0361794,434.9429035,515.660842,294.882787,415.4919262
1429.873069,347.9052417,448.1746252,482.0571277,339.0195163,401.1069726
1433.353134,229.7468732,409.7312786,377.1697251,305.4006303,301.7358548
1436.828298,285.1133602,341.6904064,364.5892376,259.3895647,221.0445027
1440.298571,192.6537739,247.5297654,216.9911583,171.1336676,178.6651144
1443.763965,42.46638067,138.673375,144.9300053,81.74029817,117.0598921
1447.224491,46.19000773,47.06271094,51.2146394,21.69533688,39.70043301
1450.68016,-75.52540567,-1.576566107,-34.45276001,-14.26077749,14.68318348
1454.130983,48.74266132,3.166063241,15.62005228,6.595357089,49.37353831
1457.576971,167.1896194,59.85854008,123.5863623,39.73356748,76.13045008
1461.018135,77.20530831,136.5809001,16.78497171,67.14929135,75.68847097
1464.454486,233.823144,163.7325223,106.3784644,111.7204714,78.45773806
1467.886036,121.6551869,99.91747641,85.46457493,78.86435019,62.75691969
1471.312794,-74.62637902,9.515846399,-62.11941145,-28.43880196,4.664009853
1474.734774,-15.01758733,-4.020011139,-22.30359457,-55.16614036,-31.51721014
1478.151985,10.5360043,52.9335167,36.3461527,14.8921439,11.79209703
1481.564439,14.75083749,80.83521197,37.11705887,73.17000899,71.68799785
1484.972146,117.5263487,44.21519189,110.4176051,55.39074553,61.75380221
1488.375119,41.5390883,6.952998624,-30.28596169,3.930453684,13.13237352
1491.773368,-26.88818688,23.45717661,21.21486645,-5.097122442,3.401090532
1495.166904,-9.117589952,80.64356668,88.66024698,3.302856405,29.25252034
1498.555739,4.252297914,131.0330001,22.99734651,9.278850825,43.9526272
1501.939883,45.56605362,135.0959049,75.53309018,29.25939304,31.76974548
1505.319349,-5.110769536,100.8701297,-45.23834628,7.9224169,3.456730692
1508.694146,6.420357326,85.77291925,18.35409251,-22.70408126,-14.26680843
1512.064286,5.045383101,120.6011247,34.66938442,35.49998634,13.4169516
1515.429781,86.22879807,160.3644546,134.6744508,105.8217788,81.06849482
1518.790642,84.1922163,143.6523726,15.94759708,89.77453787,116.5650097
1522.146879,24.07692258,71.40233564,110.9857189,41.63874403,68.56912814
