Wavelength,AA_HS_V2S1_H_I1,AA_HS_V2S1_H_I2,AA_HS_V2S1_H_I3,AA_HS_V2S1_H_I4,AA_HS_V2S1_H_I5,AA_HS_V2S1_H_I1,AA_HS_V2S1_H_I2,AA_HS_V2S1_H_I3,AA_HS_V2S1_H_I4,AA_HS_V2S1_H_I5,HS_AAB_P2_750_5_5_H_S1_I1,HS_AAB_P2_750_5_5_H_S1_I2,HS_AAB_P2_750_5_5_H_S1_I3,HS_AAB_P2_750_5_5_H_S1_I4,HS_AAB_P2_750_5_5_H_S1_I5,HS_AAB_P2_750_5_5_H_S3_I1,HS_AAB_P2_750_5_5_H_S3_I2,HS_AAB_P2_750_5_5_H_S3_I3,HS_AAB_P2_750_5_5_H_S3_I4,HS_AAB_P2_750_5_5_H_S3_I5
573.3568844,-158.8116296,-64.83389079,-47.35009083,17.92677715,-80.77203859,45.50010137,106.8713031,-62.66814143,120.5967798,92.44006106,35.77845482,-3.222283245,-21.27147008,-12.55551609,-44.21310342,18.25700928,50.64401862,81.33397662,109.8874171,57.15233007
578.1092263,37.89849778,197.6988749,0.466026659,224.5826328,11.45074795,82.43477406,158.8495223,59.73910814,169.0892325,30.8112184,15.93833393,-68.74340057,27.38403183,7.914211759,-71.99053685,-51.02294141,-1.095318109,60.98269584,65.78750072,40.14451466
582.8543308,68.03024979,262.5210862,90.97697317,224.6352559,101.9987724,134.3641804,255.2320104,149.808344,167.1363276,52.49584401,188.368086,42.32685878,147.4171785,29.5031185,150.7211074,-31.32618231,-4.541824366,52.26181063,20.50802412,-3.399431388
587.5922101,5.873855137,160.3617332,158.2238822,155.5210148,76.3102225,126.3978589,145.6984944,26.68948524,117.2671679,86.25089168,100.5374751,42.8019814,79.98151909,15.61106873,44.38613127,18.37702875,-2.162336995,66.54660158,-1.697511879,-23.82045642
592.322876,11.13529735,154.4328927,191.5132211,238.0020511,132.4961985,78.51784493,115.9595253,180.6083647,152.1188782,89.83072708,-18.11228936,-48.59251129,21.40994917,2.633403188,-7.963628445,70.31000919,-14.1929911,64.48008324,5.501443215,4.899157474
597.0463405,77.47637967,245.6013768,192.153581,290.4360206,104.3727494,232.6015535,248.3419521,271.4856469,251.1844786,92.50504403,130.3082769,46.85598683,114.3960629,14.99411384,46.49138467,74.72252753,3.134978224,39.03707044,33.63217681,68.81776966
601.7626157,72.74284006,-48.482189,167.8802687,170.8770681,17.11805629,276.5805748,20.09211106,170.5242824,190.8586774,62.6483737,88.75342449,60.9436676,110.7165156,24.89399785,20.8441832,53.50336763,54.75353535,49.6295246,67.5196827,123.8498919
606.4717135,72.05276363,55.96178231,136.7001588,245.2037454,147.1839747,121.5063961,-17.7790662,-24.52601661,97.39612182,34.62566178,150.1965909,1.980973661,19.23966392,19.1478885,31.47791817,22.28764964,83.75128265,105.4701426,88.10639235,126.2996904
611.1736458,105.4382386,288.205063,95.3236775,321.4872771,202.8704881,135.5475978,167.7550246,100.6146705,156.3948326,73.61752576,20.63143096,43.72466241,11.86241524,-2.229808351,12.03436668,12.93123696,58.8808264,116.3838515,80.29968842,80.81314465
615.8684246,66.08386413,52.30852232,41.02033701,150.4701294,17.31505251,304.4999912,218.0233546,93.77372019,206.5424282,105.2382585,23.91436724,10.68483575,7.60607547,-35.14155125,-5.375269884,-45.19140153,21.12392885,76.64735831,46.52118933,44.48715196
620.5560617,21.50581953,52.96023652,7.93909714,53.96615292,-44.7026807,257.0034482,145.6525282,44.96399533,107.2079658,31.1465227,-7.454841421,-101.2080509,-48.09461211,-38.44666983,-40.51409871,-34.97193396,13.00756109,66.52276656,8.298414748,53.84950074
625.2365691,-25.41691265,34.48722145,14.65572232,125.5944316,37.68521237,-3.754558935,25.46335219,-36.85557984,-13.42519352,-44.67792267,116.1082079,-100.4767552,-8.362259927,16.02260081,17.28698458,-23.32785702,9.090084398,74.41058016,-10.79124953,79.05857225
