Wavelength,AA_HS_V2S1_H_I1,AA_HS_V2S1_H_I2,AA_HS_V2S1_H_I3,AA_HS_V2S1_H_I4,AA_HS_V2S1_H_I5
1433.353134,1139.168461,1284.686249,1095.425535,1241.176426,1201.283494
1436.828298,837.0718634,1014.088911,838.4219906,845.7822642,902.4776299
1440.298571,472.6621191,765.7793116,457.2488244,532.6212639,670.6490942
1443.763965,250.3450068,569.9881156,252.7693082,230.9075448,399.0164464
1447.224491,122.284508,327.1973042,56.56922016,47.55070406,180.0689645
1450.68016,30.39110779,330.3417248,39.12309661,136.4519096,137.400779
1454.130983,73.19438524,346.4215254,52.45920317,178.5913206,148.5503511
1457.576971,42.6684945,234.0310862,-6.285180196,93.32136095,108.6955104
1461.018135,-24.25959725,294.3925583,-13.461294,40.67220295,58.80578427
1464.454486,40.13288108,236.2751394,-36.53307772,-33.53037645,26.63483185
1467.886036,110.6203857,233.0796606,-21.28570863,0.008063339,11.35702538
1471.312794,-12.85287394,224.1204152,39.98925432,37.4126431,30.16346442
1474.734774,6.304828198,101.9816521,-29.74500737,-12.34044094,83.8560509
1478.151985,112.6414891,146.9646286,60.14613593,0.804453365,104.3353219
1481.564439,-7.240996619,112.25364,21.99502768,19.0852116,25.94643959
1484.972146,-10.55452239,86.42173502,13.25768412,-32.56456177,-73.86452629
1488.375119,-21.7661033,-40.03609486,-142.4149251,-83.22895666,-68.74572176
1491.773368,-27.76259056,26.81186414,-63.74602308,-9.666201705,2.13847391
1495.166904,33.7227054,160.0122891,53.70868545,17.02358872,18.83240181
1498.555739,-48.31073904,-18.94920051,-66.4635626,-18.55547674,-0.891498675
1501.939883,31.09179227,92.95671397,59.30853921,26.58049952,4.186346857
1505.319349,-1.107926027,65.48776368,29.18840728,-17.75449348,2.492644691
1508.694146,-64.01966609,12.27344535,-14.55256235,-8.91340113,-12.50119664
1512.064286,118.6784705,87.9963135,52.8605269,74.45549141,-5.557415256
1515.429781,117.5944845,76.19422861,9.512628159,43.13531194,14.12410201
1518.790642,145.2220303,82.01241502,-68.85150053,35.82113849,18.02831806
1522.146879,100.741417,-45.84826554,30.21791921,-21.81590896,-12.25356999
1525.498505,42.53504233,-20.57254719,-3.766326876,-32.6304129,-33.76592043
1528.845529,96.17938166,31.69572219,61.36476437,86.04369821,1.88415545
1532.187965,-22.54729813,30.1265154,-3.136084704,41.40402026,23.31299765
1535.525822,85.03769024,-25.64632136,-91.5698348,-1.401568959,1.598916884
1538.859112,105.6461569,21.81754744,-16.80658557,11.17701709,8.759098372
1542.187846,40.86769538,79.24972928,-37.40239453,-21.69829039,12.08450181
1545.512036,199.3209636,31.30549177,-53.81782595,102.343794,-10.21893119
1548.831693,250.2463423,209.3924445,55.21269857,211.5230938,29.8701788
1552.146829,249.0316669,102.5640953,4.214487054,185.5071648,98.29248154
1555.457453,225.7995678,82.92014222,-44.79141179,221.9137266,105.9816977
1558.763579,279.0644947,278.711017,61.58127477,299.4063287,113.5212238
1562.065216,303.409317,210.1056277,-28.51839242,357.5870986,185.2099127
1565.362377,307.3138132,291.3433629,58.44272802,412.3339915,280.0535977
1568.655073,394.924136,372.1846715,106.6604925,533.3547741,366.6031264
1571.943315,512.1237332,476.9223442,180.8262787,660.3169071,460.6017384
1575.227114,620.4214881,518.8848932,306.6678383,586.1932031,534.4814425
1578.506482,542.7032912,460.8105832,65.23624266,537.466165,528.3026353
1581.781431,516.3977882,493.5706469,171.8563888,572.3234061,456.7043579
1585.051971,468.7572333,412.1887285,53.23539191,429.6500494,368.5506974
1588.318114,304.9523852,359.3783126,127.5124613,378.7056479,295.0969237
1591.579872,336.282035,383.4108369,51.23299453,403.6802502,246.4961672
