Wavelength RP,AAB_AS_I1,AAB_AS_I2,AAB_AS_I3,AAB_AS_I4,AAB_AS_I5
1398.35039,35.44505,160.38107,242.03494,237.19922,125.23081
1401.87506,78.82691,69.84131,151.49954,128.73851,98.52643
1405.39474,36.72404,-42.00047,19.06586,-25.67176,45.42057
1408.90942,-45.67174,-23.03151,-12.56896,17.23187,-9.27904
1412.41912,-81.00921,-88.06742,-34.7805,-8.4266,-58.35872
1415.92386,33.41581,45.96808,107.80244,133.0527,41.52256
1419.42364,204.35595,196.45582,350.49815,352.51007,218.56906
1422.91848,359.92629,443.08363,381.45951,372.59812,345.38728
1426.40838,556.92601,444.15561,538.69248,531.60204,497.69294
1429.89336,599.99913,488.74942,695.26426,626.23213,525.57219
1433.37342,427.16223,376.48597,541.07289,523.36973,419.56528
1436.84858,266.5522,396.76716,421.79823,439.45149,323.99157
1440.31886,143.24973,154.89978,281.02869,253.0539,242.30403
1443.78425,48.58204,70.9487,126.68513,114.32149,241.15181
1447.24478,25.94497,60.82934,168.21327,154.27282,174.40478
1450.70045,25.82932,1.57704,111.58259,124.6039,29.78181
1454.15127,-5.59292,592.45427,3.00716,-2.59434,-12.73764
1457.59726,-72.12314,-111.19224,58.41036,-1.28063,-45.13866
1461.03842,-62.68341,-58.23759,-2.2418,37.55763,-24.17921
1464.47477,15.47708,7.42397,-101.09647,-53.51772,19.6463
1467.90632,18.8713,-50.0428,-15.61537,-33.57082,-15.40346
1471.33308,-15.93363,65.07267,9.63093,98.6167,11.31967
1474.75506,-5.78598,8.6649,35.17624,94.67081,80.96176
1478.17227,39.99289,33.60333,95.49766,70.85042,102.03536
1481.58473,86.90595,20.14423,32.59431,97.78664,40.5606
1484.99243,84.29362,-8.77438,3.66907,53.51258,-12.38135
1488.39541,25.69592,60.19074,-3.73547,0.84087,4.39056
1491.79366,-23.23369,-17.25346,35.77233,-6.12375,-35.63362
1495.18719,-6.63194,-1.52511,86.5438,47.94763,8.45515
1498.57603,23.43628,98.03323,16.11835,130.84341,124.24158
1501.96017,-5.91188,-51.40216,-10.00541,44.90053,46.60215
1505.33964,-25.75833,9.45817,-2.07143,-72.7785,-15.11293
1508.71443,35.68137,15.95218,22.29088,-13.28206,42.31248
1512.08457,150.36166,177.47636,135.45813,115.67044,109.81916
1515.45007,210.21381,119.27965,200.84312,205.22037,212.61293
1518.81093,76.24097,62.83153,-4.21774,48.28953,33.06464
1522.16717,-13.25825,-227.01378,-190.87538,-135.53648,-124.15604
1525.51879,143.55198,65.45507,42.81841,-6.3886,166.81771
1528.86582,231.6502,43.24182,174.50706,82.27558,215.69588
1532.20825,222.18288,-36.8724,15.68898,43.21764,77.85618
1535.54611,225.96948,46.09797,8.92812,13.75961,133.75623
1538.8794,187.41007,-84.17667,34.67707,41.46998,126.33182
1542.20813,263.69424,101.57941,-45.99511,190.93538,183.7055
1545.53232,379.81838,-28.88802,-53.7855,182.71158,181.69939
1548.85198,396.35282,17.14289,11.8543,124.35818,49.95814
1552.16712,410.1792,46.42645,16.55161,190.43422,114.49936
1555.47774,394.42323,48.77112,26.5925,210.93966,286.13938
1558.78387,414.68181,51.30567,60.93859,311.23161,361.27117
1562.0855,540.04785,27.26764,50.48678,406.10016,376.70319
1565.38266,590.10374,142.03629,96.64294,337.48728,373.65755
1568.67536,559.16834,289.73224,144.48731,333.72119,362.07771
1571.9636,609.74148,336.07764,160.71688,459.31836,508.18572
1575.2474,693.27009,381.44281,286.9103,552.66882,608.28481
1578.52677,736.78901,314.68557,380.71056,598.77431,508.09198
1581.80172,756.44697,421.53586,373.55002,651.20611,548.61334
1585.07226,706.09851,513.51533,398.64347,658.01229,585.46759
1588.3384,662.04989,392.15029,403.44492,597.16577,540.32845
1591.60016,666.69945,337.21733,433.40846,486.16485,608.98898
1594.85754,534.16985,347.43286,390.86773,360.5882,513.11358
1598.11056,383.09283,191.83097,276.08986,350.6727,315.58316
1601.35923,391.72128,264.94413,361.65405,417.46868,349.83582
1604.60356,268.54942,282.17932,269.54197,305.48138,264.75639
1607.84356,18.69412,-62.33603,17.86117,94.12818,-2.70028
1611.07925,-22.34686,23.86218,56.27965,36.24979,18.26452
1614.31062,-6.41914,-55.28743,-41.21769,-23.21963,21.74086
1617.53771,-59.49785,-131.44073,-148.35482,-120.75464,-105.78927
1620.76051,29.70397,57.1968,133.41986,38.11061,71.33661
1623.97904,133.56125,253.2904,257.38247,254.29657,176.0776
1627.19331,57.96033,37.18091,170.07228,167.79372,78.37853
1630.40334,-21.31928,37.23151,96.81485,18.92541,84.39006
1633.60912,1.19053,50.33508,14.6793,48.7355,13.93206
1636.81069,40.5631,10.43956,105.87368,93.74432,20.49591
1640.00804,42.27971,118.72803,130.31378,11.46296,119.6513
1643.20118,8.71933,-30.52793,30.68476,-33.23334,38.47647
1646.39014,-10.14707,11.57335,49.06691,22.04928,10.4871
1649.57492,15.75122,27.37568,23.14406,-10.36673,13.57611
1652.75553,42.12732,8.17087,-38.52227,-17.70976,-37.51896
1655.93199,-0.59716,-1.89008,-45.92611,28.09673,9.42694
1659.1043,-73.41544,-107.24894,-35.31188,5.90099,10.87021
1662.27248,-35.85209,-16.49355,57.64433,93.76396,23.46499
1665.43654,58.06831,65.78107,167.28488,191.12391,152.49521
1668.59649,27.10564,160.74807,93.81755,106.07572,110.86713
1671.75235,-22.68485,48.45161,-4.12817,9.85698,-40.4031
1674.90412,28.14743,17.16354,48.04479,-29.69563,49.88726
1678.05181,7.63638,4.75391,23.25954,-43.06518,97.80196
1681.19544,-44.53078,-24.12528,3.19428,4.62125,-83.15275
1684.33503,36.89319,158.41511,32.35032,41.80521,-57.74633
1687.47057,64.62036,-30.19592,-49.14364,5.23331,27.84483
1690.60209,-6.73836,-19.79509,-47.31652,0.44931,-47.75194
1693.72959,11.18871,-12.78714,15.42517,45.80322,1.76887
1696.85309,7.97023,32.83842,-23.52182,-13.41384,52.22777
1699.9726,-52.97699,-22.65009,-18.03456,-49.20791,16.27248
1703.08813,-5.7915,132.59902,129.9886,111.89845,51.93917
