Wavelength,AAB_AS_S2_I1,AAB_AS_S2_I2,AAB_AS_S2_I4,AAB_AS_S1_I17
683.6992451,137.2371079,107.4525667,39.53936802,50.73098417
684.7724497,146.5399995,101.562761,33.07954388,48.82699062
685.8454614,156.7054837,99.48528044,35.00144524,33.92885676
686.9182802,167.233622,100.6973638,40.33289608,24.89775756
687.990906,177.5355195,101.1938997,39.70893251,24.17799788
689.063339,186.978382,97.6119819,40.31100847,20.73307806
690.1355791,194.9391287,90.78772308,28.37652341,22.67580393
691.2076265,200.86015,84.9228147,22.10154539,23.38354295
692.2794812,204.298832,83.43582609,34.01167583,17.62703281
693.3511432,204.9638075,85.85125041,45.83606527,20.58627681
694.4226125,202.7345968,88.56760052,35.75894658,28.59722705
695.4938893,197.6634637,88.18305106,26.335866,28.75885007
696.5649736,189.9595562,84.16316118,25.019162,22.75303989
697.6358653,179.9581533,79.0582775,7.953375535,21.02392374
698.7065646,168.0814895,76.43481469,8.38,24.75455026
699.7770715,154.8006642,77.93130165,27.95626731,28.12873908
700.8473861,140.6080824,81.78234721,36.14541236,31.69046626
701.9175084,126.004376,84.21954307,38.08285474,31.93692007
702.9874384,111.4953351,82.35555598,31.45137084,31.80870718
704.0571762,97.58878366,75.92378021,21.21139043,38.38895318
705.1267218,84.78185058,66.7852845,20.71492756,42.73730978
706.1960753,73.5356447,57.12600154,16.15935165,44.20334395
707.2652367,64.24344966,47.97018531,13.35107487,52.3607594
708.3342061,57.20233271,39.36119743,16.57,60.88801496
709.4029835,52.59196025,31.85569115,10.37854143,60.73291924
710.471569,50.45743233,26.89744951,4.580575441,55.13732441
711.5399626,50.69655878,25.02,3.213725887,53.12177211
712.6081643,53.06012671,24.6,8.533504037,56.29051238
713.6761743,57.17244653,23.71321874,13.31288734,55.59612625
714.7439925,62.57057856,22.74178883,9.582563995,51.87695278
715.811619,68.75520213,23.62909547,17.84929578,47.39006975
716.8790538,75.2455829,26.60962896,29.38575062,38.71153897
717.946297,81.63111651,29.10405893,37.71953082,36.86778798
719.0133487,87.61094729,28.66578364,28.00688029,40.09321932
720.0802088,93.01230982,26.24941159,7.784276588,35.29044839
721.1468774,97.78198288,25.6990294,8.09,29.31063202
722.2133546,101.95501,30.02403011,-2.19,27.77289177
723.2796405,105.6140038,38.21706327,0.627019195,29.01678391
724.345735,108.85527,45.66196653,12.66597005,27.81803855
