Wavelength,HS_V2S1_AAB_C4_S2_I2,HS_V2S1_AAB_C4_S5_I2,HS_V2S1_AAB_C4_S5_I3,HS_V2S2_AAB_C1_I1,HS_V2S2_AAB_C1_I2,HS_V2S2_AAB_C1_I3,HS_V2S2_AAB_C2_I1,HS_V2S2_AAB_C2_I2,HS_V2S2_AAB_C2_I3,HS_V2S3_AAB_C1_S4_I1,HS_V2S3_AAB_C1_S4_I2
1377.785897,72.54694128,411.5466275,361.2750677,432.5924508,541.2724668,65.08165524,725.081726,748.091464,736.1473621,453.7730074,698.8521437
1378.736503,94.51015419,456.9627961,426.9880657,508.5281797,609.9361593,104.4744139,833.4460993,849.2121483,789.851274,540.3890587,777.0598926
1379.686945,115.9914269,503.8859791,496.3926527,575.4723864,666.7950592,135.8750759,935.2518942,937.554455,837.5065992,626.7430831,855.4842315
1380.637222,138.5649669,550.1000008,565.7225915,638.3258558,712.0429632,170.4524226,1032.416811,1007.849134,876.8857527,708.6462904,929.5711274
1381.587335,165.3073728,593.3263244,631.4799945,695.0698647,744.373845,203.6848194,1120.584813,1061.637469,906.0615203,783.0731185,995.0734377
1382.537283,198.9726088,631.4024361,690.6668186,741.0663752,761.5152294,222.0435594,1191.763096,1101.79168,923.525078,847.3461479,1048.581755
1383.487067,239.2627242,662.435368,740.7824816,773.0736876,764.2792239,245.5728366,1241.958633,1127.794842,928.2937879,898.3556392,1087.788485
1384.436687,281.7010081,684.9190574,779.7807068,790.290335,756.7115595,257.693797,1272.97841,1136.227731,919.9918083,932.7981246,1111.433254
1385.386143,320.594258,697.8019669,806.1317886,794.8602982,742.7727566,257.0590022,1287.046842,1123.881472,898.8746332,948.2503207,1119.013941
1386.335435,350.6847556,700.5043069,819.0278298,784.5214732,721.4445115,271.968972,1279.223623,1088.308238,865.7922124,944.3683815,1110.5018
1387.284562,367.3959721,692.9020307,818.6463209,752.8010473,686.4385081,262.396815,1239.908094,1027.981357,822.1063128,923.6631763,1086.27951
1388.233526,370.52396,675.2931987,806.2003845,702.503995,635.9922244,236.1215427,1169.10609,946.4074091,769.5646485,890.8544156,1047.269515
1389.182325,366.1221063,648.3484766,783.4992377,645.2434619,580.0999892,214.7837718,1080.055579,854.4260653,710.123103,850.2211907,994.9893386
1390.130961,360.6430401,613.0530374,752.1638953,586.9685768,531.0547178,197.3990077,983.2642968,763.7262683,645.7492632,802.7962658,931.3740567
1391.079432,353.8994874,570.6642274,713.0856366,527.2108034,490.1024611,184.9448401,877.1294801,678.1381004,578.2889832,746.1696366,858.5341176
1392.02774,338.7917098,522.6989848,666.5901837,466.1016438,448.45709,166.1564114,758.6656386,593.7087415,509.4499023,677.2862176,778.7200518
1392.975883,308.9205894,470.9251384,613.1885938,401.5514483,398.5628064,148.7858986,633.639718,506.9067527,440.8722228,596.1416585,694.5016317
1393.923863,268.0066671,417.3043945,554.3439509,331.1071587,343.1390914,123.3834025,512.2384916,420.9677794,374.2010297,507.6380277,608.8846608
1394.871679,228.2036886,363.8546456,492.7103959,262.8086371,293.4969622,92.64146746,400.4033714,343.4766439,311.0818463,419.870509,525.1266155
1395.819332,195.6773253,312.4519882,431.7359999,208.6257791,255.7505271,74.58267856,297.2773383,278.2351815,253.0564657,339.9548012,446.3098093
1396.76682,164.2967744,264.6342848,374.9455736,166.0452123,223.3227302,69.69588379,200.6602887,222.1525751,201.3997175,271.297547,374.9318331
1397.714145,128.69754,221.4631541,325.2273165,125.7664345,190.5046484,50.22677437,115.7624986,171.8950821,156.9619065,214.5393922,312.65985
1398.661306,94.69682184,183.4636145,284.2275456,91.03794759,162.9146163,45.76394515,52.87565913,129.6597138,120.0572382,169.7502813,260.1761032
1399.608304,70.12874241,150.6357122,251.9811579,67.63126356,144.5415054,65.98874732,13.12465912,98.64621938,90.42871653,136.7018819,217.0612438
1400.555137,54.21547416,122.5405811,227.0154585,50.0645663,128.4823013,69.51309324,-12.53266556,76.83229821,67.3278392,113.8629093,181.8526859
1401.501808,41.54723769,98.46019604,206.925891,33.77980835,108.4191723,74.91007261,-27.40020925,59.37115198,49.7243559,98.3586634,152.412286
1402.448315,29.74949078,77.6082311,189.0963031,21.89024387,86.01013433,75.6983271,-26.55155846,44.08735464,36.6061779,86.89394034,126.5061663
1403.394658,19.95864161,59.35493524,171.2901635,15.71298721,64.14183489,74.88968289,-10.60672549,31.34238303,27.30090679,76.42531994,102.3616967
1404.340838,12.93726626,43.42847965,152.078113,11.90846868,42.26105054,67.16296166,13.50378351,20.57747666,21.75292105,64.37821649,79.0710759
1405.286855,6.999740566,30.05132486,131.1367078,6.371957584,19.08697612,49.24347338,45.47957822,10.19368138,20.6870379,49.03012216,56.82762798
1406.232708,0.990617656,19.96855348,109.3849985,-0.359412799,-3.810623705,41.4072861,92.75140523,1.196841969,25.59100285,30.22161097,36.92944732
1407.178397,-2.878738465,14.34853901,88.8752645,-1.122426773,-21.58043442,17.26509112,158.7756303,-0.901336282,38.48832677,9.748475962,21.46641137
1408.123924,-3.385648971,14.58000299,72.41443112,7.89136607,-30.11001634,-1.400691358,238.4707161,10.6880226,61.54159351,-9.082914583,12.81227763
1409.069287,-3.674427125,22.02090451,63.02312475,23.10300263,-30.24589233,-6.568298448,325.7906044,40.06491941,96.58222108,-22.25610938,13.20835531
1410.014487,-4.675781298,37.75480263,63.35819004,46.94498562,-23.35888765,-26.0118292,422.3600801,89.35614414,144.6774827,-25.82629224,24.56171646
1410.959524,-1.736331494,62.39597793,75.13899675,89.17028888,-3.800417016,-25.60669603,535.7735848,160.5633896,205.8269138,-17.11860743,48.30853282
1411.904398,7.241579653,95.9786794,98.66890416,150.0344986,35.45211964,-0.975440002,668.2244585,253.4557604,278.853827,4.218382056,85.18983455
1412.849108,18.56866337,137.9570294,132.7050808,220.3077427,91.77067306,28.60553967,812.3201645,363.5998388,361.5202363,36.82047588,135.0223246
1413.793656,29.4461879,187.3085735,174.8696153,298.2457161,157.1434061,58.06313132,961.7453904,484.5740655,450.8273434,79.29555381,196.6754442
1414.73804,39.87950364,242.6940796,222.4806379,391.0071692,229.2154585,91.27662567,1118.116303,610.5091482,543.4032016,130.8244904,268.3368356
1415.682262,48.28054384,302.61205,273.4470291,499.7103921,309.1512801,131.1279355,1281.162472,735.8847904,635.8722137,190.5952789,347.9401725
1416.62632,50.61537341,365.5000489,326.8552042,612.9416402,392.8863745,166.4062429,1438.616281,854.8305089,725.130501,257.7814514,433.5300044
1417.570216,45.25538875,429.7615926,382.9811507,718.9693593,472.8569515,197.3340881,1576.131346,962.9294885,808.4779362,332.3627772,523.3678551
1418.513949,38.1384216,493.7311931,442.6652721,820.3630413,547.3141089,224.5086069,1696.140427,1060.216465,883.5914085,415.2147964,615.7033778
1419.457519,39.13774236,555.6237125,506.2969659,926.50238,621.0759556,270.3389605,1813.223655,1149.238642,948.3920788,506.5776929,708.3410897
1420.400926,49.99598346,613.5268404,572.9263545,1034.175203,695.0839319,326.4872063,1927.749579,1227.625144,1000.931567,604.1539315,798.3536945
1421.34417,61.74169095,665.4717241,640.0081596,1130.282743,760.558878,372.3424554,2019.655646,1285.70212,1039.414519,702.9100812,882.2644023
1422.287251,68.68192783,709.5711749,703.8901868,1210.112394,807.1159051,397.2806953,2072.840603,1314.283612,1062.375217,796.9648928,956.6332121
1423.23017,77.67544443,744.1857504,760.6687792,1277.774443,833.1730139,412.8964296,2090.819449,1312.054121,1068.915562,881.7428984,1018.636216
1424.172926,98.25172499,768.0742193,806.9000061,1332.57525,844.9319799,433.9029924,2084.532486,1283.268301,1058.890598,954.3755338,1066.325792
1425.11552,130.9045314,780.5037114,839.9595665,1368.045277,847.7218949,438.1007215,2057.429816,1231.508689,1032.983414,1012.374105,1098.605985
1426.057951,169.7768601,781.3112436,858.1897053,1381.181943,840.6712333,437.3702301,2006.47887,1158.291093,992.6701812,1052.574246,1115.129767
1427.000219,210.0073726,770.9124505,861.0303404,1372.628059,817.9655716,419.4323087,1930.150236,1065.516547,940.0979224,1072.006531,1116.259375
1427.942325,249.6480376,750.2525366,849.1647384,1342.157633,775.0766875,386.2014655,1831.270852,957.0755912,877.898401,1070.137926,1103.072656
1428.884268,289.8328706,720.7001093,824.5202865,1291.867053,714.8497804,348.5055318,1715.28841,839.2150031,808.9614043,1050.095643,1077.287143
1429.826049,333.280523,683.8995584,789.9347823,1229.315044,646.4460277,296.9631643,1589.968525,720.0688051,736.1945235,1017.209258,1041.033331
1430.767667,378.5838783,641.6137733,748.511097,1161.228888,577.4815406,256.8324499,1463.391261,606.8818739,662.3027946,975.9410944,996.5782191
1431.709123,417.8873251,595.591121,702.9510751,1085.643148,508.4077497,225.5257943,1337.174366,502.6424208,589.6229758,928.1347563,946.1484961
1432.650417,443.7344272,547.4729683,655.1770897,994.8930162,436.3499212,184.4205373,1206.381401,407.0525045,520.0321246,874.2194199,891.8671402
1433.591549,457.1972651,498.7331179,606.2887193,889.2132315,364.091948,143.0758572,1070.676104,321.4836217,454.9187759,815.763186,835.6649385
1434.532518,467.9119516,450.6293858,556.6797651,785.3640465,302.5377339,108.4627689,941.2397473,250.8925901,395.1886079,756.1405546,779.0576532
1435.473325,484.3831781,404.1625806,506.2250442,702.8796896,260.9627121,80.07344664,831.5873315,198.600772,341.2987154,698.0991011,722.9113203
1436.413969,501.8691409,360.0637614,454.6725996,639.1268826,234.7849055,66.56902358,742.1169696,160.0379692,293.340855,640.990452,667.4845863
1437.354452,504.1848263,318.8282564,402.3112962,573.3755288,209.1831074,46.43508733,660.1617088,125.7324247,251.1740049,581.7524578,612.8487403
1438.294772,482.2547698,280.7743577,350.554399,498.9402031,177.1012743,9.723810972,577.3273432,91.73401382,214.5527449,519.3515635,559.3634015
1439.234931,444.9507894,246.0755565,301.8423936,428.5021043,146.0820765,-12.73994549,498.3649344,63.39770147,183.1804999,457.3568307,507.7296862
1440.174927,407.4994032,214.7451675,258.7044779,369.7340907,126.1490116,-14.80908176,432.0251989,48.23764472,156.6734446,401.3086967,458.5349039
1441.114761,375.6841589,186.6137969,222.5525198,322.5877183,119.1026454,-12.4199793,382.1985187,48.00601733,134.4999492,353.956118,411.7461789
1442.054434,343.7853441,161.3586626,193.0377601,288.0100326,117.8694811,6.292134875,344.9450738,56.05275467,115.9869126,313.4290553,366.6920447
1442.993944,303.6314281,138.6125928,168.3975934,258.1087038,111.2100357,29.05776858,308.2654582,60.56058117,100.4279509,275.5659987,322.631008
1443.933292,255.1782595,118.1001299,146.5416877,221.6211535,95.44305565,21.08062669,263.6758691,54.38546241,87.23792787,237.6055042,279.4642816
1444.872479,207.7179158,99.72038732,126.1212199,184.4672082,80.71883252,15.72399615,217.7870341,42.18348641,76.04368389,199.8922895,237.9661541
1445.811504,170.1050487,83.53313922,106.8964149,156.6749397,77.46656724,31.28320214,181.1107775,33.88334643,66.649909,164.7438213,199.3334456
1446.750367,145.0551938,69.67534475,89.34880889,133.8655128,84.73663994,40.25790905,154.3875369,33.74359255,58.926775,134.2229524,164.4967569
1447.689068,132.5851793,58.26918816,74.03872498,114.7738878,97.46633179,43.40211727,135.2298134,39.23535257,52.71486418,108.7711678,133.7602323
1448.627607,129.3250502,49.36595357,61.23537721,106.408427,111.0241858,57.74020243,121.8478615,45.63721533,47.80765792,87.36950441,106.9321874
1449.565985,126.0282076,42.93915884,51.01641134,101.2129452,117.1388746,62.12546687,106.4775095,48.63262582,44.01737688,69.03091367,83.75289951
1450.504201,116.6064747,38.91134357,43.61835672,86.4431337,110.9683173,46.73027179,84.26303821,47.4895575,41.28077583,54.3980703,64.2955013
1451.442256,105.8311245,37.17691487,39.57056098,71.61189324,100.0982191,46.43450478,65.41827877,47.14265945,39.72519197,45.35889855,49.02049914
1452.380149,99.38572296,37.59543053,39.38348252,70.65102005,94.28590303,60.0657647,60.5861588,52.48947777,39.63930328,42.53620068,38.41922216
1453.31788,93.78893901,39.96966112,43.10811467,73.39519525,92.65442895,76.12868064,62.51694975,61.44840906,41.36842593,43.67113498,32.57249998
1454.25545,84.24312358,44.03550009,50.21270027,64.59793625,90.56831128,80.88188536,57.64907012,68.42499752,45.19363273,45.22316181,31.01226529
1455.192859,74.72828319,49.46645359,59.8028175,50.6070778,90.30933627,74.65339757,45.85248606,72.4674058,51.2309287,45.30978923,32.92248017
1456.130106,73.60691502,55.88448373,70.92678209,47.39750939,96.88277422,77.23294796,37.47067348,77.34098864,59.36498241,44.48924428,37.4203196
1457.067191,83.21617754,62.88439359,82.82803471,59.98174958,110.1212981,78.61966903,39.42767634,85.13009019,69.24387884,43.87463162,43.72349081
1458.004115,95.95793359,70.08468279,95.13839558,80.96794969,124.2046676,85.8255559,49.52927482,92.90106511,80.35957694,43.3521718,51.21854618
1458.940878,99.68937206,77.19701013,107.9842051,97.13640676,130.9969688,94.73033393,57.70589645,95.80665045,92.18913735,42.3926315,59.4999119
1459.87748,89.68740776,84.07687796,121.911524,100.6703467,126.8854166,88.61908691,53.88553737,93.38532713,104.3193023,42.26815656,68.35654496
1460.81392,75.52099997,90.71367299,137.5203683,101.0279776,119.8834765,76.84694775,40.709995,91.86911063,116.4864852,45.90492323,77.64108898
1461.7502,70.61183144,97.15860936,154.899565,115.2241889,123.6458629,79.38808852,32.29016998,97.84457261,128.5376206,54.59222105,87.08884634
1462.686317,74.1452563,103.4416628,173.2968762,142.4213845,139.3701416,101.9388625,33.81370636,109.758445,140.3840854,65.76076115,96.31979584
1463.622274,71.07294714,109.5335447,191.4266202,163.1850096,150.6346087,110.2654207,33.104357,118.7110573,152.0074153,75.26766488,105.147672
