Wavelength,HS_V2S1_AAB_C4_S5_I2,HS_V2S1_AAB_C4_S5_I3
1100.014648,192.7422541,225.7031939
1101.01367,167.4257703,196.3755714
1102.012517,142.3434942,166.4024255
1103.011189,118.6853104,138.805161
1104.009685,97.3456677,116.0571527
1105.008006,78.86752084,99.20179661
1106.006152,63.49685389,87.66502695
1107.004122,51.31474869,79.85245238
1108.001917,42.37522612,74.08810445
1108.999537,36.7819085,69.28255143
1109.996982,34.67951897,65.02203016
1110.994251,36.18144324,61.24241326
1111.991346,41.27611937,57.93385626
1112.988265,49.75529029,55.19134208
1113.98501,61.19459953,53.50374628
1114.981579,74.99372495,53.9007322
1115.977974,90.45989931,57.74043992
1116.974193,106.9094423,66.2845803
1117.970238,123.7628384,80.34590996
1118.966108,140.6117728,100.1788599
1119.961804,157.2479808,125.6309569
1120.957324,173.65951,156.4296483
1121.95267,190.0015974,192.4081778
1122.947841,206.5396182,233.5382684
1123.942838,223.5622623,279.716402
1124.93766,241.2731223,330.3629264
1125.932308,259.691448,384.0870678
1126.926781,278.5956995,438.6675341
1127.921079,297.5251773,491.3372548
1128.915204,315.8346742,539.202802
1129.909154,332.7848647,579.6562983
1130.902929,347.6424315,610.6735643
1131.896531,359.7640289,630.9598293
1132.889958,368.647257,639.9813806
1133.883211,373.9408024,637.8820304
1134.876289,375.4196662,625.2655984
1135.869194,372.9529735,602.9729055
1136.861924,366.4975042,572.0379904
1137.854481,356.1231883,533.7812279
1138.846864,342.0461794,489.8334186
1139.839072,324.6434019,442.0781522
1140.831107,304.4365163,392.6897114
1141.822968,282.038848,344.2367968
1142.814655,258.067351,299.5202926
1143.806168,233.0499481,260.9501884
1144.797507,207.3824069,229.7888267
1145.788673,181.3717643,205.8838578
1146.779665,155.3481773,188.1276406
1147.770483,129.7718679,175.1675046
1148.761128,105.2684823,165.7564313
1149.751599,82.58756308,158.7309728
1150.741897,62.52790899,153.0520294
1151.732021,45.86156963,148.1169316
1152.721972,33.25487551,144.087906
1153.71175,25.1792114,141.8723241
1154.701354,21.82324742,142.7000812
1155.690785,23.03299614,147.5661839
1156.680042,28.29980194,156.8214491
1157.669126,36.79833917,170.0112999
1158.658037,47.46827174,185.935079
1159.646775,59.13655911,202.8915332
1160.63534,70.66866904,219.063844
1161.623732,81.11388007,232.9307026
1162.611951,89.80365602,243.5912439
1163.599996,96.38037698,250.9500885
