Wavelength,AAB_AS_S2_I1,AAB_AS_S2_I2,AAB_AS_S2_I4
733.9319826,139.0904461,72.07763427,60.5153373
734.9961663,145.0660113,71.51487221,52.95445604
736.060159,151.6585202,69.99268243,63.95356907
737.123961,158.6064052,67.84669519,69.72084656
738.1875723,165.5340079,64.42868141,67.88502132
739.2509928,171.98867,59.67172263,73.25806905
740.3142227,177.4971427,54.45690067,74.8036366
741.377262,181.633459,49.79273671,81.02701742
742.4401107,184.0855883,46.31834996,68.93582709
743.5027689,184.7043589,44.28255371,51.44888255
744.5652366,183.5227832,43.23812798,44.01569249
745.6275139,180.7450095,41.72248834,35.85917621
746.6896009,176.7124152,37.8197406,33.21
747.7514974,171.855493,30.44531725,18.74278841
748.8132038,166.6380701,20.30154878,18.21587515
749.8747198,161.4994561,10.06438682,14.14468408
750.9360457,156.7996968,3.704528042,-2.10
751.9971814,152.7728624,4.649992849,7.094495896
753.058127,149.4952107,13.53012543,0.537246906
754.1188825,146.8764468,27.58495932,-5.38
755.179448,144.6777409,42.59407013,4.760842842
756.2398236,142.5515349,55.63399716,-2.10
757.3000092,140.0931564,66.21274797,-2.54
758.3600049,136.8956778,75.09,11.48100387
759.4198108,132.6022762,82.33597576,15.33100443
760.479427,126.9508094,86.57511168,20.85554863
761.5388533,119.805928,86.30661593,25.63372831
762.59809,111.1760977,81.87987335,11.21809064
763.657137,101.2146025,75.92560829,12.15822838
764.7159944,90.20641532,71.60120587,16.84999548
765.7746623,78.54595549,70.503383,4.15
766.8331406,66.71051603,72.14749907,8.788555339
767.8914295,55.23102663,74.90853527,5.434397526
768.9495289,44.65992002,76.95183139,1.405718515
770.0074389,35.53736746,76.46086205,16.80894848
771.0651596,28.35871487,71.99,13.39788264
772.122691,23.54282152,63.58681245,15.50231849
773.1800332,21.39692056,53.72054072,24.95628238
774.2371862,22.07616566,46.40411269,20.03989247
775.29415,25.54498693,44.47869325,16.22994364
776.3509247,31.55616689,47.27947126,27.41057019
777.4075103,39.6635579,51.18,36.53695725
778.4639069,49.27120958,52.86199114,32.67252001
779.5201145,59.70442249,52.32,35.88352803
780.5761332,70.28203933,52.51920405,40.15
781.6319631,80.37771318,55.89078228,49.72543328
782.687604,89.46976297,61.28317791,60.73
783.7430562,97.1813656,64.48198243,62.96838724
784.7983196,103.3055805,61.88472038,56.35061159
785.8533943,107.8062921,53.87757924,52.50125386
786.9082804,110.7931134,45.00,38.38958564
787.9629778,112.4777525,40.63329934,24.77
789.0174867,113.1245477,42.72777635,47.87746053
790.071807,113.009536,48.46941509,45.32520033
791.1259389,112.3983073,53.26336349,29.35317956
792.1798823,111.5428096,54.99330547,29.6700668
793.2336373,110.6894044,54.99276382,20.63695987
794.287204,110.0909526,55.04987883,33.80844652
795.3405824,110.0193467,54.58417597,43.66
796.3937725,110.7727267,51.70351242,40.16528924
797.4467744,112.665938,46.47483971,51.20802155
798.4995882,115.9965871,41.89309775,57.48507643
799.5522138,120.9948349,41.37743184,59.08553851
800.6046513,127.7780533,45.94204696,66.92
801.6569008,136.3286665,54.0550643,76.76074325
802.7089623,146.4977852,63.69067652,75.14279228
803.7608359,158.023575,74.08382398,73.25020183
804.8125216,170.553719,85.70114091,72.35130412
805.8640194,183.6712819,98.93802347,70.48805982
806.9153294,196.9275632,113.2716449,78.22533258
807.9664516,209.8783318,127.9224415,64.1049604
809.0173861,222.1124998,142.8665884,53.96027738
810.068133,233.2672301,158.5904524,63.02280946
811.1186922,243.0351947,175.0412615,59.9186006
812.1690638,251.1733788,191.0723396,53.85277471
813.2192479,257.5163936,204.5469746,54.16841235
814.2692445,261.9900909,213.0735969,54.73568806
815.3190536,264.6182445,215.6789003,35.53011485
816.3686753,265.5146182,214.445264,11.4996189
817.4181097,264.8554441,213.7540026,-2.99
