Wavelength,HS_V3S1_AAB_C2_S1_I1,HS_V3S1_AAB_C2_S1_I2,HS_V3S1_AAB_C2_S1_I1
849.8627846,8.053561172,33.61157449,45.26699478
850.9060608,10.34497806,33.43842276,40.25837814
851.9491512,12.63599519,33.29920744,34.21730419
852.9920557,12.46463387,31.86313944,29.02390526
854.0347745,9.647450088,27.53543246,26.30913802
855.0773075,8.854902532,22.01466114,26.97844515
856.1196549,11.89884766,19.08744391,30.26947467
857.1618166,11.62180943,19.93352646,32.76280151
858.2037927,7.888657533,22.2227872,30.98723637
859.2455833,7.031461211,23.75079449,25.57788692
860.2871883,6.036111957,26.0674174,20.79588364
861.3286079,2.592655728,32.32334926,18.84971521
862.3698421,1.464867963,40.84252491,17.38557638
863.4108909,1.176548546,45.66579377,14.6202638
864.4517544,-2.005169786,44.53208389,13.69758621
865.4924326,-3.787316756,40.69057762,18.59945717
866.5329255,-1.29805384,37.42889257,27.78461554
867.5732333,0.920156671,35.96287266,35.34571794
868.6133559,0.22643112,36.79952479,37.55524126
869.6532933,-1.805204701,39.9591372,36.01460992
870.6930457,-4.872292908,44.78884066,35.07682638
871.7326131,-8.20280538,49.7075044,37.12847422
872.7719955,-7.992392319,53.29250633,40.38807171
873.811193,-2.55594517,56.65730896,41.48879367
874.8502055,3.573610001,62.20408279,39.48288941
875.8890333,5.930989112,69.84433457,35.93306782
876.9276762,6.18841706,76.43388282,32.39639878
877.9661343,6.973072069,79.03005054,29.88637312
879.0044077,9.396389494,78.64047758,29.14492352
880.0424965,15.61972521,79.2872145,29.91568015
881.0804006,23.42042402,82.90011332,31.29002801
882.1181201,26.58852125,88.25509574,32.36470585
883.1556551,26.27481098,94.04732971,32.20470971
884.1930056,29.02558556,99.45240931,31.52100645
885.2301717,35.22940548,103.7361032,32.96914715
886.2671533,39.08214588,106.9499177,36.59387135
887.3039505,38.47317382,108.7210219,38.66847796
888.3405634,39.18056052,107.0859812,37.84638195
889.3769921,42.63950918,100.3947862,37.61717559
890.4132365,43.15740481,90.06884924,40.39123875
891.4492967,41.70427043,81.05992768,42.91476589
892.4851727,39.98998344,77.70717206,40.81532365
893.5208646,34.43230771,78.44436835,36.40222899
894.5563725,28.46679827,77.95819051,36.14842868
895.5916964,26.83988238,74.34960632,39.77852017
896.6268362,26.16897396,69.80823194,40.23987275
897.6617922,25.16812531,65.8232528,35.15278787
898.6965642,25.05134739,61.92200805,28.51769849
899.7311524,21.88629787,57.43003415,21.96616899
900.7655568,14.80569413,52.09832862,14.48258386
901.7997774,9.875533958,45.89326407,8.774389683
902.8338143,9.677732853,38.958504,7.965656115
903.8676675,11.71173976,31.66080338,8.624188219
904.9013371,12.89452209,24.34729877,6.62742211
905.9348231,10.66514342,18.04155035,5.080534956
906.9681256,7.222248791,15.42346921,7.294670436
908.0012446,7.097266843,17.56603597,10.30906384
909.0341801,8.214956635,20.74954445,13.07254411
910.0669322,7.131225246,21.65686508,20.12753827
911.0995009,5.929236672,22.05008661,31.80105743
912.1318863,6.145003542,23.28739461,41.69255116
913.1640883,6.706159966,22.55598849,46.68110591
914.1961072,6.591215866,19.07007653,50.13181537
915.2279429,6.858475907,17.21396215,54.79434317
916.2595954,9.552738266,19.86757759,59.66235626
917.2910647,11.50048546,23.99950241,63.46408163
918.3223511,10.47748065,25.41359268,66.50865087
919.3534543,11.89652183,24.1525112,68.0114794
920.3843747,15.74724375,23.3076238,64.47119964
921.415112,15.68910782,24.5176555,54.80019677
922.4456665,13.67214888,26.34054302,44.46170786
923.4760381,13.64931846,26.64142209,38.64518929
924.5062269,13.55582648,25.30501094,35.80313511
925.5362329,14.31194956,23.84213156,32.66065381
926.5660562,17.26192257,22.99035955,27.93678661
927.5956968,19.07938165,21.61982424,19.33450834
928.6251548,18.95709326,18.02709108,7.04213065
929.6544302,18.15731948,12.67637225,-1.305500211
930.683523,16.68050568,9.253193527,-0.343356539
931.7124333,14.39023378,10.36111808,3.367595588
932.7411612,10.95184871,12.71127031,3.008341494
933.7697066,9.388153315,11.39705293,3.891464073
934.7980697,14.53901159,7.870997348,12.56673504
935.8262504,21.89398118,7.121810892,24.71673918
936.8542488,21.2057125,9.03854693,34.22236355
937.8820649,16.35081254,10.06306759,44.07244375
938.9096989,19.89451997,10.38734588,59.27073736
939.9371506,28.65645493,12.39700802,76.24546534
940.9644203,32.85494363,15.15208371,88.0816342
941.9915079,33.80067669,15.87390161,95.47899172
943.0184134,33.74303123,14.65084638,104.769836
944.0451369,34.23542571,14.35929523,118.1138877
945.0716785,38.84772343,16.8693714,130.5454766
946.0980382,42.53044352,21.15248142,136.7123912
947.124216,41.0430716,24.97363747,138.2813816
948.1502119,41.57774603,26.83627846,140.2417491
949.1760261,46.84210523,26.04637124,141.7204681
950.2016586,50.37005376,22.70728777,138.580849
