Wavelength,HS_V4S3_AAB_C2_02_I1,HS_V4S3_AAB_C2_02_I2
814.2804919,93.64520486,105.3724389
815.3301136,91.97386661,105.6639434
816.379548,92.0379292,105.704132
817.428795,99.2091249,107.8689862
818.4778548,110.1099426,112.2457802
819.5267273,121.8080213,117.9529349
820.5754126,133.6500574,122.7014706
821.6239108,142.2862526,121.8944627
822.6722219,144.2544457,112.5234925
823.720346,138.7772516,97.93004791
824.768283,131.6607948,85.53975101
825.8160331,132.2667793,79.7715843
826.8635963,138.2301336,79.00066069
827.9109725,140.2500539,79.17962582
828.958162,140.5310611,77.91579323
830.0051647,141.5029049,75.35475221
831.0519806,137.7459375,74.64364024
832.0986098,138.7768335,80.26576391
833.1450524,156.729711,91.36770108
834.1913083,172.6905776,99.52754728
835.2373777,165.8741491,97.82896227
836.2832606,149.0817148,87.98494735
837.328957,137.3546511,74.96286635
838.3744669,122.781059,60.65417145
839.4197905,103.2250283,46.69500535
840.4649277,95.18529272,37.68956368
841.5098787,102.6271568,37.23093692
842.5546433,110.9770005,43.78595019
843.5992218,114.9049354,51.93505292
844.6436141,115.2962608,55.25286057
845.6878203,105.1101961,50.07433061
846.7318404,85.13140298,39.87639897
847.7756744,68.02969199,33.01043598
848.8193225,59.99547488,33.4821584
849.8627846,57.5439736,37.1056077
850.9060608,55.60454246,38.55413084
851.9491512,51.99445954,38.17528263
852.9920557,48.38274908,39.32610396
854.0347745,45.18478317,42.88917438
855.0773075,39.51728855,47.55235867
856.1196549,33.41404591,52.42450509
857.1618166,33.06975232,56.39043162
858.2037927,33.83588344,57.12454165
859.2455833,27.37288766,53.8568337
860.2871883,21.60971097,49.60748727
861.3286079,22.89839547,47.33513164
862.3698421,18.400476,45.62219988
863.4108909,3.424205063,41.80698989
864.4517544,-4.169142301,37.27050196
865.4924326,5.300375525,35.71087828
866.5329255,17.65508092,37.76595357
867.5732333,21.16263946,40.62317022
868.6133559,19.87823377,41.75307634
869.6532933,18.63420085,40.95538943
870.6930457,20.06068253,39.62095657
871.7326131,27.18234104,38.7760693
872.7719955,35.0927146,37.79113827
873.811193,36.05018514,35.75485265
874.8502055,34.47855625,33.59550068
875.8890333,35.54900426,32.97083494
876.9276762,32.38255476,33.51018464
877.9661343,26.55770141,33.09092496
879.0044077,27.56952937,30.44255924
880.0424965,27.89740132,26.88712935
881.0804006,22.83246647,26.02942818
882.1181201,26.38444704,30.08580303
883.1556551,36.19850642,36.18996492
884.1930056,34.62407953,39.98674277
885.2301717,26.76964825,42.19746101
886.2671533,27.32747146,46.43574089
887.3039505,32.08896535,51.8499379
888.3405634,32.66575346,53.6782219
889.3769921,33.79549131,50.88120982
890.4132365,43.81506298,48.52619561
891.4492967,58.93136167,51.55875293
892.4851727,66.93899763,59.65182848
893.5208646,69.6255659,68.8621258
894.5563725,81.58806152,74.99118422
895.5916964,100.4007683,75.37691029
896.6268362,107.7909887,70.89280484
897.6617922,102.7912116,65.58094226
898.6965642,101.5774783,61.57606829
899.7311524,105.3301447,56.22278864
900.7655568,98.93602185,46.90165921
901.7997774,85.57120058,36.0813403
902.8338143,85.03768981,27.94626917
903.8676675,90.07629893,22.60448475
904.9013371,79.96496636,18.30905784
905.9348231,67.75131003,15.96905621
906.9681256,69.01043662,15.78686011
908.0012446,66.6145279,14.6564448
909.0341801,54.65351062,12.12073909
910.0669322,53.94202151,12.12380811
911.0995009,64.36505148,15.45610457
912.1318863,63.22847775,17.72589692
913.1640883,51.81398584,16.67976851
914.1961072,50.50479324,15.40921714
915.2279429,57.66441651,17.29968891
916.2595954,58.18695592,22.10281678
917.2910647,53.2721022,27.19979927
918.3223511,51.94852531,29.77300171
919.3534543,54.09799407,28.3074643
920.3843747,52.39422345,24.10439919
921.415112,42.51433494,20.53961023
922.4456665,32.28305153,19.23220894
923.4760381,30.53395743,17.95830979
924.5062269,28.92658585,14.22654348
925.5362329,19.2322935,9.363754009
926.5660562,11.96568451,5.578621975
927.5956968,9.929961108,0.949331523
928.6251548,-1.488538044,-7.021573927
929.6544302,-17.08897911,-14.4586502
930.683523,-16.15224196,-14.86479876
931.7124333,-6.922334955,-8.981922537
932.7411612,-8.654200977,-3.728913159
933.7697066,-13.08420924,-2.860199101
934.7980697,-11.16455445,-4.611294626
935.8262504,-11.68926313,-5.472944041
936.8542488,-14.26066502,-2.232068774
937.8820649,-9.134056304,6.067844176
938.9096989,1.164869468,15.85220579
939.9371506,6.285970521,21.5041395
940.9644203,5.192892048,21.98916374
941.9915079,4.326910833,23.01842737
943.0184134,6.030308612,30.35392018
944.0451369,12.73236136,42.87107835
945.0716785,23.72617447,54.38633478
946.0980382,26.04573205,60.59140664
947.124216,18.96394584,62.2510003
948.1502119,19.07416243,62.12542866
949.1760261,22.27271025,61.4764604
950.2016586,14.46605096,61.51835503
951.2271093,7.500255461,65.02899198
952.2523784,13.10262999,73.18306315
953.2774659,19.948157,82.99010165
954.3023718,20.40973855,89.31812192
955.3270962,16.3654116,88.37631629
956.3516391,8.191628142,81.22685695
957.3760006,6.979667582,74.71840115
958.4001806,23.01700157,75.35874384
959.4241793,40.1037265,83.06493067
960.4479967,44.92673631,94.77556435
961.4716329,53.95947775,109.8213287
962.4950878,77.26913486,126.2185855
963.5183615,97.60295773,137.0474296
964.541454,101.0322916,137.3934609
965.5643655,97.01364335,132.0451495
966.5870959,100.8947356,130.5658364
967.6096453,112.3651817,135.6267243
968.6320137,121.4524924,140.94311
969.6542011,122.3126865,140.2738501
970.6762077,114.8378055,133.9660508
971.6980335,106.6313127,126.2577897
972.7196784,103.8076659,119.5215065
973.7411426,99.59569443,113.1746209
974.762426,91.35122941,107.2055082
975.7835288,86.72273526,102.9064951
976.804451,82.7670311,98.43217165
977.8251925,70.1213498,87.69847657
978.8457535,50.01597373,67.12207615
979.866134,29.32945128,41.80838808
980.886334,16.06563846,22.62691617
981.9063536,16.70456204,16.56491067
982.9261929,23.20708704,20.38921677
983.9458517,19.05882368,25.01238522
984.9653303,9.035670359,25.89849243
985.9846287,12.95588475,25.34898491
987.0037468,21.79043192,24.4182841
988.0226847,10.80808004,20.44606783
989.0414426,-6.792080506,14.42370232
990.0600203,-1.732378239,12.11776422
991.078418,18.55972442,15.85172
