Wavelength,HS_V2S2_AAB_C1_I1,HS_V2S2_AAB_C1_I2,HS_V2S2_AAB_C1_I3
568.8908675,16.7741802,-0.855500231,17.94672651
569.9845981,30.62551225,11.56082226,30.21241135
571.0781308,42.62496154,25.166835,41.82726467
572.1714656,46.26158237,32.32522369,43.5764892
573.2646026,42.35974684,33.6490538,42.43767451
574.3575417,40.1994604,34.72656247,30.81868213
575.4502831,43.67543778,37.31418957,37.09629832
576.5428267,47.87366177,40.23814407,47.16894899
577.6351727,51.17838079,44.45816645,42.1175809
578.7273211,54.65956356,49.7989076,53.57015163
579.8192719,54.86248156,52.78259246,52.44697976
580.9110251,51.21339762,52.79633343,44.06229979
582.0025809,49.49615314,53.32991164,50.19891961
583.0939393,51.01148904,55.51540958,52.65959903
584.1851003,49.18494841,56.56893206,59.81756816
585.276064,39.94612593,54.25572355,52.63617927
586.3668304,28.05155017,48.61043979,39.11553372
587.4573995,20.66158423,40.83815043,41.82113261
588.5477715,20.00551705,33.33303123,36.69740868
589.6379463,22.19568041,27.47635546,38.95327304
590.727924,21.30357677,20.83078561,37.71596544
591.8177047,18.31572727,11.38537562,24.54323747
592.9072884,20.73002901,2.789746488,33.77158315
593.9966751,30.7157615,1.11460595,35.8319271
595.085865,43.18948668,6.868018672,35.21539045
596.1748579,52.35116954,11.92497925,50.79737516
597.2636541,53.98937786,8.006597079,50.40720435
598.3522535,49.11049398,-1.879320647,46.47819897
599.4406563,46.05246425,-6.980044298,50.45128748
600.5288623,50.75960049,-3.510746655,52.59839291
601.6168717,57.04484361,1.477208911,60.90714911
602.7046846,55.80632174,1.763394862,66.24359702
603.7923009,49.20733761,0.298452928,57.36261961
604.8797208,44.03488286,2.605245737,53.41766639
605.9669443,39.42136975,8.402078683,48.53763396
607.0539713,32.6162569,14.47446785,35.96807094
608.1408021,26.2221697,21.0957336,30.81011708
609.2274365,22.24530989,30.70803669,24.15654601
610.3138748,19.41235118,43.16016385,19.77501388
611.4001168,19.92492213,57.10047396,9.080254076
612.4861627,29.08672519,73.28196523,5.838163079
613.5720125,45.82088268,91.66977715,22.33555649
614.6576662,62.61613714,108.7651157,25.11143295
615.743124,75.63865516,121.7149226,30.61741787
616.8283858,86.659725,131.8072022,35.63214808
617.9134517,96.19583635,140.6700344,35.41469065
618.9983217,101.9129961,145.412323,43.54421347
620.082996,103.839641,141.8273802,37.6146849
621.1674744,104.946882,130.5672604,32.73654211
622.2517572,104.7235817,116.4056663,40.94076275
623.3358443,99.50353475,104.5698626,44.62322078
624.4197358,90.58308307,98.32909853,48.74939143
625.5034317,83.04853749,95.15194345,58.77470028
626.586932,75.96169707,87.60362112,64.92087975
627.6702369,63.39947745,72.7660883,62.7267276
628.7533464,46.55781754,56.64035414,55.56975171
629.8362605,32.56730128,44.63781999,44.74594254
630.9189792,20.61384163,33.61875295,35.27430642
632.0015027,6.334912611,20.52096324,26.57332774
633.0838309,-3.703469568,11.69606029,14.86502316
634.1659639,-2.204114233,13.46295038,15.96174574
635.2479018,3.339349928,20.29937694,19.18070687
636.3296446,3.733293226,23.23861979,15.38564327
637.4111923,4.172155075,23.82847275,11.96823688
638.492545,12.1150046,28.91468262,13.60638602
639.5737027,21.75299724,36.93270726,26.55004218
640.6546656,24.81669499,41.38944898,18.68601638
641.7354335,25.37143665,43.43557487,11.27989084
642.8160067,30.51030137,49.13069729,17.37666881
643.8963851,38.21745906,58.50336193,15.30119055
644.9765687,44.44557115,66.96208272,27.36885937
646.0565577,51.01923538,74.38834852,37.84751956
647.136352,59.85223799,85.01584111,39.07114092
648.2159518,66.74578781,98.56819397,50.10661763
649.295357,67.28434852,108.698726,57.88763244
650.3745677,64.86001415,112.1183969,55.39701658
651.453584,64.77136241,112.3730928,56.45387183
652.5324059,64.87235772,113.0018133,55.02305384
653.6110335,62.38513335,113.4318191,49.74203637
654.6894667,62.24705198,111.7109931,43.56958609
655.7677057,66.26211706,105.9926848,42.95943614
656.8457504,66.65896132,96.18576298,47.05813252
657.923601,63.23221728,87.82533691,32.82247522
659.0012575,66.37561468,86.57470599,31.15232958
660.07872,73.26175268,87.24231849,46.76200179
661.1559884,69.45379888,80.07394976,40.21590702
662.2330628,57.03455091,66.33670202,29.23745818
663.3099433,50.59151717,55.14433669,23.321293
664.3866299,51.44280681,49.23632695,20.52331993
665.4631227,51.39846475,44.35310435,17.37981866
666.5394216,50.02937113,38.39089583,13.2455088
667.6155269,51.20153354,33.55993874,19.85836369
668.6914384,53.78027586,31.55027012,21.32869307
669.7671563,53.56173112,30.89035142,30.72750559
670.8426806,48.86978965,28.79792868,36.87074198
671.9180114,43.15365208,24.12460856,32.80499739
672.9931486,40.22950832,18.15417242,35.89628094
674.0680924,37.5790384,13.31856209,37.74183363
675.1428427,32.24761312,12.05677699,45.84949051
676.2173997,28.06701076,15.211443,48.08511785
677.2917633,27.55813345,19.80651264,56.43800153
678.3659337,27.2867244,21.7009448,66.31813234
679.4399109,27.01642586,22.06309528,69.70253914
680.5136948,29.0211537,24.86178638,78.07433298
681.5872856,27.87418112,28.0727968,81.72088113
682.6606834,17.33446401,27.55426225,76.50872147
683.7338881,5.241837146,27.80487943,62.23897574
684.8068997,4.568338262,36.99696255,70.26093587
685.8797185,13.20859026,54.44898175,81.09422233
686.9523443,19.40428492,71.9689279,79.6283808
688.0247773,20.41181029,83.407621,79.39676937
689.0970174,22.0030468,89.81755247,64.74841922
690.1690648,28.29021126,97.43625988,57.36437105
691.2409195,37.28930291,107.8919982,59.63317959
692.3125815,41.37343597,113.9123112,57.47707966
693.3840508,37.03118357,110.7405461,46.24319136
694.4553276,31.40931606,103.1194201,36.99541746
695.5264119,30.26442279,95.88599613,35.30510645
696.5973036,30.42438813,88.78851288,22.79358114
697.6680029,29.7501565,83.04679241,21.08326504
698.7385099,29.88102333,82.13125278,23.01693417
699.8088244,29.31494265,84.23737969,23.91036156
700.8789467,25.85788085,82.04550441,31.65896289
701.9488767,22.11616199,71.95050949,21.42157397
703.0186145,21.39807091,57.83338253,19.60739849
704.0881601,23.40035686,45.2809553,20.56755272
705.1575136,27.62930323,36.90542273,10.86818512
706.226675,34.57916914,31.4269582,12.80444367
707.2956444,41.93491542,25.14426911,8.901681766
708.3644218,47.21406141,17.57066099,2.476758127
709.4330073,52.91376268,13.40213613,5.947561617
710.5014009,61.49884034,15.56872237,5.609904618
711.5696026,69.43668346,20.88541847,1.087000324
712.6376126,72.92084267,24.09133238,2.260340487
713.7054308,74.67167423,23.46792573,3.049084391
714.7730573,78.9938514,22.76881434,2.08006895
715.8404921,83.38516939,25.05733276,11.79587328
716.9077353,81.40233137,25.54015538,21.57810281
717.974787,73.29188315,18.67196545,8.464265414
719.0416471,65.78571333,8.139761551,4.656110088
720.1083157,61.28620121,0.990769814,13.9457313
721.1747929,56.42430169,-1.098845265,10.54699599
722.2410788,49.01029095,-0.354446489,24.74315103
723.3071733,39.23365416,0.288773713,36.66899986
724.3730765,28.22342579,-1.455046219,34.96971557
725.4387884,17.78237089,-5.562278473,41.10366159
726.5043092,9.411005617,-9.713828395,47.03052673
727.5696387,4.721454922,-10.93019683,48.24392732
