Wavelength,HS_V4S3_AAB_C2_02_I1,HS_V4S3_AAB_C2_02_I2,HS_V4S3_AAB_C2_02_I3,HS_V4S3_AAB_C2_02_I1,HS_V4S3_AAB_C2_02_I2
684.8068997,7.455408316,44.2265507,9.449221399,18.76446643,45.42174553
685.8797185,6.528779693,46.24781379,13.68226183,30.49522826,56.88137963
686.9523443,3.863064752,43.75455581,4.278471561,40.71423158,67.81338342
688.0247773,4.962237453,42.6694128,0.900202933,47.29732958,72.90904656
689.0970174,7.166464185,42.2856236,4.07016187,48.77547639,73.59662883
690.1690648,6.200181112,39.02790559,8.399125433,51.6763858,74.96385257
691.2409195,9.550909181,35.37501719,13.49297366,66.56848095,78.53489684
692.3125815,15.65458735,29.9464198,16.4989187,81.89950843,79.82367279
693.3840508,13.74862454,25.14248326,22.97837003,80.89252451,74.33458926
694.4553276,5.863138183,15.65105175,20.9213977,72.88800602,63.4670722
695.5264119,1.171959439,6.974427008,16.06261854,70.86668083,52.57135419
696.5973036,-2.037936734,3.399715981,16.68958509,72.13774931,46.35803362
697.6680029,-3.960090727,0.028804452,19.70563331,76.90556242,47.49347907
698.7385099,-2.344777067,0.689368011,28.35968573,88.24352103,55.44454771
699.8088244,-4.949053586,7.147517039,30.82715406,99.46024303,65.12469087
700.8789467,-7.237581921,11.67888057,25.13204601,103.9893178,70.25178012
701.9488767,-3.413074609,11.1344798,25.79582572,104.0513729,69.3302226
703.0186145,-3.155788141,14.12892245,32.06406764,103.4551595,65.70764825
704.0881601,-4.312325427,17.10857648,33.78965799,103.8416731,62.48651217
705.1575136,-0.926758543,11.62216136,34.61282377,106.6769522,60.5233632
706.226675,0.928983007,8.967987812,38.4751934,108.1119634,59.5040158
707.2956444,-4.266902931,13.91794214,43.19842285,100.5239854,58.23733365
708.3644218,-9.099139659,15.86063839,45.46389458,89.00609539,56.30884235
709.4330073,-3.38851478,13.58563114,44.24179719,86.39185326,55.92606491
710.5014009,1.820471737,11.43168979,42.73110383,90.86248339,58.60452158
711.5696026,1.026843894,13.34733414,36.23238091,92.43791053,61.09475861
712.6376126,4.842725817,11.85425445,34.35106672,87.42150169,59.41919777
713.7054308,6.370707708,6.905285587,39.28100375,76.48526084,56.23587119
714.7730573,5.982145264,9.388220715,43.2936302,69.82595544,58.51062435
715.8404921,14.66546344,12.22004885,50.49285571,76.48494973,66.43419283
716.9077353,20.68124473,16.27406088,50.4571867,79.71086632,70.25006603
717.974787,19.29058266,15.5218727,44.85609032,62.88837499,62.44504396
719.0416471,18.50259797,8.119513443,38.42061325,41.27232661,48.78624777
720.1083157,18.21684356,6.635683151,25.85959887,31.84100821,41.82543276
721.1747929,21.13147724,13.62107537,19.99891174,30.7445557,46.56383898
722.2410788,22.99142563,21.98976806,23.70146541,30.53770688,57.04356382
723.3071733,19.28285134,22.32619764,21.12649905,26.98953664,64.62403741
724.3730765,17.3440263,25.50548978,15.79813772,19.42679092,65.63549373
725.4387884,17.43993991,28.59210247,12.35664836,11.55775556,61.70844402
726.5043092,16.9662352,25.50518512,3.609592745,4.993264241,56.53116791
727.5696387,16.95848965,24.39775525,4.9050338,1.61997332,53.80589128
728.6347772,17.62134503,23.63218127,11.63815163,3.199167217,55.72151333
729.6997246,16.33752368,21.99403672,7.8250021,5.869653934,61.36052793
730.764481,13.15083821,21.40173152,7.549732943,9.18464283,66.99799048
731.8290465,16.53800796,20.69027138,10.12162462,14.15550116,68.6130498
732.893421,22.28576266,19.39362781,10.80593812,13.44385641,64.95263891
733.9576046,23.22130429,19.88944804,13.32368377,7.332476942,58.41899413
735.0215973,25.99311196,17.50308933,14.77071,5.53475582,52.03745761
736.0853993,26.9622054,14.04009109,12.61850511,6.06794205,46.7492533
737.1490106,24.83979841,13.57590669,13.34991311,4.195083321,43.23681211
738.2124311,26.34701537,8.584555294,16.96782272,5.934107992,43.45151617
739.275661,27.762923,10.2719559,13.34874996,14.03660962,46.91232977
740.3387003,31.3505055,18.00806584,14.02551739,20.90746389,47.85701592
741.401549,36.27864595,17.63058369,17.02795943,19.15713575,40.70760651
742.4642072,36.30761378,16.08007385,13.79624215,13.41878807,27.98382446
743.5266749,37.22375974,9.002379742,10.77953876,15.44738929,18.54995757
744.5889522,36.44931624,8.197051362,7.451505656,22.76672059,17.24756153
745.6510392,29.99136623,15.61152952,7.400083662,23.7571111,19.93543458
746.7129358,24.53402822,17.78058303,5.338706385,20.87991673,19.93972512
747.7746421,20.03078465,17.62617193,3.56872202,19.83943166,15.90570984
748.8361581,13.56318468,16.16918178,6.706161061,17.98840057,11.66841045
749.897484,9.247525905,21.72142085,7.491904958,18.45306056,10.731212
750.9586197,8.960518591,26.35673429,6.915510055,24.13269308,13.02953762
752.0195653,4.274783761,25.5115406,3.196310405,31.10227399,17.43774299
753.0803208,0.977102045,24.91189441,-0.302510854,43.30780817,25.08491449
754.1408863,6.087329783,24.84620711,3.667670574,63.40029811,37.39296207
755.2012619,6.255280104,25.59679815,6.558156556,83.96689901,52.10066905
756.2614475,8.68721268,28.49152339,3.828323717,102.3060226,64.16514873
