Wavelength,HS_V4S3_AAB_C2_02_I1,HS_V4S3_AAB_C2_02_I2,HS_V4S3_AAB_C2_02_I3
717.974787,19.29058266,15.5218727,44.85609032
719.0416471,18.50259797,8.119513443,38.42061325
720.1083157,18.21684356,6.635683151,25.85959887
721.1747929,21.13147724,13.62107537,19.99891174
722.2410788,22.99142563,21.98976806,23.70146541
723.3071733,19.28285134,22.32619764,21.12649905
724.3730765,17.3440263,25.50548978,15.79813772
725.4387884,17.43993991,28.59210247,12.35664836
726.5043092,16.9662352,25.50518512,3.609592745
727.5696387,16.95848965,24.39775525,4.9050338
728.6347772,17.62134503,23.63218127,11.63815163
729.6997246,16.33752368,21.99403672,7.8250021
730.764481,13.15083821,21.40173152,7.549732943
731.8290465,16.53800796,20.69027138,10.12162462
732.893421,22.28576266,19.39362781,10.80593812
733.9576046,23.22130429,19.88944804,13.32368377
735.0215973,25.99311196,17.50308933,14.77071
736.0853993,26.9622054,14.04009109,12.61850511
737.1490106,24.83979841,13.57590669,13.34991311
738.2124311,26.34701537,8.584555294,16.96782272
739.275661,27.762923,10.2719559,13.34874996
740.3387003,31.3505055,18.00806584,14.02551739
741.401549,36.27864595,17.63058369,17.02795943
742.4642072,36.30761378,16.08007385,13.79624215
743.5266749,37.22375974,9.002379742,10.77953876
744.5889522,36.44931624,8.197051362,7.451505656
745.6510392,29.99136623,15.61152952,7.400083662
746.7129358,24.53402822,17.78058303,5.338706385
747.7746421,20.03078465,17.62617193,3.56872202
748.8361581,13.56318468,16.16918178,6.706161061
749.897484,9.247525905,21.72142085,7.491904958
750.9586197,8.960518591,26.35673429,6.915510055
752.0195653,4.274783761,25.5115406,3.196310405
753.0803208,0.977102045,24.91189441,-0.302510854
754.1408863,6.087329783,24.84620711,3.667670574
755.2012619,6.255280104,25.59679815,6.558156556
756.2614475,8.68721268,28.49152339,3.828323717
757.3214432,18.78868224,28.60988144,4.546807017
758.3812492,19.76001747,27.78727599,11.42325373
759.4408653,14.83011548,29.32943918,22.32505568
760.5002916,12.68873292,25.9441313,26.81741492
761.5595283,12.18796016,27.82825817,26.29743642
762.6185753,14.60693336,30.85420392,29.91719167
763.6774327,22.85330859,36.84280452,32.03713351
764.7361006,31.80929339,42.03167377,36.75492927
765.7945789,32.12386623,32.11670712,38.18496477
766.8528678,33.01219247,26.33610729,39.69783956
767.9109672,39.862486,25.20026882,48.9316977
768.9688772,41.11361596,29.80723935,48.89536927
770.0265979,37.815079,37.90304907,47.513572
771.0841294,35.88273492,35.39850611,48.83001918
772.1414715,37.78925152,33.81675631,45.19818888
773.1986245,41.13670123,31.79732179,43.3879422
774.2555883,35.84478456,35.44182242,43.24452748
775.312363,28.84130792,44.5893451,41.20626708
776.3689486,28.84808981,41.68245755,33.00008557
777.4253452,28.95159264,39.29176489,22.30280761
778.4815529,30.83303202,38.42177143,16.01010393
779.5375716,31.51270033,37.15409725,18.00534044
780.5934014,24.75949043,44.14088949,19.08530754
781.6490423,19.9271993,47.46972264,11.3378479
782.7044945,17.60702432,45.80948408,8.850352937
783.7597579,11.88522303,47.01093911,8.033195227
784.8148327,5.214892159,45.80036459,8.475237175
785.8697187,0.894371918,50.94803278,9.388327364
786.9244161,1.134718885,57.38009914,6.745133823
787.978925,4.320616465,52.90356704,13.49280412
789.0332454,6.016831624,50.26902964,15.52454917
790.0873772,2.933780562,44.80792157,11.13936339
791.1413206,2.419372492,44.67352347,11.18908238
792.1950757,9.823137991,53.38214417,19.64695569
793.2486423,11.36962843,57.44056332,29.99626576
794.3020207,7.572927325,56.64814201,25.29020251
795.3552108,6.654408683,48.47047942,24.14637239
796.4082127,3.408308214,44.25829239,27.19384942
797.4610265,4.2225288,42.96067025,28.3163302
798.5136521,7.160366593,41.00624337,37.49264121
799.5660896,3.462583982,37.39782611,46.60143484
800.6183391,2.35695935,28.65591787,47.24006007
801.6704006,6.657250608,24.20980207,41.68662806
802.7222742,11.65987626,22.77368357,46.27674816
803.7739599,11.41967125,23.86713521,55.76754935
804.8254577,6.294375881,29.74519896,57.85320354
805.8767677,6.505871069,39.24028235,53.13866677
806.9278899,8.176746839,43.90935675,46.38886396
807.9788245,9.145312276,50.21539859,49.32734375
809.0295713,15.42985013,61.47228657,52.77164802
810.0801305,22.32047926,65.9972216,58.0267374
