Wavelength,AAB_AS_S1_I17
1788.768794,73.70290213
1787.888139,73.53552996
1787.007334,76.13090513
1786.126381,72.11926328
1785.245278,68.12261217
1784.364027,67.15236489
1783.482626,59.69825351
1782.601077,46.28651854
1781.719378,40.88582283
1780.83753,44.56666615
1779.955533,43.6188822
1779.073387,35.20474163
1778.191091,31.6683336
1777.308646,35.2577052
1776.426052,38.60520357
1775.543308,38.43425348
1774.660416,31.79377293
1773.777373,27.86288544
1772.894182,34.1323512
1772.01084,40.93703904
1771.12735,45.44927748
1770.243709,50.04534569
1769.359919,52.77981959
1768.47598,49.83791663
1767.591891,41.0302483
1766.707652,37.41817445
1765.823264,43.07766766
1764.938725,45.57991823
1764.054037,40.5363332
1763.1692,39.42439525
1762.284212,44.34181229
1761.399075,47.74927165
1760.513787,52.21052711
1759.62835,56.15477997
1758.742763,52.11386818
1757.857025,48.54212724
1756.971138,51.24896594
1756.085101,50.57150913
1755.198913,47.08479408
1754.312575,45.25482673
1753.426088,47.1082283
1752.53945,58.74271533
1751.652661,69.3383081
1750.765723,74.12510884
1749.878634,86.1271462
1748.991395,97.99045658
1748.104006,102.08568
1747.216466,103.7308409
1746.328776,101.0491129
1745.440935,99.41668284
1744.552944,103.6554358
1743.664802,101.0092521
1742.77651,90.61674709
1741.888067,89.07347913
1740.999473,90.02582913
1740.110729,78.42991797
1739.221834,66.88835162
1738.332789,59.15082469
1737.443592,46.85600864
1736.554245,41.6269911
1735.664747,36.83626158
1734.775098,20.24095704
1733.885299,8.898356773
1732.995348,1.249026058
1732.105247,-5.300129582
1731.214994,1.187192204
1730.32459,7.175967206
1729.434036,12.13103074
1728.54333,24.2692736
1727.652473,32.09167055
1726.761465,39.51076039
1725.870306,46.86946854
1724.978996,48.81277502
1724.087534,58.61194639
1723.195921,70.5127474
1722.304157,71.36990641
1721.412242,73.39229633
1720.520175,76.48513308
1719.627956,71.68696412
1718.735586,72.26653511
1717.843065,79.67601241
1716.950392,76.2392614
1716.057568,66.49946905
1715.164592,62.60904733
1714.271465,56.45321403
1713.378185,48.45621493
1712.484755,44.62951365
1711.591172,42.45689591
1710.697438,51.64508071
1709.803551,63.94017933
1708.909514,65.01117032
1708.015324,69.76883933
1707.120982,76.80236772
1706.226489,82.25975477
1705.331843,89.35596258
1704.437046,85.69418522
1703.542096,84.35072586
1702.646994,91.44900478
1701.751741,84.64121473
1700.856335,72.76173291
1699.960777,66.00343209
1699.065067,53.68271851
1698.169205,46.56373789
1697.27319,52.43826474
1696.377023,52.84686292
1695.480704,42.04990026
1694.584233,35.69260062
1693.687609,35.19987919
1692.790833,29.44229824
1691.893904,30.52190702
1690.996823,46.48469523
1690.099589,57.8216096
1689.202203,64.01627881
1688.304664,72.58240448
1687.406972,76.37479944
1686.509128,80.37625585
1685.611132,89.50543483
1684.712982,96.42450689
1683.81468,95.76912775
1682.916225,95.8783145
1682.017617,101.1889813
1681.118856,97.6523768
1680.219943,91.67295024
1679.320876,90.89724271
1678.421657,83.83992561
1677.522284,78.68012741
1676.622759,74.44337922
1675.72308,63.38131688
1674.823249,57.81695715
1673.923264,53.84676164
1673.023126,47.23311158
1672.122835,44.44689738
1671.222391,40.27560713
1670.321793,40.99034722
1669.421042,49.71734047
1668.520138,51.55771155
1667.619081,57.11952154
1666.71787,73.7383192
1665.816505,78.70367501
1664.914988,76.57943029
1664.013316,80.78155952
1663.111492,81.08342946
1662.209513,84.12690946
1661.307381,98.72282436
1660.405096,106.053558
1659.502657,103.1154344
1658.600064,107.9025539
1657.697317,109.752831
1656.794417,100.1398367
1655.891362,95.41700453
1654.988154,90.31676529
1654.084793,83.55856888
1653.181277,85.99662737
1652.277607,81.75247183
1651.373783,69.73208984
1650.469806,66.10356376
1649.565674,63.06214766
1648.661388,62.30275943
1647.756948,71.2886634
1646.852354,73.76802488
1645.947606,67.15355426
1645.042704,57.63005472
1644.137647,42.64759426
1643.232436,35.43649166
1642.327071,37.34340829
1641.421552,32.1222451
1640.515878,26.21548272
1639.61005,29.23328781
1638.704067,31.16926316
1637.79793,32.27153507
1636.891638,45.18663856
1635.985192,56.95647906
1635.078591,54.64771497
1634.171835,54.40318919
1633.264925,55.91750702
1632.357861,56.16092651
1631.450641,68.31069414
1630.543267,75.45319348
1629.635738,72.52560176
1628.728054,84.4277036
1627.820215,98.03707584
1626.912222,98.5018913
1626.004073,98.72107581
1625.09577,99.11764392
1624.187311,99.78401813
1623.278698,100.9243276
1622.36993,100.25809
1621.461006,102.825595
1620.551927,101.799847
1619.642693,95.85209968
1618.733304,99.15115433
1617.82376,114.9558788
1616.914061,135.8377069
1616.004206,154.9455013
1615.094196,168.2843651
1614.18403,168.9457674
1613.273709,162.1670361
1612.363233,163.8516089
1611.452601,168.8077139
1610.541814,172.7463462
1609.630871,174.2306157
1608.719772,160.9154855
1607.808518,146.7348104
1606.897109,142.0101755
1605.985543,127.7137253
1605.073822,104.9917241
1604.161945,83.93042489
1603.249913,64.12118385
1602.337724,52.6174708
1601.42538,42.55165127
1600.51288,21.84478483
1599.600224,4.706357829
1598.687412,-0.379280567
1597.774444,-0.755042866
1596.86132,7.58443023
1595.94804,28.94261509
1595.034604,54.12765028
1594.121012,69.83398936
1593.207263,77.06186505
1592.293359,88.09722587
1591.379298,100.6960476
1590.465081,108.3847307
1589.550708,116.7623552
1588.636178,129.0167588
1587.721492,138.0077722
1586.806649,136.7208588
1585.89165,130.5249477
1584.976495,126.6375498
1584.061183,120.2341345
1583.145715,103.2586922
1582.23009,81.68359809
1581.314308,75.05641561
1580.39837,81.93973405
1579.482275,75.00881371
1578.566024,57.27468716
1577.649615,55.81144517
1576.73305,58.24497819
1575.816328,50.85416392
1574.899449,54.95514253
1573.982414,69.4463875
1573.065221,77.01731414
1572.147871,77.59314498
1571.230365,78.84063172
1570.312701,88.06123789
1569.394881,94.71369937
1568.476903,96.73048648
1567.558768,110.2384273
1566.640476,121.4462941
1565.722027,112.6640543
1564.80342,99.83807065
1563.884656,97.53327732
1562.965735,98.41565496
1562.046657,95.77185769
1561.127421,92.09613269
