Wavelength,HS_V2S1_AAB_C4_S2_I2
701.9488767,62.55882428
703.0186145,57.99018612
704.0881601,55.44630892
705.1575136,51.7185196
706.226675,46.91382536
707.2956444,43.16839093
708.3644218,40.71648204
709.4330073,39.65167262
710.5014009,40.20853618
711.5696026,39.81122039
712.6376126,35.77180543
713.7054308,31.39494257
714.7730573,33.4369975
715.8404921,41.80357925
716.9077353,47.09494921
717.974787,42.22482557
719.0416471,31.79782927
720.1083157,26.26820968
721.1747929,30.51173807
722.2410788,39.32913094
723.3071733,43.13944737
724.3730765,38.67966153
725.4387884,31.60850361
726.5043092,28.4356611
727.5696387,30.64176445
728.6347772,35.68251443
729.6997246,39.88930678
730.764481,40.95981901
731.8290465,38.9800814
732.893421,35.54340669
733.9576046,31.9880304
735.0215973,28.03596714
736.0853993,23.99180763
737.1490106,24.49955708
738.2124311,34.43366226
739.275661,49.16830349
740.3387003,56.15582439
741.401549,50.30663479
742.4642072,41.37082066
743.5266749,41.18984375
744.5889522,50.04392824
745.6510392,60.0204932
746.7129358,64.6904092
747.7746421,62.05448021
748.8361581,55.27299476
749.897484,51.53882455
750.9586197,54.91947403
752.0195653,63.0999216
753.0803208,73.09553805
754.1408863,83.73745687
755.2012619,92.61603376
756.2614475,97.02323132
757.3214432,97.77135874
758.3812492,98.22944211
759.4408653,99.53077341
760.5002916,99.74010586
761.5595283,97.95691619
762.6185753,95.14521254
763.6774327,90.67966747
764.7361006,82.3127063
765.7945789,69.96795809
766.8528678,57.63398987
767.9109672,50.08775692
768.9688772,47.24029461
770.0265979,43.75286174
771.0841294,34.05652118
772.1414715,17.08695529
773.1986245,-1.224228332
774.2555883,-11.34409238
775.312363,-9.15265615
776.3689486,0.602124392
777.4253452,10.37976217
778.4815529,16.44435173
779.5375716,19.90517812
780.5934014,23.72040418
781.6490423,29.21689919
782.7044945,35.03234513
783.7597579,38.86688158
784.8148327,39.50843197
785.8697187,38.1257756
786.9244161,38.62071522
787.978925,44.54006581
789.0332454,54.09485664
790.0873772,60.76488318
791.1413206,60.83901679
792.1950757,57.98203265
793.2486423,57.37787264
794.3020207,58.62807378
795.3552108,57.781731
796.4082127,52.90773559
797.4610265,46.23935994
798.5136521,42.4769829
799.5660896,43.45937428
800.6183391,44.93502227
801.6704006,41.1454886
802.7222742,31.51583808
803.7739599,21.20378585
804.8254577,15.24396552
805.8767677,14.03461605
806.9278899,16.03127363
807.9788245,20.71369543
809.0295713,26.35272891
810.0801305,30.42588747
811.1305021,34.10435507
812.1806862,40.91670601
813.2306828,49.83700293
814.2804919,54.3818241
815.3301136,51.39024759
816.379548,47.18765913
817.428795,50.83543835
818.4778548,65.06613707
819.5267273,87.38051277
820.5754126,113.5660669
821.6239108,136.8877707
822.6722219,150.4965497
823.720346,153.8983109
824.768283,153.753996
825.8160331,156.2977139
826.8635963,161.0058051
827.9109725,163.4323558
828.958162,161.1408445
830.0051647,155.284913
831.0519806,150.5619098
832.0986098,152.1324428
833.1450524,157.195954
834.1913083,155.7226359
835.2373777,144.2658004
836.2832606,128.9562228
837.328957,113.3043264
838.3744669,95.13765855
839.4197905,75.25312605
840.4649277,58.95726974
841.5098787,50.12152729
842.5546433,49.59816352
843.5992218,55.69809615
844.6436141,61.74411284
845.6878203,59.11031457
846.7318404,47.14067167
847.7756744,34.49780664
848.8193225,28.29498229
849.8627846,27.02094334
850.9060608,25.44666516
851.9491512,21.73801717
852.9920557,17.44274616
854.0347745,14.33639907
855.0773075,14.23900365
856.1196549,18.59157704
857.1618166,24.86613508
858.2037927,27.03800078
859.2455833,23.93963456
860.2871883,21.44904874
861.3286079,21.72784371
862.3698421,19.46466719
863.4108909,12.67226718
864.4517544,7.432351863
865.4924326,9.560947725
866.5329255,18.01743871
867.5732333,27.148379
868.6133559,32.36786541
869.6532933,33.932491
870.6930457,36.05343922
871.7326131,41.81113853
872.7719955,49.94394613
873.811193,57.45076875
874.8502055,62.90123133
875.8890333,65.93663684
876.9276762,66.6254363
877.9661343,66.62612284
879.0044077,68.02599494
880.0424965,71.01476947
881.0804006,74.72757483
882.1181201,77.63865685
883.1556551,76.62047209
884.1930056,71.01391944
885.2301717,65.67996186
886.2671533,64.09203464
887.3039505,63.31250355
888.3405634,60.66389068
889.3769921,59.32192107
890.4132365,62.6406377
891.4492967,67.06731134
892.4851727,66.35070781
893.5208646,61.13915914
894.5563725,57.30257651
895.5916964,55.57678908
896.6268362,51.41666679
897.6617922,44.31925608
