Wavelength,AAB_4 ATP_10^-3M_750_5_5_M_S1_I1,AAB_4 ATP_10^-3M_750_5_5_M_S1_I2,AAB_4 ATP_10^-3M_750_5_5_M_S1_I3,AAB_4 ATP_10^-3M_750_5_5_M_S1_I4,AAB_4 ATP_10^-3M_750_5_5_M_S1_I5
1115.39229661475,-21.417776862287404,-21.357284408792978,48.31552723141657,48.449271760806,-10.677320323602288
1119.32890586729,-12.338458675546889,-34.64365897049149,27.64835843001933,22.759825101887927,-0.827081532814745
1123.25968781045,47.7931284565671,23.19501687604965,-55.84138478529377,-50.36652391700176,70.29618784323557
1127.18465330088,110.58786453992104,164.11180277029663,207.40375169088327,205.91850789604973,146.2264020736685
1131.10381319339,114.85156587992181,190.21218059901446,299.5959937851612,295.56406329466813,151.1735974258761
1135.01717834101,51.85610566001128,33.94363213727039,-8.79142705724395,-3.5790568169648793,76.19402430835355
1138.92475959512,-24.59064560807394,-76.03985059361054,-89.7114060269157,-92.60573776285922,-8.9446292322787
1142.82656780556,-59.51297849645107,-30.92909224405406,26.173578365738607,24.71098952768581,-43.36151951843543
1146.72261382071,-38.73779271403825,17.41590682471943,43.896185805692184,45.85123369736504,-23.376100408277154
1150.61290848762,23.806924044383543,4.179565647193741,-1.6993643084354062,-3.561566681886177,34.78873389045994
1154.49746265207,99.59118992134995,57.85001785516595,35.03966826265473,36.95463077125571,113.83561710797662
1158.37628715874,141.43449986935033,199.33675335682472,214.1483136534206,212.23766385511115,166.3216176865118
1162.24939285125,110.57965154912321,231.811876307167,242.02140735554286,241.15431350499966,134.79835909404298
1166.11679057228,31.415871171729584,64.22522783132506,57.6149240923864,58.75589429402489,36.62652527601359
1169.97849116371,-10.74784128176259,-82.60322447343921,-102.5069943151572,-107.15424613221543,-20.77785111052495
1173.83450546665,41.422439930490924,33.07634587481296,-45.57301131910641,-44.79718711241169,41.52222466740633
1177.68484432161,146.22857251679375,290.4421681457036,279.720207707987,279.78555656588986,169.44777600079746
1181.52951856857,209.80368713307433,355.8777323270094,382.2877491204421,375.90007669334705,239.83375560196586
1185.36853904707,196.9076044135092,214.63570441899572,98.10226485798599,98.10380622577695,214.28238885747908
1189.20191659634,158.5448216961051,161.88214337054538,59.62720863316569,60.2783481152631,165.52161244271687
1193.02966205537,159.5370041896807,264.58266635258224,284.814463411727,278.1900461021622,166.75517960789153
1196.85178626303,220.92710830883044,327.3598645111497,271.9927200007626,272.30828656129836,229.58366636335967
1200.66830005817,320.7264281995312,334.9824051577102,245.9059800436771,247.469316898635,332.96701437060847
1204.47921427972,400.8818331581696,435.0829368829102,407.50365721678,399.36512753968316,428.37554371628767
1208.28453976677,382.4592355770033,552.8307045232149,478.4878084803977,480.65182442698404,426.99718449533253
1212.08428735869,231.2054910045589,420.22354376876353,437.46267536251025,437.19719771526184,271.07099428938506
1215.87846789522,23.065297411628208,40.93063107127503,72.26598741245049,62.46403371233731,38.697130093636616
1219.66709221657,-99.07638291534776,-166.43642956044155,-336.18037757488196,-330.7095622797176,-93.44948589060414
1223.45017116353,-66.44416077318787,19.49960929733524,13.470181344935071,12.227429150146321,-39.77093529195618
1227.22771557754,48.730238268844744,241.02995519690313,373.36876778168147,364.43121420306255,101.54809247465285
1230.99973630081,127.27342468108684,218.516821144427,92.63888822001617,97.20973105529642,184.832867575936
