Wavelength,AAB_Blank_I1,AAB_Blank_I2,AAB_Blank_I3,AAB_Blank_I4,AAB_Blank_I5,AAB_Blank_I6,AAB_Blank_I7,AAB_Blank_I8,AAB_Blank_I9,AAB_Blank_I10,AAB_Blank_I11,AAB_Blank_I12,AAB_Blank_I13,AAB_Blank_I14,AAB_Blank_I15
466.9497361,-33.61386399556517,4.873178202038112,-40.17842538092171,-68.26483857129959,107.53022615867481,-68.55841931543651,-6.548686126360835,109.13783527613796,-53.6304614364562,139.82804532469223,-60.178125600920836,-48.579859786571376,60.84604017488826,4.763390333616613,11.376462008727287
471.8643802,-44.60251111413059,-4.621552132037806,-185.67885983264685,-97.84447254443805,102.7106004883426,-178.6512485653983,9.284535491770654,106.61176452925527,-96.15374815754265,135.60518438025133,-101.24854335787138,-124.31473397129199,78.03606477923529,-6.327241534752432,7.782342295404746
476.7715176,44.56193625386436,29.663752777005243,-97.93720913475923,-54.332445995197936,98.1069750489072,-112.49977437386052,139.76995195733485,104.30731900071981,-23.27601371312182,131.28759470216562,8.517463735710038,-98.71064030210742,159.43483703300063,41.52317848342723,4.789850998671582
481.6711608,159.55023733206932,88.7608217378841,186.75499175284463,151.31323398081057,93.75259503785662,108.11218391548395,280.4774801698682,102.28043633239984,190.1601065726448,127.01050611035453,300.05672808799306,103.28770483039526,269.1454906166461,130.29996362013154,2.4928063393362834
486.5633221,196.9876588921439,136.7563604150958,110.5492346733369,249.1055416529031,89.59614941461747,191.02310093461512,313.50067741412516,100.4819918793785,312.0664621308118,122.82817378030518,438.86541415188543,201.76714069285708,345.0448471359153,206.72941014493023,0.878344896108004
491.448014,158.9581607707231,159.80079167517783,69.47078820905365,158.39404928875086,85.5580057441598,183.73712139671838,255.14489538220408,98.80443162959722,184.83180211853536,118.75180768566072,217.78223579536507,123.54141312899233,363.45659649431775,237.60179428775174,-0.11914074485615345
496.3252488,143.769286782712,171.6617900022955,52.44816654083343,8.473692936613972,81.58907875289508,32.80879324376855,222.80058447971186,97.13306565184588,40.09640747630469,114.78910970107574,2.9591396341268137,34.58612680021677,355.40171741481186,239.41854633370943,-0.577869105453189
501.195039,188.7139781954611,174.38748795079076,62.23667392277213,91.63783195775397,77.7160538120134,78.53830571278999,255.85429803563403,95.39212274135681,182.2554131389894,110.97549882123124,220.97705735619826,207.7897220261922,348.39349638929843,235.46013123944374,-0.5380488497107336
506.0573969,204.2255808019767,144.8741112028176,176.11520910344657,312.11409836697567,74.06770272803284,270.92847656774074,266.14033686102107,93.5814215856473,374.3134487817358,107.3988278765,508.54522061043986,399.08637413256827,324.1966663289478,213.4147689786313,0.03218457370417127
510.9123349,128.13332909459942,80.27318183945687,30.73258489796489,218.0484557157072,70.87942880074286,91.4188233002672,199.0188293076702,91.7972842340493,207.6583045399342,104.21785999311646,296.8507354310426,152.524023046675,260.1538484698275,159.10885992820525,1.254626432666143
515.7598651,41.474539011681856,21.73072301799273,-55.10032464806217,-26.493882733552752,68.46937444349155,-56.60413169182567,126.66253138738364,90.22821445621373,-35.33164053558353,101.66302230837968,-21.681273157884,-124.47048561183368,179.67651997230638,99.84985848767244,3.331189453820315
