Raman_shift_cm-1,concentration_label,concentration_M,intensity,intensity_with_offset,offset_applied
1696.64198054962,1mM,0.001,2465.7497949472654,2465.7497949472654,0.0
1700.5676672417683,1mM,0.001,2490.1267482143894,2490.1267482143894,0.0
1704.4933539339165,1mM,0.001,2540.3357539983526,2540.3357539983526,0.0
1708.4190406260648,1mM,0.001,2502.0982954790206,2502.0982954790206,0.0
1712.344727318213,1mM,0.001,2448.4018477926215,2448.4018477926215,0.0
1716.2704140103615,1mM,0.001,2391.2865658727696,2391.2865658727696,0.0
1720.1961007025097,1mM,0.001,2271.4595644022534,2271.4595644022534,0.0
1724.121787394658,1mM,0.001,2100.837075688142,2100.837075688142,0.0
1728.0474740868062,1mM,0.001,1982.8624408222452,1982.8624408222452,0.0
1731.9731607789545,1mM,0.001,1827.8097209312261,1827.8097209312261,0.0
1735.8988474711027,1mM,0.001,1798.1472821112677,1798.1472821112677,0.0
1739.8245341632512,1mM,0.001,1856.0835579863835,1856.0835579863835,0.0
1743.7502208553994,1mM,0.001,1743.5972921977586,1743.5972921977586,0.0
1747.6759075475477,1mM,0.001,1650.4574954086743,1650.4574954086743,0.0
1751.601594239696,1mM,0.001,1472.3115091808936,1472.3115091808936,0.0
1755.5272809318442,1mM,0.001,1318.5932845491982,1318.5932845491982,0.0
1759.4529676239927,1mM,0.001,1153.5686029374656,1153.5686029374656,0.0
1763.378654316141,1mM,0.001,942.747994352427,942.747994352427,0.0
1767.3043410082892,1mM,0.001,840.020858452959,840.020858452959,0.0
1771.2300277004374,1mM,0.001,748.7821331271995,748.7821331271995,0.0
1775.1557143925857,1mM,0.001,791.8457781197042,791.8457781197042,0.0
1779.0814010847341,1mM,0.001,856.3326460563965,856.3326460563965,0.0
1783.0070877768824,1mM,0.001,883.1892729990176,883.1892729990176,0.0
1786.9327744690306,1mM,0.001,889.1145209058832,889.1145209058832,0.0
1790.8584611611789,1mM,0.001,857.6236981469988,857.6236981469988,0.0
1794.784147853327,1mM,0.001,858.9141003793671,858.9141003793671,0.0
1798.7098345454754,1mM,0.001,902.4052455322429,902.4052455322429,0.0
1802.6355212376238,1mM,0.001,965.8560713637431,965.8560713637431,0.0
