file,type,concentration_M,concentration_label,replicate,accumulation,peak_392.32_height,peak_1078.5_height,peak_1589.62_height
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10fM_rep3_acc2.csv,sample,1e-14,10fM,3,2,3025.810097343647,2845.8162695148944,1667.8383194681446
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10fM_rep3_acc3.csv,sample,1e-14,10fM,3,3,3282.528836772511,2733.951023521565,1458.8000082353653
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10fM_rep3_acc4.csv,sample,1e-14,10fM,3,4,3129.8233414289653,2737.5358379514596,1720.6595835752812
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_10fM_rep3_acc5.csv,sample,1e-14,10fM,3,5,3158.4364825626644,2640.575958434639,1522.7697234682175
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1fM_rep1_acc1.csv,sample,1e-15,1fM,1,1,2924.423181379997,2406.566959501409,1459.8909568599054
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1fM_rep1_acc2.csv,sample,1e-15,1fM,1,2,2664.8598366897895,2594.743490937381,1356.232715143737
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1fM_rep1_acc3.csv,sample,1e-15,1fM,1,3,2637.1969195870283,2445.9216121588,1376.9150791204413
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1fM_rep1_acc4.csv,sample,1e-15,1fM,1,4,2432.6687413014033,2322.606050581458,1306.0560757506623
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1fM_rep1_acc5.csv,sample,1e-15,1fM,1,5,2190.313295047776,2144.594092570066,1269.858259483252
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1fM_rep2_acc1.csv,sample,1e-15,1fM,2,1,2282.8242622786643,1754.3987967680218,1135.4009017916678
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1fM_rep2_acc2.csv,sample,1e-15,1fM,2,2,2166.854654036747,1576.834306283879,1022.6054483551127
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1fM_rep2_acc3.csv,sample,1e-15,1fM,2,3,2279.293957073125,1777.4114157038352,1197.710207731118
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1fM_rep2_acc4.csv,sample,1e-15,1fM,2,4,2086.20889365328,1635.220273639582,897.3121949737657
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1fM_rep2_acc5.csv,sample,1e-15,1fM,2,5,2140.2350625920435,1576.974146448432,1005.5974253287388
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1fM_rep3_acc1.csv,sample,1e-15,1fM,3,1,1692.9668988183762,913.9762216564749,710.7135464947947
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1fM_rep3_acc2.csv,sample,1e-15,1fM,3,2,2202.6629016836705,1700.4531910894498,1071.7261295764024
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1fM_rep3_acc3.csv,sample,1e-15,1fM,3,3,1743.3228047447008,968.5893097392869,694.6151892545333
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1fM_rep3_acc4.csv,sample,1e-15,1fM,3,4,2026.5102873147132,1580.4781928796376,769.8557941130043
data/quarantine/legacy_snapshot/Optimisation/750_5_5_M/4ATP_1fM_rep3_acc5.csv,sample,1e-15,1fM,3,5,1952.6762045694231,1379.360762011112,1012.428568212973
