#Wave,#Intensity
1749.28029153216,10513
1748.39275168907,10701
1747.5050614204,10475
1746.61722069332,10757
1745.72922947495,10490
1744.84108773244,10723
1743.9527954329,10693
1743.06435254346,10847
1742.17575903119,10742
1741.28701486321,10651
1740.39812000659,10799
1739.50907442841,10782
1738.61987809571,10808
1737.73053097557,10784
1736.84103303502,10763
1735.95138424108,10953
1735.06158456079,10584
1734.17163396115,10765
1733.28153240916,10848
1732.39127987181,10855
1731.5008763161,10854
1730.61032170898,10832
1729.71961601741,10869
1728.82875920836,10772
1727.93775124876,10713
1727.04659210553,10737
1726.15528174561,10958
1725.2638201359,10812
1724.3722072433,10854
1723.4804430347,10756
1722.58852747699,10818
1721.69646053702,10812
1720.80424218167,10847
1719.91187237778,10878
1719.0193510922,10747
1718.12667829174,10934
1717.23385394324,10701
1716.34087801349,10708
1715.44775046931,10806
1714.55447127747,10846
1713.66104040476,10913
1712.76745781794,11054
1711.87372348378,10801
1710.97983736902,10991
1710.0857994404,10912
1709.19160966465,10976
1708.29726800848,11038
1707.40277443861,11045
1706.50812892173,10987
1705.61333142453,11069
1704.71838191368,11073
1703.82328035586,11054
1702.92802671771,11281
1702.03262096589,11207
1701.13706306704,11198
1700.24135298777,11187
1699.3454906947,11242
1698.44947615444,11092
1697.5533093336,11329
1696.65699019874,11257
1695.76051871644,11215
1694.86389485328,11309
1693.9671185758,11288
1693.07018985055,11417
1692.17310864406,11497
1691.27587492286,11288
1690.37848865346,11432
1689.48094980236,11500
1688.58325833605,11419
1687.68541422103,11345
1686.78741742376,11425
1685.8892679107,11445
1684.99096564831,11526
1684.09251060302,11686
1683.19390274128,11669
1682.29514202949,11700
1681.39622843407,11589
1680.49716192143,11832
1679.59794245795,11883
1678.69857001,11873
1677.79904454397,11944
1676.89936602621,11850
1675.99953442307,11844
1675.09954970089,11843
1674.199411826,12094
1673.2991207647,12155
1672.39867648332,12350
1671.49807894815,12318
1670.59732812547,12029
1669.69642398157,12155
1668.79536648271,12241
1667.89415559514,12102
1666.99279128512,12306
1666.09127351887,12273
1665.18960226262,12222
1664.28777748258,12330
1663.38579914497,12386
1662.48366721597,12496
1661.58138166177,12333
1660.67894244854,12553
1659.77634954244,12552
1658.87360290963,12456
1657.97070251624,12657
1657.06764832842,12629
1656.16444031227,12583
1655.26107843392,12741
1654.35756265945,12712
1653.45389295497,12569
1652.55006928654,12825
1651.64609162025,12695
1650.74195992214,12695
1649.83767415827,12860
1648.93323429468,12759
1648.02864029738,12808
1647.12389213241,12835
1646.21898976576,12864
1645.31393316342,12814
1644.4087222914,13003
1643.50335711565,12908
1642.59783760216,13051
1641.69216371686,13019
1640.78633542571,13054
1639.88035269464,13012
1638.97421548956,13097
1638.0679237764,13141
1637.16147752105,13232
1636.25487668941,13253
1635.34812124736,13145
1634.44121116076,13124
1633.53414639548,13138
1632.62692691737,13318
1631.71955269226,13656
1630.81202368599,13376
1629.90433986436,13516
1628.9965011932,13342
1628.08850763829,13441
1627.18035916542,13610
1626.27205574037,13564
1625.3635973289,13728
1624.45498389677,13754
1623.54621540972,13656
1622.63729183349,13608
1621.72821313379,13677
1620.81897927635,13940
1619.90959022686,13878
1619.00004595101,13765
1618.09034641448,13859
1617.18049158296,13809
1616.27048142209,13573
1615.36031589752,13755
1614.4499949749,13811
1613.53951861984,14005
1612.62888679797,13896
1611.7180994749,13980
1610.80715661622,13771
1609.89605818751,14102
1608.98480415436,14059
1608.07339448232,14085
1607.16182913695,14073
1606.25010808379,14085
1605.33823128838,14137
1604.42619871623,14201
1603.51401033287,14182
1602.60166610378,14275
1601.68916599446,14423
1600.77650997038,14483
1599.86369799703,14433
1598.95073003985,14439
1598.03760606429,14400
1597.12432603579,14528
1596.21088991978,14849
1595.29729768166,14767
1594.38354928685,14857
1593.46964470074,14597
1592.55558388872,14646
1591.64136681614,14881
1590.72699344838,15009
1589.8124637508,14937
1588.89777768872,15085
