#Wave,#Intensity
1876.15605307982,23111
1875.29027381069,23010
1874.42434883771,23059
1873.55827812944,23216
1872.69206165447,23338
1871.82569938136,23333
1870.95919127866,23424
1870.09253731493,23111
1869.22573745869,23266
1868.35879167849,23169
1867.49169994282,23364
1866.62446222022,23679
1865.75707847916,23462
1864.88954868814,23511
1864.02187281565,23271
1863.15405083015,23316
1862.2860827001,23302
1861.41796839396,23528
1860.54970788016,23764
1859.68130112714,23595
1858.81274810332,23506
1857.94404877711,23370
1857.07520311692,23345
1856.20621109114,23533
1855.33707266816,23718
1854.46778781635,23679
1853.59835650408,23789
1852.7287786997,23371
1851.85905437155,23474
1850.98918348799,23417
1850.11916601732,23593
1849.24900192787,23769
1848.37869118796,23730
1847.50823376586,23552
1846.63762962989,23250
1845.7668787483,23579
1844.89598108938,23515
1844.02493662139,23659
1843.15374531256,24134
1842.28240713116,23892
1841.4109220454,23692
1840.5392900235,23661
1839.66751103368,23380
1838.79558504415,23727
1837.92351202309,23803
1837.05129193869,23990
1836.17892475912,23969
1835.30641045254,23808
1834.43374898711,23497
1833.56094033098,23714
1832.68798445227,23884
1831.81488131912,23979
1830.94163089963,23992
1830.06823316192,23911
1829.19468807409,23938
1828.32099560421,23728
1827.44715572036,23925
1826.57316839061,24109
1825.69903358303,24093
1824.82475126565,24050
1823.95032140652,24072
1823.07574397366,23857
1822.20101893509,24033
1821.32614625883,23868
1820.45112591286,24323
1819.57595786519,24183
1818.70064208379,24193
1817.82517853663,23962
1816.94956719167,24139
1816.07380801686,24020
1815.19790098015,24296
1814.32184604946,24409
1813.44564319272,24461
1812.56929237784,24383
1811.69279357273,24184
1810.81614674526,24024
1809.93935186334,24261
1809.06240889482,24390
1808.18531780757,24705
1807.30807856946,24566
1806.43069114831,24529
1805.55315551197,24518
1804.67547162825,24223
1803.79763946498,24595
1802.91965898996,24607
1802.04153017098,24921
1801.16325297583,24649
1800.28482737228,24491
1799.4062533281,24341
1798.52753081105,24403
1797.64865978887,24862
1796.76964022929,24620
1795.89047210005,25008
1795.01115536886,24979
1794.13169000343,24711
1793.25207597145,24614
1792.37231324061,24819
1791.4924017786,25055
1790.61234155307,25199
1789.73213253169,25191
1788.85177468209,25178
1787.97126797193,24903
1787.09061236883,24828
1786.2098078404,25172
1785.32885435426,25224
1784.447751878,25573
1783.56650037922,25246
1782.68509982549,25189
1781.80355018438,25102
1780.92185142346,25112
1780.04000351026,25313
1779.15800641234,25390
1778.27586009721,25577
1777.39356453241,25291
1776.51111968543,25194
1775.62852552379,25340
1774.74578201496,25521
1773.86288912644,25362
1772.97984682568,25654
1772.09665508016,25992
1771.21331385732,25815
1770.32982312461,25649
1769.44618284945,25575
1768.56239299925,25761
1767.67845354145,25920
1766.79436444343,25973
1765.9101256726,25992
1765.02573719632,26006
1764.14119898197,25696
1763.25651099691,25918
1762.3716732085,25955
1761.48668558407,26296
1760.60154809096,26285
1759.71626069649,26243
1758.83082336796,26122
1757.94523607269,26233
1757.05949877796,26321
1756.17361145105,26422
1755.28757405924,26767
1754.40138656979,26882
1753.51504894995,26926
1752.62856116696,26885
1751.74192318805,26533
1750.85513498045,26885
1749.96819651137,27077
1749.08110774801,27435
1748.19386865756,27312
1747.3064792072,27250
1746.41893936411,27264
1745.53124909545,27379
1744.64340836836,27678
1743.75541715,28044
1742.86727540749,28263
1741.97898310795,28352
1741.0905402185,28165
1740.20194670624,28261
1739.31320253826,28326
1738.42430768164,28902
1737.53526210345,28876
1736.64606577076,29123
1735.75671865061,28907
1734.86722071006,28534
1733.97757191613,28580
1733.08777223583,29081
1732.19782163619,29255
1731.3077200842,29087
1730.41746754686,29082
1729.52706399114,28873
1728.63650938402,28796
1727.74580369246,28575
1726.8549468834,28897
1725.9639389238,28642
1725.07277978058,28556
1724.18146942065,28509
1723.29000781095,27844
1722.39839491834,28156
1721.50663070975,27906
1720.61471515203,28131
1719.72264821207,27930
1718.83042985672,27656
1717.93806005283,27575
1717.04553876724,26949
1716.15286596679,27293
1715.26004161828,27334
1714.36706568854,27498
1713.47393814435,27607
1712.58065895251,27306
1711.6872280798,27231
1710.79364549299,26802
1709.89991115882,26869
1709.00602504406,27282
1708.11198711544,27381
1707.21779733969,27131
1706.32345568353,27111
1705.42896211365,26997
1704.53431659677,27011
1703.63951909957,27255
1702.74456958873,27124
1701.8494680309,27020
1700.95421439276,27192
1700.05880864094,27151
1699.16325074208,26802
1698.26754066281,27107
1697.37167836975,27284
1696.47566382949,27351
1695.57949700864,27277
1694.68317787378,27274
1693.78670639149,27033
1692.89008252832,27147
1691.99330625084,26971
1691.09637752559,27274
1690.1992963191,27452
1689.3020625979,27360
1688.4046763285,27146
1687.5071374774,27229
1686.6094460111,27173
1685.71160189607,27176
1684.8136050988,27458
1683.91545558574,27476
1683.01715332335,27602
1682.11869827807,27191
1681.22009041632,27031
1680.32132970453,27255
1679.42241610912,27574
1678.52334959647,27586
1677.62413013299,27667
1676.72475768505,27217
1675.82523221902,27175
1674.92555370126,27312
1674.02572209812,27780
1673.12573737593,27651
1672.22559950104,27761
1671.32530843975,27686
1670.42486415837,27799
1669.5242666232,27409
1668.62351580052,27561
1667.72261165662,27741
1666.82155415775,28058
1665.92034327019,27588
1665.01897896016,27730
1664.11746119391,27671
1663.21578993766,27584
1662.31396515763,27936
1661.41198682002,28007
1660.50985489102,27969
1659.60756933682,27738
1658.70513012358,27556
1657.80253721749,27530
1656.89979058467,27626
1655.99689019129,28119
1655.09383600346,28079
1654.19062798732,27970
1653.28726610896,27901
1652.3837503345,27566
1651.48008063001,27956
1650.57625696159,27755
1649.67227929529,28008
1648.76814759719,28151
1647.86386183332,28096
1646.95942196972,27909
1646.05482797243,27696
1645.15007980745,27922
1644.2451774408,27908
1643.34012083847,28024
1642.43490996644,28143
1641.5295447907,27883
