#Wavelength,#Intensity
1588.660088,22739
1587.20607,22898
1585.751761,23129
1584.297159,22975
1582.842266,22966
1581.387079,22857
1579.931601,22725
1578.47583,22880
1577.019767,23026
1575.56341,23156
1574.106762,22837
1572.64982,22846
1571.192586,22983
1569.735058,22859
1568.277238,23082
1566.819124,22877
1565.360718,23016
1563.902018,22827
1562.443024,23110
1560.983737,23172
1559.524157,23156
1558.064283,22992
1556.604116,22815
1555.143655,22992
1553.6829,22906
1552.221851,22906
1550.760508,22952
1549.29887,22881
1547.836939,22891
1546.374714,22978
1544.912194,22792
1543.44938,22756
1541.986271,23035
1540.522868,23262
1539.059171,23142
1537.595178,22974
1536.130891,23113
1534.666309,23007
1533.201432,23070
1531.73626,22911
1530.270792,22729
1528.80503,23328
1527.338972,23027
1525.872619,22919
1524.405971,22670
1522.939027,22752
1521.471787,22651
1520.004252,22764
1518.536421,22880
1517.068294,22874
1515.599871,22559
1514.131152,22487
1512.662137,22794
1511.192826,22399
1509.723219,22628
1508.253316,22557
1506.783116,22306
1505.312619,22185
1503.841826,22357
1502.370736,22475
1500.89935,22183
1499.427666,22321
1497.955686,22218
1496.483409,22105
1495.010835,22189
1493.537964,22072
1492.064795,22087
1490.591329,22354
1489.117566,22045
1487.643505,21974
1486.169147,22155
1484.694491,21736
1483.219537,22023
1481.744286,21836
1480.268737,21626
1478.79289,21920
1477.316744,21601
1475.840301,21783
1474.363559,21851
1472.88652,22077
1471.409181,21740
1469.931545,21695
1468.45361,21837
1466.975376,22082
1465.496843,21714
1464.018012,21682
1462.538882,21547
1461.059453,21808
1459.579725,21807
1458.099698,21848
1456.619371,21705
1455.138746,21764
1453.657821,21779
1452.176596,21815
1450.695072,21597
1449.213249,21620
1447.731126,21768
1446.248703,21825
1444.76598,21809
1443.282957,21613
1441.799634,21763
1440.316012,21802
1438.832089,21771
1437.347865,21856
1435.863342,21928
1434.378518,21710
1432.893393,21849
1431.407968,21852
1429.922242,21735
1428.436216,21596
1426.949889,21996
1425.46326,21688
1423.976331,22061
1422.489101,21728
1421.001569,21807
1419.513736,21835
1418.025602,21892
1416.537167,21915
1415.04843,21782
1413.559391,21663
1412.070051,21814
1410.580409,21773
1409.090465,21868
1407.600219,21721
1406.109672,21729
1404.618822,21642
1403.12767,21544
1401.636216,21728
1400.144459,21491
1398.6524,21611
1397.160039,21724
1395.667375,21772
1394.174408,21810
1392.681138,21578
1391.187566,21716
1389.693691,21367
1388.199513,21524
1386.705032,21449
1385.210247,21403
1383.715159,21506
1382.219768,21456
1380.724074,21255
1379.228076,21472
1377.731774,21329
1376.235169,21225
1374.73826,21379
1373.241048,21323
1371.743531,21243
1370.24571,21163
1368.747585,21086
1367.249156,21041
1365.750423,21401
1364.251386,21237
1362.752044,21102
1361.252397,21134
1359.752446,21064
1358.25219,21066
1356.75163,21070
1355.250765,21438
1353.749594,21054
1352.248119,21126
1350.746339,21230
1349.244253,20954
1347.741862,21185
1346.239166,20951
1344.736164,20997
1343.232857,21092
1341.729244,20876
1340.225326,21080
1338.721102,20891
1337.216572,20767
1335.711736,20984
1334.206594,21070
1332.701145,20907
1331.195391,21033
1329.68933,20889
1328.182963,20801
1326.67629,20852
1325.16931,20794
1323.662023,20941
1322.15443,20686
1320.64653,20764
1319.138323,20761
1317.629809,20723
1316.120988,20759
1314.61186,20726
1313.102424,20721
1311.592682,20829
1310.082632,20602
1308.572274,20501
1307.061609,20658
1305.550636,20506
1304.039356,20509
1302.527768,20432
1301.015871,20752
1299.503667,20447
1297.991155,20453
1296.478335,20496
1294.965206,20401
1293.451769,20500
1291.938024,20513
1290.42397,20429
1288.909607,20147
1287.394936,20461
1285.879956,20449
1284.364668,20232
1282.84907,20177
1281.333163,20306
1279.816947,19987
1278.300423,20007
1276.783588,20097
1275.266445,20054
1273.748992,19892
1272.231229,19987
1270.713157,20094
1269.194775,20139
1267.676083,19728
1266.157082,19798
1264.63777,19855
1263.118149,19527
1261.598217,19746
1260.077975,19668
1258.557423,19821
1257.03656,19649
1255.515387,19803
1253.993904,19664
1252.472109,19546
1250.950004,19590
1249.427588,19618
1247.904862,19499
1246.381824,19601
1244.858475,19549
1243.334815,19632
1241.810844,19627
1240.286561,19575
1238.761967,19837
1237.237061,19564
1235.711844,19834
1234.186315,19683
1232.660475,19505
1231.134322,19599
1229.607857,19706
1228.081081,19456
1226.553992,19395
1225.026591,19729
1223.498878,19319
1221.970853,19493
1220.442515,19339
1218.913864,19439
1217.384901,19387
1215.855625,19513
1214.326036,19447
1212.796134,19436
1211.26592,19283
1209.735392,19375
1208.204551,19357
1206.673397,19356
1205.141929,19421
1203.610148,19218
1202.078053,19418
1200.545645,19159
1199.012923,19198
1197.479888,19026
1195.946538,19159
1194.412875,19249
1192.878897,19309
1191.344605,18986
1189.809999,19002
1188.275079,19261
1186.739845,19071
1185.204295,18840
1183.668432,18799
1182.132253,18900
1180.59576,19022
1179.058952,19109
1177.521829,18920
1175.984392,18829
1174.446639,18799
1172.90857,18852
1171.370187,18837
1169.831488,18700
1168.292474,18928
1166.753144,18872
1165.213498,18791
1163.673537,18847
1162.13326,18530
1160.592667,18590
1159.051758,18794
1157.510533,18591
1155.968992,18615
1154.427134,18544
1152.884961,18425
1151.34247,18571
1149.799664,18411
1148.25654,18392
1146.7131,18640
1145.169344,18446
1143.62527,18402
1142.080879,18393
1140.536171,18516
1138.991147,18363
1137.445804,18402
1135.900145,18507
1134.354168,18345
1132.807874,18266
1131.261262,18328
1129.714332,18315
1128.167085,18316
1126.61952,18258
1125.071636,18409
1123.523435,18079
1121.974916,18388
1120.426078,18140
1118.876922,18277
1117.327448,18163
1115.777655,18171
1114.227544,18161
1112.677114,18063
1111.126365,18074
1109.575298,18226
1108.023911,17859
1106.472206,17953
1104.920181,18120
1103.367838,18114
1101.815174,18107
1100.262192,17927
1098.70889,18133
1097.155268,17996
1095.601327,17899
1094.047066,18011
1092.492486,18077
1090.937585,17898
1089.382364,17887
1087.826824,17833
1086.270963,17837
1084.714781,17730
1083.15828,17795
1081.601458,17608
1080.044315,17886
1078.486852,17598
1076.929068,17477
1075.370963,17500
1073.812538,17699
1072.253791,17506
1070.694723,17456
1069.135334,17358
1067.575624,17505
1066.015592,17132
1064.455239,17434
1062.894565,17393
1061.333568,17176
1059.77225,17318
1058.210611,17300
1056.648649,17264
1055.086365,17293
1053.52376,17075
1051.960832,17182
1050.397581,17205
1048.834009,17169
1047.270114,17031
1045.705896,17082
1044.141356,17133
1042.576493,17044
1041.011307,17223
1039.445799,17053
1037.879967,16927
1036.313812,17165
1034.747334,16885
1033.180533,17191
1031.613408,17012
1030.04596,17065
1028.478189,17042
1026.910094,16858
1025.341675,16975
1023.772932,17034
1022.203865,17035
1020.634475,16996
1019.06476,16952
1017.494721,16958
1015.924358,16978
1014.35367,17039
1012.782658,16793
1011.211321,17155
