#Wavelength,#Intensity
2566.925179,24479
2565.662986,24664
2564.400552,24641
2563.137876,24725
2561.874958,24479
2560.611798,24325
2559.348397,24334
2558.084753,24564
2556.820868,24730
2555.556741,24619
2554.292372,24581
2553.027761,24535
2551.762907,24424
2550.497811,24585
2549.232473,24527
2547.966893,24580
2546.70107,24419
2545.435005,24575
2544.168697,24520
2542.902147,24680
2541.635354,24471
2540.368318,24407
2539.10104,24599
2537.833518,24500
2536.565754,24663
2535.297747,24658
2534.029496,24474
2532.761003,24663
2531.492266,24723
2530.223286,24749
2528.954063,24687
2527.684597,24775
2526.414887,24718
2525.144934,24881
2523.874737,24539
2522.604297,24859
2521.333613,24665
2520.062685,24709
2518.791513,24769
2517.520098,24813
2516.248439,24637
2514.976535,24839
2513.704388,24633
2512.431997,25144
2511.159361,24915
2509.886481,24642
2508.613357,24813
2507.339989,24819
2506.066376,24889
2504.792519,25008
2503.518417,25007
2502.244071,24694
