lineage,file,source_sha256,manifest_intensity_selector,source_intensity_column,record_id,sample_type,spectrum_points,positive_frequency_max_index,filter_fft_peak_index,normalized_cutoff,percentile,order,lock_basis
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep3_acc3.csv,7bfea1a1d31a50586b491002f90f622288e115560c9c83d28400ce216d9fdaf9,1,Intensity,row00044__4ATP_100pM_rep3_acc3__Intensity,4atp,512,255,166,0.65098039215686276,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep3_acc4.csv,91767f05c226aad4ca4a010dd8d673bc7701a1d866f4d766c59a5220569689a0,1,Intensity,row00045__4ATP_100pM_rep3_acc4__Intensity,4atp,512,255,132,0.51764705882352946,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep3_acc5.csv,da5ba94dfd6506d0cb517ff417e2739a7e5f06aede0327d36378d2da1831f3a5,1,Intensity,row00046__4ATP_100pM_rep3_acc5__Intensity,4atp,512,255,203,0.79607843137254908,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100uM_rep1_acc1.csv,7bd1eaf2edfb8e9d9819f3dc4102e60ef3e417e91efb02f4f9fcf2a51227754a,1,Intensity,row00047__4ATP_100uM_rep1_acc1__Intensity,4atp,512,255,130,0.50980392156862753,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100uM_rep1_acc2.csv,36820506ab37e4f5fccb374ff7b4f86d53814626c051e1cb810048651b17cc73,1,Intensity,row00048__4ATP_100uM_rep1_acc2__Intensity,4atp,512,255,206,0.80784313725490209,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100uM_rep1_acc3.csv,bc68fc4dc069c6c600d94bc4cf1f7c1bbaff65dbe410b09a6ccdf38660d0c29c,1,Intensity,row00049__4ATP_100uM_rep1_acc3__Intensity,4atp,512,255,215,0.84313725490196079,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100uM_rep1_acc4.csv,a6385b9ef874e9ec458290fa00ee02ea5b3dc59d79b5972376ed9f94a8cf1d77,1,Intensity,row00050__4ATP_100uM_rep1_acc4__Intensity,4atp,512,255,228,0.89411764705882357,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100uM_rep1_acc5.csv,87c78c9fe5b2c2ec424e51818ba6e6e3c1d38a0423d30b8c8c05cceca39e7042,1,Intensity,row00051__4ATP_100uM_rep1_acc5__Intensity,4atp,512,255,233,0.91372549019607852,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100uM_rep2_acc1.csv,693d3953e7364c250ed1360bae9364514ad429cabccddc067819f58a7e5dbbc3,1,Intensity,row00052__4ATP_100uM_rep2_acc1__Intensity,4atp,512,255,190,0.74509803921568629,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100uM_rep2_acc2.csv,7ab1d4b5a667a7621d9de709d84b9a3ba063e2d58b6af85a7eb8b8e8a90e793b,1,Intensity,row00053__4ATP_100uM_rep2_acc2__Intensity,4atp,512,255,228,0.89411764705882357,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100uM_rep2_acc3.csv,6c271e977fdac261930e095da2eaa817c420a2e3f7cfe02ba37dadeee438e73f,1,Intensity,row00054__4ATP_100uM_rep2_acc3__Intensity,4atp,512,255,185,0.72549019607843146,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100uM_rep2_acc4.csv,3d4b6808eae3e9388900a5c9508d9747119e7caa1e39cb5d0d7782cbef97d500,1,Intensity,row00055__4ATP_100uM_rep2_acc4__Intensity,4atp,512,255,160,0.62745098039215685,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100uM_rep2_acc5.csv,ed2829d6a975527f0f45eabf44ad670ca405876edf26610b5c1cfc394b690003,1,Intensity,row00056__4ATP_100uM_rep2_acc5__Intensity,4atp,512,255,241,0.94509803921568625,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100uM_rep3_acc1.csv,d83e8ca2e4bfcfcbd49d4d0ef6507843650b74fb564e9fb8302a41b8d4df32f7,1,Intensity,row00057__4ATP_100uM_rep3_acc1__Intensity,4atp,512,255,199,0.78039215686274521,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100uM_rep3_acc2.csv,9d502c3986df0fdbf8289a49b1c5c85aee10e9f6cc048a021d801ff7d73764c7,1,Intensity,row00058__4ATP_100uM_rep3_acc2__Intensity,4atp,512,255,243,0.95294117647058829,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100uM_rep3_acc3.csv,7ce2ba64dfa4fda092974372f1c67c7a5c840ee12d6f415894f5fee5fd0184c5,1,Intensity,row00059__4ATP_100uM_rep3_acc3__Intensity,4atp,512,255,202,0.79215686274509811,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100uM_rep3_acc4.csv,8b93a5d4acda05930513db417e2c4017ceff51ddc364e11aaf1e67eb781a9b78,1,Intensity,row00060__4ATP_100uM_rep3_acc4__Intensity,4atp,512,255,243,0.95294117647058829,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100uM_rep3_acc5.csv,3800b57d34ecd2090f8652a2518d6ee36b3d5246a77dc9c6d2dbf8188e8d3cb8,1,Intensity,row00061__4ATP_100uM_rep3_acc5__Intensity,4atp,512,255,202,0.79215686274509811,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_10fM_rep1_acc1.csv,5d8d2691083b0f9c0252368c35a5fab6314816cdefd88162267f0d2a4866b7da,1,Intensity,row00062__4ATP_10fM_rep1_acc1__Intensity,4atp,512,255,235,0.92156862745098045,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_10fM_rep1_acc2.csv,af88efc7f7c984b6d93c9593d5016effdc5e783864046c6b0ec46c38d1482059,1,Intensity,row00063__4ATP_10fM_rep1_acc2__Intensity,4atp,512,255,205,0.80392156862745101,10,3,canonical Windows release first committed at 542aa21
